date,price_usd,unit,basis,source,reconstructed
2001-04-25,11.00,carton,wholesale,,true
2001-05-02,11.00,carton,wholesale,,true
2001-05-09,11.00,carton,wholesale,,true
2001-05-16,11.00,carton,wholesale,,true
2001-05-23,11.00,carton,wholesale,,true
2001-05-30,11.19,carton,wholesale,,true
2001-06-06,11.75,carton,wholesale,,true
2001-06-13,11.75,carton,wholesale,,true
2001-06-20,12.50,carton,wholesale,,true
2001-06-27,12.30,carton,wholesale,,true
2001-07-03,11.50,carton,wholesale,,true
2001-07-11,11.70,carton,wholesale,,true
2001-07-18,11.00,carton,wholesale,,true
2001-07-25,11.00,carton,wholesale,,true
2001-08-01,11.00,carton,wholesale,,true
2001-08-06,12.67,carton,wholesale,,true
2001-08-15,13.50,carton,wholesale,,true
2001-08-22,13.50,carton,wholesale,,true
2001-08-29,14.60,carton,wholesale,,true
2001-09-05,14.63,carton,wholesale,,true
2001-09-12,12.90,carton,wholesale,,true
2001-09-19,11.50,carton,wholesale,,true
2001-09-26,11.50,carton,wholesale,,true
2001-10-03,11.50,carton,wholesale,,true
2001-10-10,11.50,carton,wholesale,,true
2001-10-17,11.50,carton,wholesale,,true
2001-10-24,10.00,carton,wholesale,,true
2001-10-31,10.00,carton,wholesale,,true
2001-11-07,10.00,carton,wholesale,,true
2001-11-14,11.00,carton,wholesale,,true
2001-11-21,11.00,carton,wholesale,,true
2001-11-28,11.00,carton,wholesale,,true
2001-12-05,11.00,carton,wholesale,,true
2001-12-12,11.00,carton,wholesale,,true
2001-12-19,11.55,carton,wholesale,,true
2001-12-26,13.75,carton,wholesale,,true
2002-01-02,13.75,carton,wholesale,,true
2002-01-09,13.75,carton,wholesale,,true
2002-01-16,14.75,carton,wholesale,,true
2002-01-23,14.75,carton,wholesale,,true
2002-01-30,14.15,carton,wholesale,,true
2002-02-06,14.00,carton,wholesale,,true
2002-02-13,13.75,carton,wholesale,,true
2002-02-20,13.75,carton,wholesale,,true
2002-02-27,13.35,carton,wholesale,,true
2002-03-06,13.25,carton,wholesale,,true
2002-03-13,13.25,carton,wholesale,,true
2002-03-20,13.25,carton,wholesale,,true
2002-03-27,13.25,carton,wholesale,,true
2002-04-03,21.25,carton,wholesale,,true
2002-04-10,28.00,carton,wholesale,,true
2002-04-17,28.00,carton,wholesale,,true
2002-04-24,27.80,carton,wholesale,,true
2002-05-01,27.70,carton,wholesale,,true
2002-05-08,30.70,carton,wholesale,,true
2002-05-15,31.50,carton,wholesale,,true
2002-05-22,25.80,carton,wholesale,,true
2002-05-29,23.31,carton,wholesale,,true
2002-06-05,20.70,carton,wholesale,,true
2002-06-12,18.00,carton,wholesale,,true
2002-06-19,12.75,carton,wholesale,,true
2002-06-26,12.20,carton,wholesale,,true
2002-07-03,12.00,carton,wholesale,,true
2002-07-10,13.50,carton,wholesale,,true
2002-07-17,15.80,carton,wholesale,,true
2002-07-24,17.00,carton,wholesale,,true
2002-07-31,17.20,carton,wholesale,,true
2002-08-07,18.20,carton,wholesale,,true
2002-08-14,19.40,carton,wholesale,,true
2002-08-21,19.50,carton,wholesale,,true
2002-08-28,18.85,carton,wholesale,,true
2002-09-04,16.00,carton,wholesale,,true
2002-09-11,14.00,carton,wholesale,,true
2002-09-18,12.90,carton,wholesale,,true
2002-09-25,12.60,carton,wholesale,,true
2002-10-02,13.20,carton,wholesale,,true
2002-10-09,14.00,carton,wholesale,,true
2002-10-16,13.81,carton,wholesale,,true
2002-10-23,13.65,carton,wholesale,,true
2002-10-30,13.50,carton,wholesale,,true
2002-11-06,11.10,carton,wholesale,,true
2002-11-13,10.88,carton,wholesale,,true
2002-11-20,11.00,carton,wholesale,,true
2002-11-27,11.00,carton,wholesale,,true
2002-12-04,11.00,carton,wholesale,,true
2002-12-11,11.00,carton,wholesale,,true
2002-12-18,11.00,carton,wholesale,,true
2002-12-24,11.00,carton,wholesale,,true
2002-12-31,11.00,carton,wholesale,,true
2003-01-08,11.00,carton,wholesale,,true
2003-01-15,11.00,carton,wholesale,,true
2003-01-22,11.00,carton,wholesale,,true
2003-01-29,11.00,carton,wholesale,,true
2003-02-05,10.70,carton,wholesale,,true
2003-02-12,10.70,carton,wholesale,,true
2003-02-19,11.00,carton,wholesale,,true
2003-02-26,9.80,carton,wholesale,,true
2003-03-05,9.20,carton,wholesale,,true
2003-03-12,11.50,carton,wholesale,,true
2003-03-19,11.50,carton,wholesale,,true
2003-03-26,11.90,carton,wholesale,,true
2003-04-02,12.50,carton,wholesale,,true
2003-04-09,13.10,carton,wholesale,,true
2003-04-16,16.00,carton,wholesale,,true
2003-04-23,15.75,carton,wholesale,,true
2003-04-30,17.00,carton,wholesale,,true
2003-05-07,25.10,carton,wholesale,,true
2003-05-14,22.20,carton,wholesale,,true
2003-05-21,21.50,carton,wholesale,,true
2003-05-28,21.50,carton,wholesale,,true
2003-06-04,18.60,carton,wholesale,,true
2003-06-11,14.70,carton,wholesale,,true
2003-06-18,14.30,carton,wholesale,,true
2003-06-25,15.50,carton,wholesale,,true
2003-07-02,13.10,carton,wholesale,,true
2003-07-09,12.50,carton,wholesale,,true
2003-07-16,12.50,carton,wholesale,,true
2003-07-23,12.50,carton,wholesale,,true
2003-07-30,12.50,carton,wholesale,,true
2003-08-06,12.50,carton,wholesale,,true
2003-08-13,12.50,carton,wholesale,,true
2003-08-20,13.00,carton,wholesale,,true
2003-08-27,14.15,carton,wholesale,,true
2003-09-03,16.50,carton,wholesale,,true
2003-09-10,15.70,carton,wholesale,,true
2003-09-17,13.85,carton,wholesale,,true
2003-09-24,13.15,carton,wholesale,,true
2003-10-01,12.30,carton,wholesale,,true
2003-10-08,11.65,carton,wholesale,,true
2003-10-15,11.50,carton,wholesale,,true
2003-10-22,11.33,carton,wholesale,,true
2003-10-29,11.00,carton,wholesale,,true
2003-11-05,11.00,carton,wholesale,,true
2003-11-12,11.00,carton,wholesale,,true
2003-11-19,11.30,carton,wholesale,,true
2003-11-26,12.55,carton,wholesale,,true
2003-12-03,13.13,carton,wholesale,,true
