slug,kind,date,value_cents,score
0,point_outlier,2006-08-30,1200,6.745
0,point_outlier,2007-09-12,1380,4.721
0,point_outlier,2008-10-15,2050,6.745
0,point_outlier,2008-12-31,1650,5.188
0,point_outlier,2022-02-09,2765,5.565
0,regime_break,2017-11-15,,
1,point_outlier,2003-03-19,1450,5.059
1,point_outlier,2004-05-19,1945,6.745
1,point_outlier,2004-07-28,1940,4.721
1,point_outlier,2006-08-30,2715,4.341
1,point_outlier,2010-06-23,2288,10.117
1,point_outlier,2010-07-21,2295,4.946
1,point_outlier,2012-04-25,2350,5.396
1,point_outlier,2012-08-22,2940,5.292
1,point_outlier,2020-06-24,2270,4.384
1,point_outlier,2020-07-01,2280,4.047
1,point_outlier,2021-09-01,3200,10.117
1,point_outlier,2021-09-08,3400,16.862
1,point_outlier,2022-10-12,3213,9.119
1,point_outlier,2023-06-07,3150,6.745
1,point_outlier,2024-07-03,2975,4.946
1,point_outlier,2024-07-10,3006,11.916
1,regime_break,2011-07-20,,
10,point_outlier,2005-10-20,4250,4.123
10,point_outlier,2010-05-05,2865,4.284
10,point_outlier,2011-04-20,2300,5.86
10,point_outlier,2012-03-28,1735,4.092
10,point_outlier,2012-09-26,2265,4.519
10,point_outlier,2013-10-23,5063,4.467
10,point_outlier,2013-10-30,3930,6.871
10,point_outlier,2016-06-08,1350,4.625
10,point_outlier,2023-10-18,6620,5.107
10,regime_break,2015-07-22,,
100,point_outlier,2001-08-22,725,4.553
100,point_outlier,2002-01-16,1435,6.34
100,point_outlier,2003-02-26,1080,4.566
100,point_outlier,2005-02-02,1300,4.102
100,point_outlier,2006-08-16,2060,8.266
100,point_outlier,2006-09-20,1380,6.226
100,point_outlier,2008-04-23,2115,4.609
100,point_outlier,2009-09-02,1275,6.615
100,point_outlier,2010-07-21,665,4.946
100,point_outlier,2010-12-22,2440,6.414
100,point_outlier,2018-03-07,2150,5.552
100,point_outlier,2021-06-02,1900,4.216
100,point_outlier,2022-11-02,2150,17.031
100,point_outlier,2025-07-09,2550,22.933
100,point_outlier,2025-07-16,2760,7.15
100,point_outlier,2026-03-04,2960,4.047
100,point_outlier,2026-06-29,1600,5.621
100,regime_break,2012-11-07,,
101,point_outlier,2001-06-13,1110,4.452
101,point_outlier,2001-07-25,1075,7.419
101,point_outlier,2001-10-31,646,6.359
101,point_outlier,2002-05-29,1138,5.839
101,point_outlier,2003-04-23,1410,6.295
101,point_outlier,2005-04-27,1365,4.834
101,point_outlier,2006-05-17,1250,13.49
101,point_outlier,2006-11-15,1369,4.23
101,point_outlier,2009-09-23,710,4.047
101,point_outlier,2010-01-20,1538,4.506
101,point_outlier,2010-05-12,1210,4.272
101,point_outlier,2010-12-15,1730,7.852
101,point_outlier,2010-12-22,2000,5.059
101,point_outlier,2012-11-21,1780,7.166
101,point_outlier,2012-11-28,1163,5.239
101,point_outlier,2016-07-20,850,13.49
101,point_outlier,2016-10-19,850,6.07
101,point_outlier,2017-08-02,910,4.272
101,point_outlier,2017-11-08,1135,16.188
101,point_outlier,2020-11-25,1380,4.354
101,point_outlier,2022-05-25,1420,4.216
101,point_outlier,2022-06-01,1550,6.589
101,point_outlier,2023-08-09,1100,6.07
101,regime_break,2014-09-10,,
11,regime_break,2025-08-20,,
12,point_outlier,2001-10-10,1206,13.861
12,point_outlier,2002-07-17,1095,4.592
12,point_outlier,2002-09-04,1725,5.936
12,point_outlier,2002-11-13,1581,5.328
12,point_outlier,2003-01-08,1160,4.415
12,point_outlier,2004-05-12,1160,4.159
12,point_outlier,2006-01-04,956,4.54
12,point_outlier,2007-09-05,1250,4.192
12,point_outlier,2011-01-05,1367,7.324
12,point_outlier,2014-05-21,1880,4.159
12,point_outlier,2020-12-30,2500,4.159
12,point_outlier,2021-01-06,2450,6.745
12,point_outlier,2021-03-17,2500,5.059
12,point_outlier,2021-09-08,1763,8.212
12,point_outlier,2022-12-14,4970,4.3
12,point_outlier,2025-10-15,5275,4.162
12,point_outlier,2025-12-31,3875,4.721
12,regime_break,2018-08-01,,
13,point_outlier,2011-05-04,4420,5.354
13,point_outlier,2011-11-02,3275,4.497
13,point_outlier,2020-11-10,3200,4.047
13,point_outlier,2023-08-23,6563,6.332
13,regime_break,2010-11-17,,
14,point_outlier,2015-10-24,264,10.117
14,regime_break,2022-01-08,,
15,point_outlier,2002-02-20,2613,5.163
15,point_outlier,2002-03-27,1270,5.396
15,point_outlier,2002-09-11,1190,5.396
15,point_outlier,2002-11-27,1255,6.132
15,point_outlier,2002-12-04,1381,5.72
15,point_outlier,2004-09-01,1210,4.047
15,point_outlier,2005-08-03,1275,6.745
15,point_outlier,2005-08-10,1300,10.117
15,point_outlier,2006-04-19,1510,4.751
15,point_outlier,2006-12-06,1443,5.733
15,point_outlier,2010-05-05,1555,7.082
15,point_outlier,2011-11-16,1538,5.126
15,point_outlier,2012-05-02,1570,7.419
15,point_outlier,2012-10-03,1555,13.49
15,point_outlier,2012-10-10,1563,6.947
15,point_outlier,2013-05-08,1695,6.07
15,point_outlier,2014-05-07,1845,6.461
15,point_outlier,2016-05-11,1825,4.384
15,point_outlier,2017-07-12,1605,6.07
15,point_outlier,2020-10-28,2360,4.047
15,point_outlier,2021-01-13,2025,4.336
15,point_outlier,2024-10-02,2800,14.614
15,point_outlier,2024-10-09,2800,8.768
15,point_outlier,2026-06-03,2888,5.112
15,regime_break,2013-01-09,,
16,point_outlier,2002-09-04,770,4.047
16,point_outlier,2004-10-20,1000,6.07
16,point_outlier,2006-01-04,888,4.991
16,point_outlier,2007-03-28,1913,4.081
16,point_outlier,2008-08-13,2170,4.787
16,point_outlier,2008-12-03,1575,4.216
16,point_outlier,2009-11-25,1518,6.07
16,point_outlier,2010-10-13,1088,28.598
16,point_outlier,2011-08-03,1780,6.346
16,point_outlier,2011-11-30,1500,4.946
16,point_outlier,2014-11-12,1500,4.047
16,point_outlier,2015-08-12,1590,6.07
16,point_outlier,2015-11-25,1475,4.384
16,point_outlier,2016-09-14,1920,16.188
16,point_outlier,2019-02-13,1525,5.621
16,point_outlier,2025-01-22,13656,37.454
16,point_outlier,2025-01-29,8440,19.864
16,regime_break,2017-06-21,,
17,regime_break,2016-06-29,,
18,point_outlier,2003-12-17,1153,6.61
18,point_outlier,2004-11-24,925,5.396
