date,price_usd,unit,basis,source,reconstructed
2023-06-14,47.80,carton,wholesale,,true
2023-06-21,47.75,carton,wholesale,,true
2023-06-28,46.60,carton,wholesale,,true
2023-07-05,46.00,carton,wholesale,,true
2023-07-12,46.00,carton,wholesale,,true
2023-07-19,46.00,carton,wholesale,,true
2023-07-26,47.50,carton,wholesale,,true
2023-08-02,47.65,carton,wholesale,,true
2023-08-09,49.00,carton,wholesale,,true
2023-08-16,50.00,carton,wholesale,,true
2023-08-23,50.00,carton,wholesale,,true
2023-08-30,49.40,carton,wholesale,,true
2023-09-06,48.08,carton,wholesale,,true
2023-09-13,47.22,carton,wholesale,,true
2023-09-20,47.06,carton,wholesale,,true
2023-09-27,42.55,carton,wholesale,,true
2023-10-04,36.05,carton,wholesale,,true
2023-10-11,36.06,carton,wholesale,,true
2023-10-18,36.00,carton,wholesale,,true
2023-10-25,35.10,carton,wholesale,,true
2023-11-01,35.90,carton,wholesale,,true
2023-11-08,36.20,carton,wholesale,,true
2023-11-15,36.00,carton,wholesale,,true
2023-11-22,36.00,carton,wholesale,,true
2023-11-29,36.00,carton,wholesale,,true
2023-12-06,36.00,carton,wholesale,,true
2023-12-13,36.00,carton,wholesale,,true
2023-12-20,36.00,carton,wholesale,,true
2023-12-27,35.75,carton,wholesale,,true
2024-01-03,35.38,carton,wholesale,,true
2024-01-10,35.00,carton,wholesale,,true
2024-01-17,35.00,carton,wholesale,,true
2024-01-24,35.00,carton,wholesale,,true
2024-01-31,35.10,carton,wholesale,,true
2024-02-07,35.50,carton,wholesale,,true
2024-02-14,35.50,carton,wholesale,,true
2024-02-21,35.63,carton,wholesale,,true
2024-02-28,35.60,carton,wholesale,,true
2024-03-06,35.60,carton,wholesale,,true
2024-03-13,35.00,carton,wholesale,,true
2024-03-20,35.00,carton,wholesale,,true
2024-03-27,35.00,carton,wholesale,,true
2024-04-03,35.00,carton,wholesale,,true
2024-04-10,36.00,carton,wholesale,,true
2024-04-17,35.80,carton,wholesale,,true
2024-04-24,36.00,carton,wholesale,,true
2024-05-01,36.00,carton,wholesale,,true
2024-05-08,35.90,carton,wholesale,,true
2024-05-15,35.70,carton,wholesale,,true
2024-05-22,35.80,carton,wholesale,,true
2024-05-29,35.00,carton,wholesale,,true
2024-06-05,35.00,carton,wholesale,,true
2024-06-12,34.90,carton,wholesale,,true
2024-06-18,35.00,carton,wholesale,,true
2024-06-26,35.00,carton,wholesale,,true
