date,price_usd,unit,basis,source,reconstructed
2001-04-25,19.00,carton,wholesale,,true
2001-05-02,19.00,carton,wholesale,,true
2001-05-09,16.40,carton,wholesale,,true
2001-05-16,12.20,carton,wholesale,,true
2001-05-23,15.25,carton,wholesale,,true
2001-05-30,16.50,carton,wholesale,,true
2001-06-06,13.55,carton,wholesale,,true
2001-06-13,22.20,carton,wholesale,,true
2001-06-20,26.20,carton,wholesale,,true
2001-06-27,25.20,carton,wholesale,,true
2001-07-03,25.88,carton,wholesale,,true
2001-07-11,27.05,carton,wholesale,,true
2001-07-18,24.50,carton,wholesale,,true
2001-07-25,22.55,carton,wholesale,,true
2001-08-01,18.90,carton,wholesale,,true
2001-08-08,16.78,carton,wholesale,,true
2001-08-15,16.43,carton,wholesale,,true
2001-08-22,19.50,carton,wholesale,,true
2001-08-29,22.70,carton,wholesale,,true
2001-09-05,22.75,carton,wholesale,,true
2001-09-12,24.40,carton,wholesale,,true
2001-09-19,16.50,carton,wholesale,,true
2001-09-26,14.20,carton,wholesale,,true
2001-10-03,14.63,carton,wholesale,,true
2001-10-10,11.78,carton,wholesale,,true
2001-10-17,12.90,carton,wholesale,,true
2001-10-24,14.00,carton,wholesale,,true
2001-10-31,14.90,carton,wholesale,,true
2001-11-07,15.33,carton,wholesale,,true
2001-11-14,16.44,carton,wholesale,,true
2001-11-21,21.67,carton,wholesale,,true
2001-11-28,22.75,carton,wholesale,,true
2001-12-05,22.70,carton,wholesale,,true
2001-12-12,23.15,carton,wholesale,,true
2001-12-19,27.20,carton,wholesale,,true
2001-12-26,25.42,carton,wholesale,,true
2002-01-02,28.75,carton,wholesale,,true
2002-01-09,24.00,carton,wholesale,,true
2002-01-16,25.50,carton,wholesale,,true
2002-01-23,23.94,carton,wholesale,,true
2002-01-30,21.15,carton,wholesale,,true
2002-02-06,15.88,carton,wholesale,,true
2002-02-13,22.83,carton,wholesale,,true
2002-02-20,17.80,carton,wholesale,,true
2002-02-27,17.00,carton,wholesale,,true
2002-03-06,20.50,carton,wholesale,,true
2002-03-13,22.80,carton,wholesale,,true
