date,price_usd,unit,basis,source,reconstructed
2023-06-14,33.05,carton,wholesale,,true
2023-06-21,33.81,carton,wholesale,,true
2023-06-28,37.60,carton,wholesale,,true
2023-07-05,41.66,carton,wholesale,,true
2023-07-12,43.08,carton,wholesale,,true
2023-07-19,43.30,carton,wholesale,,true
2023-07-26,41.50,carton,wholesale,,true
2023-08-02,41.50,carton,wholesale,,true
2023-08-09,40.90,carton,wholesale,,true
2023-08-16,40.00,carton,wholesale,,true
2023-08-23,41.70,carton,wholesale,,true
2023-08-30,41.75,carton,wholesale,,true
2023-09-06,40.50,carton,wholesale,,true
2023-09-13,41.20,carton,wholesale,,true
2023-09-20,37.10,carton,wholesale,,true
2023-09-27,33.70,carton,wholesale,,true
2023-10-04,30.60,carton,wholesale,,true
2023-10-11,31.41,carton,wholesale,,true
2023-10-18,34.78,carton,wholesale,,true
2023-10-25,35.85,carton,wholesale,,true
2023-11-01,35.50,carton,wholesale,,true
2023-11-08,33.30,carton,wholesale,,true
2023-11-15,30.00,carton,wholesale,,true
2023-11-22,29.25,carton,wholesale,,true
2023-11-29,31.13,carton,wholesale,,true
2023-12-06,32.25,carton,wholesale,,true
2023-12-13,35.25,carton,wholesale,,true
2023-12-20,41.70,carton,wholesale,,true
2023-12-27,56.38,carton,wholesale,,true
2024-01-03,59.50,carton,wholesale,,true
2024-01-10,57.10,carton,wholesale,,true
2024-01-17,52.69,carton,wholesale,,true
2024-01-24,51.90,carton,wholesale,,true
2024-01-31,47.15,carton,wholesale,,true
2024-02-07,37.80,carton,wholesale,,true
2024-02-14,27.50,carton,wholesale,,true
2024-02-21,23.00,carton,wholesale,,true
2024-02-28,18.50,carton,wholesale,,true
2024-03-06,16.85,carton,wholesale,,true
2024-03-13,17.20,carton,wholesale,,true
2024-03-20,17.95,carton,wholesale,,true
2024-03-27,23.50,carton,wholesale,,true
2024-04-03,31.45,carton,wholesale,,true
2024-04-10,34.90,carton,wholesale,,true
2024-04-17,33.35,carton,wholesale,,true
2024-04-24,31.55,carton,wholesale,,true
2024-05-01,30.98,carton,wholesale,,true
2024-05-08,30.00,carton,wholesale,,true
2024-05-15,31.80,carton,wholesale,,true
2024-05-22,33.80,carton,wholesale,,true
2024-05-29,32.06,carton,wholesale,,true
2024-06-05,30.10,carton,wholesale,,true
2024-06-12,28.85,carton,wholesale,,true
2024-06-18,26.75,carton,wholesale,,true
2024-06-26,31.50,carton,wholesale,,true
2024-07-03,31.50,carton,wholesale,,true
2024-07-10,43.88,carton,wholesale,,true
2024-07-17,45.20,carton,wholesale,,true
2024-07-24,40.10,carton,wholesale,,true
2024-07-31,38.75,carton,wholesale,,true
2024-08-07,38.35,carton,wholesale,,true
2024-08-14,37.35,carton,wholesale,,true
2024-08-21,38.00,carton,wholesale,,true
2024-08-28,40.80,carton,wholesale,,true
2024-09-04,40.50,carton,wholesale,,true
2024-09-11,41.70,carton,wholesale,,true
2024-09-18,45.00,carton,wholesale,,true
2024-09-25,45.95,carton,wholesale,,true
2024-10-02,46.80,carton,wholesale,,true
2024-10-09,46.50,carton,wholesale,,true
2024-10-16,41.63,carton,wholesale,,true
2024-10-23,34.80,carton,wholesale,,true
2024-10-30,32.90,carton,wholesale,,true
2024-11-06,30.75,carton,wholesale,,true
2024-11-13,33.50,carton,wholesale,,true
2024-11-20,35.30,carton,wholesale,,true
2024-11-27,34.50,carton,wholesale,,true
2024-12-04,36.00,carton,wholesale,,true
2024-12-11,36.80,carton,wholesale,,true
2024-12-18,38.80,carton,wholesale,,true
2024-12-20,47.00,carton,wholesale,,true
2025-01-08,43.33,carton,wholesale,,true
2025-01-15,40.50,carton,wholesale,,true
2025-01-22,39.88,carton,wholesale,,true
2025-01-29,39.40,carton,wholesale,,true
2025-02-05,36.60,carton,wholesale,,true
2025-02-12,35.00,carton,wholesale,,true
2025-02-19,33.63,carton,wholesale,,true
2025-02-26,32.80,carton,wholesale,,true
2025-03-05,28.60,carton,wholesale,,true
2025-03-12,28.30,carton,wholesale,,true
2025-03-19,27.30,carton,wholesale,,true
2025-03-26,28.50,carton,wholesale,,true
2025-04-02,30.00,carton,wholesale,,true
