date,price_usd,unit,basis,source,reconstructed
2001-03-28,28.42,carton,wholesale,,true
2001-04-04,39.20,carton,wholesale,,true
2001-04-11,36.80,carton,wholesale,,true
2001-04-18,36.25,carton,wholesale,,true
2001-04-25,26.95,carton,wholesale,,true
2001-05-02,35.20,carton,wholesale,,true
2001-05-09,33.10,carton,wholesale,,true
2001-05-16,33.20,carton,wholesale,,true
2001-05-23,33.30,carton,wholesale,,true
2001-05-30,25.25,carton,wholesale,,true
2001-06-06,30.85,carton,wholesale,,true
2001-06-13,30.30,carton,wholesale,,true
2001-06-20,30.60,carton,wholesale,,true
2001-06-27,28.90,carton,wholesale,,true
2001-07-03,25.94,carton,wholesale,,true
2001-07-11,17.90,carton,wholesale,,true
2001-07-18,13.70,carton,wholesale,,true
2001-07-25,9.60,carton,wholesale,,true
2001-08-01,11.00,carton,wholesale,,true
2001-08-08,13.40,carton,wholesale,,true
2001-08-15,15.35,carton,wholesale,,true
2001-08-22,15.50,carton,wholesale,,true
2001-08-29,11.60,carton,wholesale,,true
2001-09-05,13.38,carton,wholesale,,true
2001-09-11,17.00,carton,wholesale,,true
2001-09-19,13.20,carton,wholesale,,true
2001-09-26,22.30,carton,wholesale,,true
2001-10-03,17.60,carton,wholesale,,true
2001-10-10,16.13,carton,wholesale,,true
2001-10-17,19.00,carton,wholesale,,true
2001-10-24,17.10,carton,wholesale,,true
2001-10-31,12.35,carton,wholesale,,true
2001-11-07,17.50,carton,wholesale,,true
2001-11-14,16.00,carton,wholesale,,true
2001-11-21,16.20,carton,wholesale,,true
2001-11-28,14.50,carton,wholesale,,true
2001-12-05,18.70,carton,wholesale,,true
2001-12-12,18.00,carton,wholesale,,true
2001-12-19,17.40,carton,wholesale,,true
2001-12-26,14.25,carton,wholesale,,true
2002-01-02,17.50,carton,wholesale,,true
2002-01-09,24.05,carton,wholesale,,true
2002-01-16,24.10,carton,wholesale,,true
2002-01-23,22.81,carton,wholesale,,true
2002-01-30,18.90,carton,wholesale,,true
2002-02-04,18.42,carton,wholesale,,true
2002-05-08,32.50,carton,wholesale,,true
2002-05-15,38.25,carton,wholesale,,true
2002-05-22,38.25,carton,wholesale,,true
2002-05-29,41.31,carton,wholesale,,true
2002-06-05,44.15,carton,wholesale,,true
2002-06-12,43.20,carton,wholesale,,true
2002-06-19,42.90,carton,wholesale,,true
2002-06-26,34.80,carton,wholesale,,true
2002-07-03,23.20,carton,wholesale,,true
2002-07-10,19.88,carton,wholesale,,true
2002-07-17,12.20,carton,wholesale,,true
2002-07-24,10.20,carton,wholesale,,true
2002-07-31,11.00,carton,wholesale,,true
2002-08-07,12.25,carton,wholesale,,true
2002-08-14,19.85,carton,wholesale,,true
2002-08-21,12.20,carton,wholesale,,true
2002-08-28,12.15,carton,wholesale,,true
2002-09-04,13.00,carton,wholesale,,true
2002-09-11,15.90,carton,wholesale,,true
2002-09-18,13.50,carton,wholesale,,true
2002-09-25,11.85,carton,wholesale,,true
2002-10-02,12.80,carton,wholesale,,true
2002-10-09,9.00,carton,wholesale,,true
2002-10-16,12.44,carton,wholesale,,true
2002-10-23,13.83,carton,wholesale,,true
2002-10-30,15.70,carton,wholesale,,true
2002-11-06,16.55,carton,wholesale,,true
2002-11-13,13.50,carton,wholesale,,true
2002-11-20,12.30,carton,wholesale,,true
2002-11-27,15.30,carton,wholesale,,true
2002-12-04,9.50,carton,wholesale,,true
2002-12-11,10.75,carton,wholesale,,true
2002-12-18,17.10,carton,wholesale,,true
2002-12-24,14.00,carton,wholesale,,true
2002-12-31,15.00,carton,wholesale,,true
