date,price_usd,unit,basis,source,reconstructed
2001-04-25,10.00,carton,wholesale,,true
2001-05-02,9.75,carton,wholesale,,true
2001-05-09,9.75,carton,wholesale,,true
2001-05-16,9.75,carton,wholesale,,true
2001-05-23,9.75,carton,wholesale,,true
2001-05-30,9.75,carton,wholesale,,true
2001-06-06,9.75,carton,wholesale,,true
2001-06-13,9.75,carton,wholesale,,true
2001-06-20,9.75,carton,wholesale,,true
2001-06-27,9.53,carton,wholesale,,true
2001-07-03,9.38,carton,wholesale,,true
2001-07-11,9.38,carton,wholesale,,true
2001-07-18,9.38,carton,wholesale,,true
2001-07-25,9.38,carton,wholesale,,true
2001-08-01,9.38,carton,wholesale,,true
2001-08-06,9.38,carton,wholesale,,true
2001-08-15,9.38,carton,wholesale,,true
2001-08-22,9.38,carton,wholesale,,true
2001-08-29,9.40,carton,wholesale,,true
2001-09-05,9.50,carton,wholesale,,true
2001-09-12,9.50,carton,wholesale,,true
2001-09-19,9.48,carton,wholesale,,true
2001-09-26,9.50,carton,wholesale,,true
2001-10-03,9.50,carton,wholesale,,true
2001-10-10,9.50,carton,wholesale,,true
2001-10-17,9.50,carton,wholesale,,true
2001-10-24,9.50,carton,wholesale,,true
2001-10-31,9.50,carton,wholesale,,true
2001-11-07,9.50,carton,wholesale,,true
2001-11-14,9.50,carton,wholesale,,true
2001-11-21,9.50,carton,wholesale,,true
2001-11-28,9.50,carton,wholesale,,true
2001-12-05,9.50,carton,wholesale,,true
2001-12-12,9.65,carton,wholesale,,true
2001-12-19,9.75,carton,wholesale,,true
2001-12-26,9.75,carton,wholesale,,true
2002-01-02,9.72,carton,wholesale,,true
2002-01-09,9.55,carton,wholesale,,true
2002-01-16,9.50,carton,wholesale,,true
2002-01-23,9.50,carton,wholesale,,true
2002-01-30,9.50,carton,wholesale,,true
2002-02-06,9.50,carton,wholesale,,true
2002-02-13,9.63,carton,wholesale,,true
2002-02-20,9.63,carton,wholesale,,true
2002-02-27,9.63,carton,wholesale,,true
2002-03-06,9.63,carton,wholesale,,true
2002-03-13,9.63,carton,wholesale,,true
2002-03-20,9.70,carton,wholesale,,true
2002-03-27,9.63,carton,wholesale,,true
2002-04-03,9.53,carton,wholesale,,true
2002-04-10,9.50,carton,wholesale,,true
2002-04-17,9.50,carton,wholesale,,true
2002-04-24,9.50,carton,wholesale,,true
2002-05-01,9.50,carton,wholesale,,true
2002-05-08,9.50,carton,wholesale,,true
2002-05-15,9.50,carton,wholesale,,true
2002-05-22,9.50,carton,wholesale,,true
2002-05-29,9.50,carton,wholesale,,true
2002-06-05,9.50,carton,wholesale,,true
2002-06-12,9.50,carton,wholesale,,true
2002-06-19,9.50,carton,wholesale,,true
2002-06-26,9.50,carton,wholesale,,true
2002-07-03,9.50,carton,wholesale,,true
2002-07-10,9.50,carton,wholesale,,true
2002-07-17,9.45,carton,wholesale,,true
2002-07-24,9.38,carton,wholesale,,true
2002-07-31,9.38,carton,wholesale,,true
2002-08-07,9.38,carton,wholesale,,true
2002-08-14,9.45,carton,wholesale,,true
2002-08-21,9.50,carton,wholesale,,true
2002-08-28,9.50,carton,wholesale,,true
2002-09-04,9.50,carton,wholesale,,true
2002-09-11,9.60,carton,wholesale,,true
2002-09-18,9.50,carton,wholesale,,true
2002-09-25,9.50,carton,wholesale,,true
2002-10-02,10.15,carton,wholesale,,true
2002-10-09,15.55,carton,wholesale,,true
2002-10-16,12.25,carton,wholesale,,true
2002-10-23,10.75,carton,wholesale,,true
2002-10-30,10.20,carton,wholesale,,true
2002-11-06,10.40,carton,wholesale,,true
2002-11-13,10.00,carton,wholesale,,true
2002-11-20,10.00,carton,wholesale,,true
2002-11-27,10.20,carton,wholesale,,true
2002-12-04,10.25,carton,wholesale,,true
2002-12-11,11.10,carton,wholesale,,true
2002-12-18,11.63,carton,wholesale,,true
2002-12-24,11.63,carton,wholesale,,true
2002-12-31,11.63,carton,wholesale,,true
2003-01-08,11.63,carton,wholesale,,true
2003-01-15,11.25,carton,wholesale,,true
2003-01-22,11.10,carton,wholesale,,true
2003-01-29,10.90,carton,wholesale,,true
2003-02-05,11.28,carton,wholesale,,true
2003-02-12,11.55,carton,wholesale,,true
