date,price_usd,unit,basis,source
2026-05-07,6.88,carton,wholesale,usda-ams-atlanta
2026-05-08,6.88,carton,wholesale,usda-ams-atlanta
2026-05-11,6.88,carton,wholesale,usda-ams-atlanta
2026-05-12,6.88,carton,wholesale,usda-ams-atlanta
2026-05-13,6.88,carton,wholesale,usda-ams-atlanta
2026-05-14,6.88,carton,wholesale,usda-ams-atlanta
2026-05-15,6.88,carton,wholesale,usda-ams-atlanta
2026-05-18,6.88,carton,wholesale,usda-ams-atlanta
2026-05-19,6.88,carton,wholesale,usda-ams-atlanta
2026-05-20,6.88,carton,wholesale,usda-ams-atlanta
2026-05-21,6.88,carton,wholesale,usda-ams-atlanta
2026-05-22,6.88,carton,wholesale,usda-ams-atlanta
2026-05-26,6.88,carton,wholesale,usda-ams-atlanta
2026-05-27,6.88,carton,wholesale,usda-ams-atlanta
2026-05-28,6.88,carton,wholesale,usda-ams-atlanta
2026-05-29,6.88,carton,wholesale,usda-ams-atlanta
2026-06-01,6.88,carton,wholesale,usda-ams-atlanta
2026-06-02,6.88,carton,wholesale,usda-ams-atlanta
2026-06-03,6.88,carton,wholesale,usda-ams-atlanta
2026-06-04,6.88,carton,wholesale,usda-ams-atlanta
2026-06-05,6.88,carton,wholesale,usda-ams-atlanta
2026-06-08,6.88,carton,wholesale,usda-ams-atlanta
2026-06-09,6.88,carton,wholesale,usda-ams-atlanta
2026-06-10,6.88,carton,wholesale,usda-ams-atlanta
2026-06-11,6.88,carton,wholesale,usda-ams-atlanta
2026-06-12,6.88,carton,wholesale,usda-ams-atlanta
