date,price_usd,unit,basis,source,reconstructed
2001-04-18,7.36,lb,wholesale,,true
2001-04-25,7.47,lb,wholesale,,true
2001-05-02,6.04,lb,wholesale,,true
2001-05-09,7.71,lb,wholesale,,true
2001-05-16,6.28,lb,wholesale,,true
2001-05-23,6.37,lb,wholesale,,true
2001-05-30,4.07,lb,wholesale,,true
2001-06-13,1.60,lb,wholesale,,true
2001-06-20,1.58,lb,wholesale,,true
2001-06-27,4.57,lb,wholesale,,true
2001-07-03,5.63,lb,wholesale,,true
2001-07-11,4.45,lb,wholesale,,true
2001-07-18,2.91,lb,wholesale,,true
2001-07-25,2.79,lb,wholesale,,true
2001-08-01,5.57,lb,wholesale,,true
2001-08-08,2.77,lb,wholesale,,true
2001-08-15,4.20,lb,wholesale,,true
2001-08-22,7.13,lb,wholesale,,true
2001-08-29,7.12,lb,wholesale,,true
2001-09-05,7.14,lb,wholesale,,true
2001-09-12,7.09,lb,wholesale,,true
2001-09-19,7.11,lb,wholesale,,true
2001-09-26,7.03,lb,wholesale,,true
2001-10-03,6.84,lb,wholesale,,true
2001-10-10,6.53,lb,wholesale,,true
2001-10-17,6.58,lb,wholesale,,true
2001-10-24,6.42,lb,wholesale,,true
2001-10-31,6.34,lb,wholesale,,true
2001-11-07,6.16,lb,wholesale,,true
2001-11-14,6.00,lb,wholesale,,true
2001-11-21,6.48,lb,wholesale,,true
2001-11-28,7.01,lb,wholesale,,true
2001-12-05,7.37,lb,wholesale,,true
2001-12-12,7.38,lb,wholesale,,true
2001-12-19,7.40,lb,wholesale,,true
2001-12-26,6.98,lb,wholesale,,true
2002-01-02,6.72,lb,wholesale,,true
2002-01-09,6.67,lb,wholesale,,true
2002-01-16,6.51,lb,wholesale,,true
2002-01-23,6.35,lb,wholesale,,true
2002-01-30,6.19,lb,wholesale,,true
2002-02-06,6.45,lb,wholesale,,true
2002-02-13,6.69,lb,wholesale,,true
2002-02-20,6.74,lb,wholesale,,true
2002-02-27,6.69,lb,wholesale,,true
2002-03-06,6.69,lb,wholesale,,true
2002-03-13,6.87,lb,wholesale,,true
2002-03-20,6.92,lb,wholesale,,true
2002-03-27,6.83,lb,wholesale,,true
2002-04-03,6.71,lb,wholesale,,true
2002-04-10,6.83,lb,wholesale,,true
2002-04-17,6.87,lb,wholesale,,true
2002-04-24,6.87,lb,wholesale,,true
2002-05-01,6.89,lb,wholesale,,true
2002-05-08,6.93,lb,wholesale,,true
2002-05-15,7.22,lb,wholesale,,true
2002-05-22,7.38,lb,wholesale,,true
2002-05-29,7.39,lb,wholesale,,true
2002-06-05,7.52,lb,wholesale,,true
2002-06-12,7.54,lb,wholesale,,true
2002-06-19,7.49,lb,wholesale,,true
2002-06-26,7.37,lb,wholesale,,true
2002-07-03,7.24,lb,wholesale,,true
2002-07-10,7.04,lb,wholesale,,true
2002-07-17,6.85,lb,wholesale,,true
2002-07-24,6.64,lb,wholesale,,true
2002-07-31,6.38,lb,wholesale,,true
2002-08-07,6.19,lb,wholesale,,true
2002-08-14,6.29,lb,wholesale,,true
2002-08-21,6.42,lb,wholesale,,true
2002-08-28,6.54,lb,wholesale,,true
2002-09-04,6.72,lb,wholesale,,true
2002-09-11,6.79,lb,wholesale,,true
2002-09-18,6.75,lb,wholesale,,true
2002-09-25,7.00,lb,wholesale,,true
2002-10-02,7.15,lb,wholesale,,true
2002-10-09,7.21,lb,wholesale,,true
2002-10-16,7.14,lb,wholesale,,true
2002-10-23,7.07,lb,wholesale,,true
2002-10-30,7.18,lb,wholesale,,true
2002-11-06,7.30,lb,wholesale,,true
2002-11-13,7.39,lb,wholesale,,true
2002-11-20,7.68,lb,wholesale,,true
2002-11-27,7.86,lb,wholesale,,true
2002-12-04,8.15,lb,wholesale,,true
2002-12-11,8.44,lb,wholesale,,true
2002-12-18,8.50,lb,wholesale,,true
2002-12-24,8.25,lb,wholesale,,true
2002-12-31,8.01,lb,wholesale,,true
2003-01-08,7.84,lb,wholesale,,true
2003-01-15,7.86,lb,wholesale,,true
2003-01-22,7.91,lb,wholesale,,true
2003-01-29,7.68,lb,wholesale,,true
2003-02-05,7.74,lb,wholesale,,true
2003-02-12,7.78,lb,wholesale,,true
2003-02-19,7.72,lb,wholesale,,true
2003-02-26,7.74,lb,wholesale,,true
2003-03-05,7.78,lb,wholesale,,true
2003-03-12,7.79,lb,wholesale,,true
2003-03-19,7.75,lb,wholesale,,true
2003-03-26,7.76,lb,wholesale,,true
2003-04-02,7.83,lb,wholesale,,true
2003-04-09,7.92,lb,wholesale,,true
2003-04-16,8.08,lb,wholesale,,true
2003-04-23,8.21,lb,wholesale,,true
2003-04-30,8.37,lb,wholesale,,true
2003-05-07,8.51,lb,wholesale,,true
2003-05-14,8.65,lb,wholesale,,true
2003-05-21,8.85,lb,wholesale,,true
2003-05-28,9.03,lb,wholesale,,true
2003-06-04,9.28,lb,wholesale,,true
2003-06-11,9.36,lb,wholesale,,true
2003-06-18,9.29,lb,wholesale,,true
2003-06-25,9.15,lb,wholesale,,true
2003-07-02,8.79,lb,wholesale,,true
2003-07-09,8.61,lb,wholesale,,true
2003-07-16,8.54,lb,wholesale,,true
