date,price_usd,unit,basis,source,reconstructed
2001-04-18,8.13,carton,wholesale,,true
2001-04-25,7.38,carton,wholesale,,true
2001-05-02,7.38,carton,wholesale,,true
2001-05-09,7.05,carton,wholesale,,true
2001-05-16,7.23,carton,wholesale,,true
2001-05-23,6.85,carton,wholesale,,true
2001-05-30,6.38,carton,wholesale,,true
2001-06-06,6.38,carton,wholesale,,true
2001-06-13,6.48,carton,wholesale,,true
2001-06-20,6.60,carton,wholesale,,true
2001-06-27,6.90,carton,wholesale,,true
2001-07-03,6.94,carton,wholesale,,true
2001-07-11,6.98,carton,wholesale,,true
2001-07-18,7.10,carton,wholesale,,true
2001-07-25,7.00,carton,wholesale,,true
2001-08-01,7.13,carton,wholesale,,true
2001-08-06,7.13,carton,wholesale,,true
2001-08-15,7.13,carton,wholesale,,true
2001-08-22,7.20,carton,wholesale,,true
2001-08-29,7.13,carton,wholesale,,true
2001-09-05,7.07,carton,wholesale,,true
2001-09-12,7.13,carton,wholesale,,true
2001-09-19,7.13,carton,wholesale,,true
2001-09-26,7.13,carton,wholesale,,true
2001-10-03,7.13,carton,wholesale,,true
2001-10-10,7.13,carton,wholesale,,true
2001-10-17,7.13,carton,wholesale,,true
2001-10-24,7.60,carton,wholesale,,true
2001-10-31,6.95,carton,wholesale,,true
2001-11-07,6.88,carton,wholesale,,true
2001-11-14,6.78,carton,wholesale,,true
2001-11-21,6.78,carton,wholesale,,true
2001-11-28,6.88,carton,wholesale,,true
2001-12-05,6.88,carton,wholesale,,true
2001-12-12,6.88,carton,wholesale,,true
2001-12-19,6.88,carton,wholesale,,true
2001-12-26,6.88,carton,wholesale,,true
2002-01-02,6.88,carton,wholesale,,true
2002-01-09,6.88,carton,wholesale,,true
2002-01-16,7.03,carton,wholesale,,true
2002-01-23,7.13,carton,wholesale,,true
2002-01-30,7.08,carton,wholesale,,true
2002-02-06,7.15,carton,wholesale,,true
2002-02-13,7.38,carton,wholesale,,true
2002-02-20,7.38,carton,wholesale,,true
2002-02-27,7.38,carton,wholesale,,true
2002-03-06,7.35,carton,wholesale,,true
2002-03-13,7.25,carton,wholesale,,true
2002-03-20,7.25,carton,wholesale,,true
2002-03-27,7.25,carton,wholesale,,true
2002-04-03,7.25,carton,wholesale,,true
2002-04-10,7.25,carton,wholesale,,true
2002-04-17,7.25,carton,wholesale,,true
2002-04-24,7.25,carton,wholesale,,true
2002-05-01,7.25,carton,wholesale,,true
2002-05-08,7.25,carton,wholesale,,true
2002-05-15,7.25,carton,wholesale,,true
