date,price_usd,unit,basis,source,reconstructed
2023-06-14,19.70,carton,wholesale,,true
2023-06-21,21.13,carton,wholesale,,true
2023-06-28,22.40,carton,wholesale,,true
2023-07-05,23.00,carton,wholesale,,true
2023-07-12,23.00,carton,wholesale,,true
2023-07-19,20.20,carton,wholesale,,true
2023-07-26,19.05,carton,wholesale,,true
2023-08-02,19.40,carton,wholesale,,true
2023-08-09,20.50,carton,wholesale,,true
2023-08-16,22.95,carton,wholesale,,true
2023-08-23,24.40,carton,wholesale,,true
2023-08-30,24.00,carton,wholesale,,true
2023-09-06,24.50,carton,wholesale,,true
2023-09-13,23.00,carton,wholesale,,true
2023-09-20,22.00,carton,wholesale,,true
2023-09-27,20.80,carton,wholesale,,true
2023-10-04,19.00,carton,wholesale,,true
2023-10-11,20.50,carton,wholesale,,true
2023-10-18,23.20,carton,wholesale,,true
2023-10-25,23.60,carton,wholesale,,true
2023-11-01,20.30,carton,wholesale,,true
2023-11-08,18.10,carton,wholesale,,true
2023-11-15,18.00,carton,wholesale,,true
2023-11-22,18.50,carton,wholesale,,true
2023-11-29,20.38,carton,wholesale,,true
2023-12-06,23.10,carton,wholesale,,true
2023-12-13,27.30,carton,wholesale,,true
2023-12-20,33.50,carton,wholesale,,true
2023-12-27,35.88,carton,wholesale,,true
2024-01-03,33.00,carton,wholesale,,true
2024-01-10,30.00,carton,wholesale,,true
2024-01-17,30.00,carton,wholesale,,true
2024-01-24,29.00,carton,wholesale,,true
2024-01-31,28.60,carton,wholesale,,true
2024-02-07,29.00,carton,wholesale,,true
2024-02-14,29.20,carton,wholesale,,true
2024-02-21,34.00,carton,wholesale,,true
2024-02-28,34.00,carton,wholesale,,true
2024-03-06,31.50,carton,wholesale,,true
2024-03-13,27.90,carton,wholesale,,true
2024-03-20,30.00,carton,wholesale,,true
2024-03-27,33.00,carton,wholesale,,true
2024-04-03,33.00,carton,wholesale,,true
2024-04-10,24.30,carton,wholesale,,true
2024-04-17,21.85,carton,wholesale,,true
2024-04-24,19.25,carton,wholesale,,true
2024-05-01,19.25,carton,wholesale,,true
2024-05-08,19.25,carton,wholesale,,true
2024-05-15,19.15,carton,wholesale,,true
2024-05-22,17.70,carton,wholesale,,true
2024-05-29,16.19,carton,wholesale,,true
2024-06-05,17.50,carton,wholesale,,true
2024-06-12,18.80,carton,wholesale,,true
2024-06-18,24.25,carton,wholesale,,true
2024-06-26,30.00,carton,wholesale,,true
2024-07-03,28.15,carton,wholesale,,true
2024-07-10,28.31,carton,wholesale,,true
2024-07-17,30.75,carton,wholesale,,true
2024-07-24,27.80,carton,wholesale,,true
2024-07-31,24.80,carton,wholesale,,true
2024-08-07,23.70,carton,wholesale,,true
2024-08-14,23.60,carton,wholesale,,true
2024-08-21,22.70,carton,wholesale,,true
2024-08-28,23.30,carton,wholesale,,true
2024-09-04,23.50,carton,wholesale,,true
2024-09-11,22.90,carton,wholesale,,true
2024-09-18,20.80,carton,wholesale,,true
2024-09-25,19.00,carton,wholesale,,true
2024-10-02,18.60,carton,wholesale,,true
2024-10-09,18.10,carton,wholesale,,true
2024-10-16,18.63,carton,wholesale,,true
2024-10-23,23.50,carton,wholesale,,true
2024-10-30,26.00,carton,wholesale,,true
2024-11-06,28.00,carton,wholesale,,true
2024-11-13,28.00,carton,wholesale,,true
2024-11-20,28.00,carton,wholesale,,true
2024-11-27,31.60,carton,wholesale,,true
2024-12-04,34.00,carton,wholesale,,true
2024-12-11,30.00,carton,wholesale,,true
2024-12-18,29.10,carton,wholesale,,true
2024-12-23,32.00,carton,wholesale,,true
2024-12-31,31.63,carton,wholesale,,true
2025-01-08,30.80,carton,wholesale,,true
2025-01-15,30.38,carton,wholesale,,true
2025-01-22,26.75,carton,wholesale,,true
2025-01-29,22.10,carton,wholesale,,true
2025-02-05,21.20,carton,wholesale,,true
2025-02-12,19.00,carton,wholesale,,true
2025-02-19,19.00,carton,wholesale,,true
2025-02-26,19.80,carton,wholesale,,true
2025-03-05,19.95,carton,wholesale,,true
2025-03-12,19.75,carton,wholesale,,true
2025-03-19,20.55,carton,wholesale,,true
2025-03-26,20.30,carton,wholesale,,true
2025-04-02,20.00,carton,wholesale,,true
2025-04-09,20.00,carton,wholesale,,true
2025-04-16,19.60,carton,wholesale,,true
2025-04-23,19.40,carton,wholesale,,true
2025-04-30,19.00,carton,wholesale,,true
2025-05-07,19.00,carton,wholesale,,true
2025-05-14,19.20,carton,wholesale,,true
2025-05-21,22.00,carton,wholesale,,true
2025-05-28,23.00,carton,wholesale,,true
2025-06-04,23.20,carton,wholesale,,true
2025-06-11,20.20,carton,wholesale,,true
2025-06-18,15.35,carton,wholesale,,true
2025-06-25,14.75,carton,wholesale,,true
2025-07-02,15.55,carton,wholesale,,true
2025-07-09,22.00,carton,wholesale,,true
2025-07-16,29.20,carton,wholesale,,true
2025-07-23,33.90,carton,wholesale,,true
2025-07-30,28.25,carton,wholesale,,true
2025-08-06,24.60,carton,wholesale,,true
2025-08-13,24.00,carton,wholesale,,true
2025-08-20,26.50,carton,wholesale,,true
2025-08-27,26.50,carton,wholesale,,true
2025-09-03,26.50,carton,wholesale,,true
2025-09-10,22.00,carton,wholesale,,true
2025-09-17,22.00,carton,wholesale,,true
2025-09-24,15.50,carton,wholesale,,true
2025-10-01,15.50,carton,wholesale,,true
2025-10-08,15.50,carton,wholesale,,true
2025-10-15,15.25,carton,wholesale,,true
2025-10-22,15.00,carton,wholesale,,true
2025-10-29,15.00,carton,wholesale,,true
2025-11-05,14.95,carton,wholesale,,true
2025-11-12,15.75,carton,wholesale,,true
2025-11-19,16.60,carton,wholesale,,true
2025-11-26,19.40,carton,wholesale,,true
2025-12-03,21.25,carton,wholesale,,true
2025-12-10,22.40,carton,wholesale,,true
2025-12-17,22.60,carton,wholesale,,true
2025-12-23,26.50,carton,wholesale,,true
2025-12-31,26.50,carton,wholesale,,true
2026-01-07,22.00,carton,wholesale,,true
2026-01-14,19.60,carton,wholesale,,true
2026-01-21,19.00,carton,wholesale,,true
2026-01-28,23.00,carton,wholesale,,true
2026-02-04,25.10,carton,wholesale,,true
2026-02-11,27.60,carton,wholesale,,true
2026-02-18,28.00,carton,wholesale,,true
2026-02-25,36.00,carton,wholesale,,true
2026-03-04,36.00,carton,wholesale,,true
2026-03-11,37.00,carton,wholesale,,true
2026-03-18,38.50,carton,wholesale,,true
2026-03-25,38.50,carton,wholesale,,true
2026-04-01,38.60,carton,wholesale,,true
2026-04-08,39.00,carton,wholesale,,true
2026-04-15,39.00,carton,wholesale,,true
2026-04-22,37.20,carton,wholesale,,true
2026-04-29,26.60,carton,wholesale,,true
2026-05-06,22.20,carton,wholesale,,true
2026-05-13,25.00,carton,wholesale,,true
2026-05-20,29.50,carton,wholesale,,true
2026-05-27,29.50,carton,wholesale,,true
2026-05-28,35.00,carton,wholesale,usda-ams-boston,false
2026-05-29,35.00,carton,wholesale,usda-ams-boston,false
2026-06-01,35.00,carton,wholesale,usda-ams-boston,false
2026-06-02,26.00,carton,wholesale,usda-ams-boston,false
2026-06-03,26.00,carton,wholesale,usda-ams-boston,false
2026-06-04,26.00,carton,wholesale,usda-ams-boston,false
2026-06-05,26.00,carton,wholesale,usda-ams-boston,false
2026-06-08,26.00,carton,wholesale,usda-ams-boston,false
2026-06-09,26.00,carton,wholesale,usda-ams-boston,false
2026-06-10,25.00,carton,wholesale,usda-ams-boston,false
2026-06-11,25.00,carton,wholesale,usda-ams-boston,false
2026-06-12,25.00,carton,wholesale,usda-ams-boston,false
2026-06-15,25.00,carton,wholesale,usda-ams-boston,false
2026-06-16,25.00,carton,wholesale,usda-ams-boston,false
2026-06-17,25.00,carton,wholesale,usda-ams-boston,false
2026-06-18,25.00,carton,wholesale,usda-ams-boston,false
2026-06-22,25.00,carton,wholesale,usda-ams-boston,false
2026-06-23,25.00,carton,wholesale,usda-ams-boston,false
2026-06-24,29.00,carton,wholesale,usda-ams-boston,false
2026-06-25,29.00,carton,wholesale,usda-ams-boston,false
2026-06-26,29.00,carton,wholesale,usda-ams-boston,false
2026-06-29,29.00,carton,wholesale,usda-ams-boston,false
2026-06-30,29.00,carton,wholesale,usda-ams-boston,false
2026-07-01,29.00,carton,wholesale,usda-ams-boston,false
2026-07-02,29.00,carton,wholesale,usda-ams-boston,false
2026-07-06,29.00,carton,wholesale,usda-ams-boston,false
