date,price_usd,unit,basis,source,reconstructed
2023-06-14,27.85,carton,wholesale,,true
2023-06-21,16.44,carton,wholesale,,true
2023-06-28,13.10,carton,wholesale,,true
2023-07-05,14.38,carton,wholesale,,true
2023-07-12,13.75,carton,wholesale,,true
2023-07-19,16.15,carton,wholesale,,true
2023-07-26,18.00,carton,wholesale,,true
2023-08-02,19.70,carton,wholesale,,true
2023-08-09,19.70,carton,wholesale,,true
2023-08-16,20.10,carton,wholesale,,true
2023-08-23,19.15,carton,wholesale,,true
2023-08-30,18.00,carton,wholesale,,true
2023-09-06,22.44,carton,wholesale,,true
2023-09-13,33.80,carton,wholesale,,true
2023-09-20,23.50,carton,wholesale,,true
2023-09-27,39.20,carton,wholesale,,true
2023-10-04,45.00,carton,wholesale,,true
2023-10-10,45.67,carton,wholesale,,true
2023-10-18,66.20,carton,wholesale,,true
2023-10-25,56.20,carton,wholesale,,true
2023-11-01,42.20,carton,wholesale,,true
2023-11-08,42.55,carton,wholesale,,true
2023-11-15,36.19,carton,wholesale,,true
2023-11-22,36.10,carton,wholesale,,true
2023-11-29,30.88,carton,wholesale,,true
2023-12-06,27.40,carton,wholesale,,true
2023-12-13,23.40,carton,wholesale,,true
2023-12-20,32.90,carton,wholesale,,true
2023-12-27,34.00,carton,wholesale,,true
2024-01-03,33.50,carton,wholesale,,true
2024-01-10,31.15,carton,wholesale,,true
2024-01-17,30.94,carton,wholesale,,true
2024-01-24,27.55,carton,wholesale,,true
2024-01-31,23.30,carton,wholesale,,true
2024-02-07,23.90,carton,wholesale,,true
2024-02-14,21.80,carton,wholesale,,true
2024-02-21,20.25,carton,wholesale,,true
2024-02-28,20.70,carton,wholesale,,true
2024-03-06,16.65,carton,wholesale,,true
2024-03-13,17.70,carton,wholesale,,true
2024-03-20,19.00,carton,wholesale,,true
2024-03-27,23.10,carton,wholesale,,true
2024-04-03,32.30,carton,wholesale,,true
2024-04-10,37.60,carton,wholesale,,true
2024-04-17,39.10,carton,wholesale,,true
2024-04-24,30.25,carton,wholesale,,true
2024-05-01,19.75,carton,wholesale,,true
2024-05-08,17.20,carton,wholesale,,true
2024-05-15,15.40,carton,wholesale,,true
2024-05-22,14.65,carton,wholesale,,true
2024-05-29,11.19,carton,wholesale,,true
2024-06-05,14.31,carton,wholesale,,true
2024-06-12,19.20,carton,wholesale,,true
2024-06-18,18.25,carton,wholesale,,true
2024-06-26,18.00,carton,wholesale,,true
2024-07-03,18.20,carton,wholesale,,true
2024-07-10,22.38,carton,wholesale,,true
2024-07-17,17.50,carton,wholesale,,true
2024-07-24,21.60,carton,wholesale,,true
2024-07-31,19.20,carton,wholesale,,true
2024-08-07,17.00,carton,wholesale,,true
2024-08-14,18.20,carton,wholesale,,true
2024-08-21,13.10,carton,wholesale,,true
2024-08-28,10.45,carton,wholesale,,true
2024-09-04,8.44,carton,wholesale,,true
2024-09-11,8.10,carton,wholesale,,true
2024-09-18,24.45,carton,wholesale,,true
2024-09-25,49.10,carton,wholesale,,true
2024-10-02,52.55,carton,wholesale,,true
2024-10-09,61.85,carton,wholesale,,true
2024-10-16,60.13,carton,wholesale,,true
2024-10-23,46.90,carton,wholesale,,true
2024-10-30,29.00,carton,wholesale,,true
2024-11-06,27.20,carton,wholesale,,true
2024-11-13,23.00,carton,wholesale,,true
2024-11-20,21.00,carton,wholesale,,true
2024-11-27,20.30,carton,wholesale,,true
2024-12-04,19.25,carton,wholesale,,true
2024-12-11,18.00,carton,wholesale,,true
2024-12-18,18.15,carton,wholesale,,true
2024-12-23,19.17,carton,wholesale,,true
2024-12-31,17.50,carton,wholesale,,true
2025-01-08,16.00,carton,wholesale,,true
2025-01-15,20.50,carton,wholesale,,true
2025-01-22,22.38,carton,wholesale,,true
2025-01-29,22.90,carton,wholesale,,true
2025-02-05,25.10,carton,wholesale,,true
2025-02-12,22.10,carton,wholesale,,true
2025-02-19,21.00,carton,wholesale,,true
2025-02-26,26.60,carton,wholesale,,true
2025-03-05,21.00,carton,wholesale,,true
2025-03-12,18.45,carton,wholesale,,true
2025-03-19,23.20,carton,wholesale,,true
2025-03-26,31.00,carton,wholesale,,true
2025-04-02,27.65,carton,wholesale,,true
2025-04-09,27.80,carton,wholesale,,true
2025-04-16,28.80,carton,wholesale,,true
2025-04-23,43.70,carton,wholesale,,true
2025-04-30,57.60,carton,wholesale,,true
2025-05-07,43.80,carton,wholesale,,true
2025-05-14,33.90,carton,wholesale,,true
2025-05-21,32.90,carton,wholesale,,true
2025-05-28,27.25,carton,wholesale,,true
2025-06-04,15.05,carton,wholesale,,true
2025-06-11,16.70,carton,wholesale,,true
2025-06-18,20.00,carton,wholesale,,true
2025-06-25,21.88,carton,wholesale,,true
2025-07-02,22.50,carton,wholesale,,true
2025-07-09,29.63,carton,wholesale,,true
2025-07-16,30.70,carton,wholesale,,true
2025-07-23,22.90,carton,wholesale,,true
2025-07-30,17.40,carton,wholesale,,true
2025-08-06,15.90,carton,wholesale,,true
2025-08-13,16.20,carton,wholesale,,true
2025-08-20,21.60,carton,wholesale,,true
2025-08-27,24.60,carton,wholesale,,true
2025-09-03,27.50,carton,wholesale,,true
2025-09-10,36.15,carton,wholesale,,true
2025-09-17,32.60,carton,wholesale,,true
2025-09-24,25.20,carton,wholesale,,true
2025-10-01,30.10,carton,wholesale,,true
2025-10-08,46.20,carton,wholesale,,true
2025-10-15,47.63,carton,wholesale,,true
2025-10-22,38.20,carton,wholesale,,true
2025-10-29,34.10,carton,wholesale,,true
2025-11-05,30.30,carton,wholesale,,true
2025-11-12,28.25,carton,wholesale,,true
2025-11-19,25.70,carton,wholesale,,true
2025-11-26,26.20,carton,wholesale,,true
2025-12-03,27.50,carton,wholesale,,true
2025-12-10,28.40,carton,wholesale,,true
2025-12-17,29.70,carton,wholesale,,true
2025-12-23,30.00,carton,wholesale,,true
2025-12-31,31.33,carton,wholesale,,true
2026-01-07,31.63,carton,wholesale,,true
2026-01-14,31.75,carton,wholesale,,true
2026-01-21,33.25,carton,wholesale,,true
2026-01-28,35.00,carton,wholesale,,true
2026-02-04,34.65,carton,wholesale,,true
2026-02-11,36.50,carton,wholesale,,true
2026-02-18,36.75,carton,wholesale,,true
2026-02-25,40.00,carton,wholesale,,true
2026-03-04,32.00,carton,wholesale,,true
2026-03-11,33.90,carton,wholesale,,true
2026-03-18,49.40,carton,wholesale,,true
2026-03-25,50.00,carton,wholesale,,true
2026-04-01,42.60,carton,wholesale,,true
2026-04-08,42.00,carton,wholesale,,true
2026-04-15,49.50,carton,wholesale,,true
2026-04-22,43.40,carton,wholesale,,true
2026-04-29,36.40,carton,wholesale,,true
2026-05-06,28.20,carton,wholesale,,true
2026-05-13,25.00,carton,wholesale,,true
2026-05-20,25.05,carton,wholesale,,true
2026-05-27,26.00,carton,wholesale,,true
2026-05-28,26.00,carton,wholesale,usda-ams-boston,false
2026-05-29,25.25,carton,wholesale,usda-ams-boston,false
2026-06-01,26.25,carton,wholesale,usda-ams-boston,false
2026-06-02,27.00,carton,wholesale,usda-ams-boston,false
2026-06-03,20.00,carton,wholesale,usda-ams-boston,false
2026-06-04,20.00,carton,wholesale,usda-ams-boston,false
2026-06-05,20.00,carton,wholesale,usda-ams-boston,false
2026-06-08,22.50,carton,wholesale,usda-ams-boston,false
2026-06-09,28.00,carton,wholesale,usda-ams-boston,false
2026-06-10,29.00,carton,wholesale,usda-ams-boston,false
2026-06-11,29.00,carton,wholesale,usda-ams-boston,false
2026-06-12,29.00,carton,wholesale,usda-ams-boston,false
2026-06-15,29.00,carton,wholesale,usda-ams-boston,false
2026-06-16,31.00,carton,wholesale,usda-ams-boston,false
2026-06-17,29.00,carton,wholesale,usda-ams-boston,false
2026-06-18,29.00,carton,wholesale,usda-ams-boston,false
2026-06-22,32.00,carton,wholesale,usda-ams-boston,false
2026-06-23,15.00,carton,wholesale,usda-ams-boston,false
2026-06-24,15.00,carton,wholesale,usda-ams-boston,false
2026-06-25,12.50,carton,wholesale,usda-ams-boston,false
2026-06-26,12.50,carton,wholesale,usda-ams-boston,false
2026-06-29,32.50,carton,wholesale,usda-ams-boston,false
2026-06-30,31.00,carton,wholesale,usda-ams-boston,false
2026-07-01,31.00,carton,wholesale,usda-ams-boston,false
2026-07-02,31.00,carton,wholesale,usda-ams-boston,false
2026-07-06,37.00,carton,wholesale,usda-ams-boston,false
