date,price_usd,unit,basis,source,reconstructed
2026-06-03,31.00,carton,wholesale,usda-ams-boston,false
2026-06-04,31.00,carton,wholesale,usda-ams-boston,false
2026-06-05,31.00,carton,wholesale,usda-ams-boston,false
2026-06-08,31.00,carton,wholesale,usda-ams-boston,false
2026-06-09,31.00,carton,wholesale,usda-ams-boston,false
2026-06-10,31.00,carton,wholesale,usda-ams-boston,false
2026-06-11,31.00,carton,wholesale,usda-ams-boston,false
2026-06-12,31.00,carton,wholesale,usda-ams-boston,false
2026-06-15,29.00,carton,wholesale,usda-ams-boston,false
2026-06-16,29.00,carton,wholesale,usda-ams-boston,false
2026-06-17,29.00,carton,wholesale,usda-ams-boston,false
2026-06-18,29.00,carton,wholesale,usda-ams-boston,false
2026-06-22,29.00,carton,wholesale,usda-ams-boston,false
2026-06-23,29.00,carton,wholesale,usda-ams-boston,false
2026-06-24,29.00,carton,wholesale,usda-ams-boston,false
2026-06-25,29.00,carton,wholesale,usda-ams-boston,false
2026-06-26,29.00,carton,wholesale,usda-ams-boston,false
2026-06-29,29.00,carton,wholesale,usda-ams-boston,false
2026-06-30,29.00,carton,wholesale,usda-ams-boston,false
2026-07-01,29.00,carton,wholesale,usda-ams-boston,false
2026-07-02,29.00,carton,wholesale,usda-ams-boston,false
2026-07-06,29.00,carton,wholesale,usda-ams-boston,false
2026-07-07,29.00,carton,wholesale,usda-ams-boston,false
2026-07-08,29.00,carton,wholesale,usda-ams-boston,false
2026-07-09,29.00,carton,wholesale,usda-ams-boston,false
2026-07-10,29.00,carton,wholesale,usda-ams-boston,false
