date,price_usd,unit,basis,source,reconstructed
2001-04-18,12.25,carton,wholesale,,true
2001-04-25,11.05,carton,wholesale,,true
2001-05-02,7.85,carton,wholesale,,true
2001-05-09,9.10,carton,wholesale,,true
2001-05-16,8.90,carton,wholesale,,true
2001-05-23,7.85,carton,wholesale,,true
2001-05-30,7.19,carton,wholesale,,true
2001-06-06,6.50,carton,wholesale,,true
2001-06-13,6.95,carton,wholesale,,true
2001-06-20,8.80,carton,wholesale,,true
2001-06-27,10.10,carton,wholesale,,true
2001-07-03,12.75,carton,wholesale,,true
2001-07-11,10.50,carton,wholesale,,true
2001-07-18,7.55,carton,wholesale,,true
2001-07-25,7.35,carton,wholesale,,true
2001-08-01,7.80,carton,wholesale,,true
2001-08-06,7.33,carton,wholesale,,true
2001-08-15,8.50,carton,wholesale,,true
2001-08-22,9.30,carton,wholesale,,true
2001-08-29,10.05,carton,wholesale,,true
2001-09-05,10.13,carton,wholesale,,true
2001-09-12,9.05,carton,wholesale,,true
2001-09-19,7.80,carton,wholesale,,true
2001-09-26,7.75,carton,wholesale,,true
2001-10-03,8.20,carton,wholesale,,true
2001-10-10,12.06,carton,wholesale,,true
2001-10-17,9.50,carton,wholesale,,true
2001-10-24,7.95,carton,wholesale,,true
2001-10-31,7.85,carton,wholesale,,true
2001-11-07,8.15,carton,wholesale,,true
2001-11-14,7.69,carton,wholesale,,true
2001-11-21,7.40,carton,wholesale,,true
2001-11-28,6.63,carton,wholesale,,true
2001-12-05,6.95,carton,wholesale,,true
2001-12-12,11.45,carton,wholesale,,true
2001-12-19,16.55,carton,wholesale,,true
2001-12-26,22.34,carton,wholesale,,true
2002-01-02,20.50,carton,wholesale,,true
2002-01-09,12.48,carton,wholesale,,true
2002-01-16,9.90,carton,wholesale,,true
2002-01-23,16.88,carton,wholesale,,true
2002-01-30,28.95,carton,wholesale,,true
2002-02-06,23.40,carton,wholesale,,true
2002-02-13,23.30,carton,wholesale,,true
2002-02-20,10.19,carton,wholesale,,true
2002-02-27,8.00,carton,wholesale,,true
2002-03-06,7.45,carton,wholesale,,true
2002-03-13,9.90,carton,wholesale,,true
2002-03-20,9.90,carton,wholesale,,true
2002-03-27,16.00,carton,wholesale,,true
2002-04-03,10.55,carton,wholesale,,true
2002-04-10,7.25,carton,wholesale,,true
2002-04-17,8.25,carton,wholesale,,true
2002-04-24,9.05,carton,wholesale,,true
2002-05-01,7.55,carton,wholesale,,true
2002-05-08,7.00,carton,wholesale,,true
2002-05-15,6.45,carton,wholesale,,true
2002-05-22,6.20,carton,wholesale,,true
2002-05-29,6.50,carton,wholesale,,true
2002-06-05,7.03,carton,wholesale,,true
2002-06-12,9.95,carton,wholesale,,true
2002-06-19,9.15,carton,wholesale,,true
2002-06-26,9.85,carton,wholesale,,true
2002-07-03,12.98,carton,wholesale,,true
2002-07-10,12.72,carton,wholesale,,true
2002-07-17,10.95,carton,wholesale,,true
2002-07-24,12.93,carton,wholesale,,true
2002-07-31,12.58,carton,wholesale,,true
2002-08-07,13.18,carton,wholesale,,true
2002-08-14,13.40,carton,wholesale,,true
2002-08-21,13.33,carton,wholesale,,true
2002-08-28,13.73,carton,wholesale,,true
2002-09-04,17.25,carton,wholesale,,true
2002-09-11,16.23,carton,wholesale,,true
2002-09-18,13.90,carton,wholesale,,true
2002-09-25,10.70,carton,wholesale,,true
2002-10-02,8.40,carton,wholesale,,true
2002-10-09,8.85,carton,wholesale,,true
2002-10-16,8.81,carton,wholesale,,true
2002-10-23,8.15,carton,wholesale,,true
2002-10-30,7.80,carton,wholesale,,true
2002-11-06,10.10,carton,wholesale,,true
2002-11-13,15.81,carton,wholesale,,true
2002-11-20,9.80,carton,wholesale,,true
2002-11-27,8.70,carton,wholesale,,true
2002-12-04,8.13,carton,wholesale,,true
