date,price_usd,unit,basis,source,reconstructed
2026-06-03,35.25,carton,wholesale,usda-ams-boston,false
2026-06-04,38.00,carton,wholesale,usda-ams-boston,false
2026-06-05,38.00,carton,wholesale,usda-ams-boston,false
2026-06-08,38.00,carton,wholesale,usda-ams-boston,false
2026-06-09,38.00,carton,wholesale,usda-ams-boston,false
2026-06-10,38.00,carton,wholesale,usda-ams-boston,false
2026-06-11,38.00,carton,wholesale,usda-ams-boston,false
2026-06-12,38.00,carton,wholesale,usda-ams-boston,false
2026-06-15,38.00,carton,wholesale,usda-ams-boston,false
2026-06-16,38.00,carton,wholesale,usda-ams-boston,false
2026-06-17,38.00,carton,wholesale,usda-ams-boston,false
2026-06-18,38.00,carton,wholesale,usda-ams-boston,false
2026-06-22,38.00,carton,wholesale,usda-ams-boston,false
2026-06-23,38.00,carton,wholesale,usda-ams-boston,false
2026-06-24,38.50,carton,wholesale,usda-ams-boston,false
2026-06-25,38.50,carton,wholesale,usda-ams-boston,false
2026-06-26,38.50,carton,wholesale,usda-ams-boston,false
2026-06-29,40.00,carton,wholesale,usda-ams-boston,false
2026-06-30,40.00,carton,wholesale,usda-ams-boston,false
2026-07-01,40.00,carton,wholesale,usda-ams-boston,false
2026-07-02,40.00,carton,wholesale,usda-ams-boston,false
2026-07-06,40.00,carton,wholesale,usda-ams-boston,false
2026-07-07,40.50,carton,wholesale,usda-ams-boston,false
2026-07-08,40.50,carton,wholesale,usda-ams-boston,false
2026-07-09,40.50,carton,wholesale,usda-ams-boston,false
2026-07-10,40.50,carton,wholesale,usda-ams-boston,false
