date,price_usd,unit,basis,source,reconstructed
2026-05-28,28.88,carton,wholesale,usda-ams-boston,false
2026-05-29,28.88,carton,wholesale,usda-ams-boston,false
2026-06-01,28.88,carton,wholesale,usda-ams-boston,false
2026-06-02,28.88,carton,wholesale,usda-ams-boston,false
2026-06-03,28.88,carton,wholesale,usda-ams-boston,false
2026-06-04,26.00,carton,wholesale,usda-ams-boston,false
2026-06-05,26.00,carton,wholesale,usda-ams-boston,false
2026-06-08,26.00,carton,wholesale,usda-ams-boston,false
2026-06-09,26.00,carton,wholesale,usda-ams-boston,false
2026-06-10,26.00,carton,wholesale,usda-ams-boston,false
2026-06-11,26.00,carton,wholesale,usda-ams-boston,false
2026-06-12,26.00,carton,wholesale,usda-ams-boston,false
2026-06-15,26.00,carton,wholesale,usda-ams-boston,false
2026-06-16,26.00,carton,wholesale,usda-ams-boston,false
2026-06-17,26.00,carton,wholesale,usda-ams-boston,false
2026-06-18,26.00,carton,wholesale,usda-ams-boston,false
2026-06-22,26.00,carton,wholesale,usda-ams-boston,false
2026-06-23,26.00,carton,wholesale,usda-ams-boston,false
2026-06-24,26.00,carton,wholesale,usda-ams-boston,false
2026-06-25,26.00,carton,wholesale,usda-ams-boston,false
2026-06-26,26.00,carton,wholesale,usda-ams-boston,false
2026-06-29,26.00,carton,wholesale,usda-ams-boston,false
2026-06-30,26.00,carton,wholesale,usda-ams-boston,false
2026-07-01,26.00,carton,wholesale,usda-ams-boston,false
2026-07-02,26.00,carton,wholesale,usda-ams-boston,false
2026-07-06,26.00,carton,wholesale,usda-ams-boston,false
