date,price_usd,unit,basis,source,reconstructed
2026-06-03,24.00,carton,wholesale,usda-ams-boston,false
2026-06-04,24.00,carton,wholesale,usda-ams-boston,false
2026-06-05,24.00,carton,wholesale,usda-ams-boston,false
2026-06-08,24.00,carton,wholesale,usda-ams-boston,false
2026-06-09,24.00,carton,wholesale,usda-ams-boston,false
2026-06-10,24.00,carton,wholesale,usda-ams-boston,false
2026-06-11,24.00,carton,wholesale,usda-ams-boston,false
2026-06-12,24.00,carton,wholesale,usda-ams-boston,false
2026-06-15,24.00,carton,wholesale,usda-ams-boston,false
2026-06-16,24.00,carton,wholesale,usda-ams-boston,false
2026-06-17,24.00,carton,wholesale,usda-ams-boston,false
2026-06-18,24.00,carton,wholesale,usda-ams-boston,false
2026-06-22,24.00,carton,wholesale,usda-ams-boston,false
2026-06-23,24.00,carton,wholesale,usda-ams-boston,false
2026-06-24,24.00,carton,wholesale,usda-ams-boston,false
2026-06-25,24.00,carton,wholesale,usda-ams-boston,false
2026-06-26,24.00,carton,wholesale,usda-ams-boston,false
2026-06-29,24.00,carton,wholesale,usda-ams-boston,false
2026-06-30,22.00,carton,wholesale,usda-ams-boston,false
2026-07-01,22.00,carton,wholesale,usda-ams-boston,false
2026-07-02,22.00,carton,wholesale,usda-ams-boston,false
2026-07-06,22.00,carton,wholesale,usda-ams-boston,false
2026-07-07,22.00,carton,wholesale,usda-ams-boston,false
2026-07-08,22.00,carton,wholesale,usda-ams-boston,false
2026-07-09,22.00,carton,wholesale,usda-ams-boston,false
2026-07-10,23.00,carton,wholesale,usda-ams-boston,false
