date,price_usd,unit,basis,source,reconstructed
2023-06-14,14.75,carton,wholesale,,true
2023-06-21,14.75,carton,wholesale,,true
2023-06-28,14.75,carton,wholesale,,true
2023-07-05,14.75,carton,wholesale,,true
2023-07-12,14.75,carton,wholesale,,true
2023-07-19,14.75,carton,wholesale,,true
2023-07-26,14.75,carton,wholesale,,true
2023-08-02,14.75,carton,wholesale,,true
2023-08-09,14.75,carton,wholesale,,true
2023-08-16,14.75,carton,wholesale,,true
2023-08-23,14.75,carton,wholesale,,true
2023-08-30,14.75,carton,wholesale,,true
2023-09-06,14.75,carton,wholesale,,true
2023-09-13,14.75,carton,wholesale,,true
2023-09-20,14.75,carton,wholesale,,true
2023-09-27,14.75,carton,wholesale,,true
2023-10-04,14.75,carton,wholesale,,true
2023-10-11,14.75,carton,wholesale,,true
2023-10-18,14.75,carton,wholesale,,true
2023-10-25,14.75,carton,wholesale,,true
2023-11-01,14.75,carton,wholesale,,true
2023-11-08,14.75,carton,wholesale,,true
2023-11-15,14.75,carton,wholesale,,true
2023-11-22,14.75,carton,wholesale,,true
2023-11-29,14.75,carton,wholesale,,true
2023-12-06,14.75,carton,wholesale,,true
2023-12-13,14.75,carton,wholesale,,true
2023-12-20,14.75,carton,wholesale,,true
2023-12-27,14.75,carton,wholesale,,true
2024-01-03,14.75,carton,wholesale,,true
2024-01-10,14.75,carton,wholesale,,true
2024-01-17,14.75,carton,wholesale,,true
2024-01-24,14.75,carton,wholesale,,true
2024-01-31,14.75,carton,wholesale,,true
2024-02-07,14.75,carton,wholesale,,true
2024-02-14,14.75,carton,wholesale,,true
2024-02-21,14.75,carton,wholesale,,true
2024-02-28,14.75,carton,wholesale,,true
2024-03-06,14.75,carton,wholesale,,true
2024-03-13,14.75,carton,wholesale,,true
2024-03-20,14.75,carton,wholesale,,true
2024-03-27,14.75,carton,wholesale,,true
2024-04-03,14.75,carton,wholesale,,true
2024-04-10,14.75,carton,wholesale,,true
2024-04-17,14.75,carton,wholesale,,true
2024-04-24,14.75,carton,wholesale,,true
2024-05-01,14.75,carton,wholesale,,true
2024-05-08,14.75,carton,wholesale,,true
2024-05-15,14.75,carton,wholesale,,true
2024-05-22,14.75,carton,wholesale,,true
2024-05-29,14.75,carton,wholesale,,true
2024-06-05,14.75,carton,wholesale,,true
2024-06-12,14.75,carton,wholesale,,true
2024-06-18,14.75,carton,wholesale,,true
2024-06-26,14.75,carton,wholesale,,true
2024-07-03,14.75,carton,wholesale,,true
2024-07-10,14.75,carton,wholesale,,true
2024-07-17,14.75,carton,wholesale,,true
2024-07-24,14.75,carton,wholesale,,true
2024-07-31,14.75,carton,wholesale,,true
2024-08-07,14.75,carton,wholesale,,true
2024-08-14,14.75,carton,wholesale,,true
2024-08-21,14.75,carton,wholesale,,true
2024-08-28,14.75,carton,wholesale,,true
2024-09-04,14.75,carton,wholesale,,true
2024-09-11,14.75,carton,wholesale,,true
2024-09-18,14.75,carton,wholesale,,true
2024-09-25,14.75,carton,wholesale,,true
2024-10-02,14.75,carton,wholesale,,true
2024-10-09,14.75,carton,wholesale,,true
2024-10-16,14.75,carton,wholesale,,true
2024-10-23,14.75,carton,wholesale,,true
2024-10-30,14.75,carton,wholesale,,true
2024-11-06,14.75,carton,wholesale,,true
2024-11-13,14.75,carton,wholesale,,true
2024-11-20,14.75,carton,wholesale,,true
2024-11-27,14.75,carton,wholesale,,true
2024-12-04,14.75,carton,wholesale,,true
2024-12-11,14.75,carton,wholesale,,true
2024-12-18,14.75,carton,wholesale,,true
2024-12-23,14.75,carton,wholesale,,true
2024-12-31,14.75,carton,wholesale,,true
2025-01-08,14.75,carton,wholesale,,true
2025-01-15,14.75,carton,wholesale,,true
2025-01-22,14.75,carton,wholesale,,true
2025-01-29,14.75,carton,wholesale,,true
2025-02-05,14.75,carton,wholesale,,true
2025-02-12,14.75,carton,wholesale,,true
2025-02-19,14.75,carton,wholesale,,true
2025-02-26,14.75,carton,wholesale,,true
2025-03-05,14.75,carton,wholesale,,true
2025-03-12,14.75,carton,wholesale,,true
2025-03-19,14.75,carton,wholesale,,true
2025-03-26,14.75,carton,wholesale,,true
2025-04-02,14.75,carton,wholesale,,true
2025-04-09,14.75,carton,wholesale,,true
2025-04-16,14.75,carton,wholesale,,true
2025-04-23,14.75,carton,wholesale,,true
2025-04-30,14.75,carton,wholesale,,true
2025-05-07,14.75,carton,wholesale,,true
2025-05-14,14.75,carton,wholesale,,true
2025-05-21,14.75,carton,wholesale,,true
2025-05-28,14.75,carton,wholesale,,true
2025-06-04,14.75,carton,wholesale,,true
2025-06-11,14.75,carton,wholesale,,true
2025-06-18,14.75,carton,wholesale,,true
2025-06-25,14.75,carton,wholesale,,true
2025-07-02,14.75,carton,wholesale,,true
2025-07-09,14.75,carton,wholesale,,true
2025-07-16,14.75,carton,wholesale,,true
2025-07-23,14.75,carton,wholesale,,true
2025-07-30,14.75,carton,wholesale,,true
2025-08-06,14.75,carton,wholesale,,true
2025-08-13,14.75,carton,wholesale,,true
2025-08-20,14.75,carton,wholesale,,true
2025-08-27,14.75,carton,wholesale,,true
2025-09-03,14.75,carton,wholesale,,true
2025-09-10,14.75,carton,wholesale,,true
2025-09-17,14.75,carton,wholesale,,true
2025-09-24,14.75,carton,wholesale,,true
2025-10-01,14.75,carton,wholesale,,true
2025-10-08,14.75,carton,wholesale,,true
2025-10-15,14.75,carton,wholesale,,true
2025-10-22,14.75,carton,wholesale,,true
2025-10-29,14.75,carton,wholesale,,true
2025-11-05,14.75,carton,wholesale,,true
2025-11-12,14.75,carton,wholesale,,true
2025-11-19,14.75,carton,wholesale,,true
2025-11-26,14.75,carton,wholesale,,true
2025-12-03,14.75,carton,wholesale,,true
2025-12-10,14.75,carton,wholesale,,true
2025-12-17,14.75,carton,wholesale,,true
2025-12-23,14.75,carton,wholesale,,true
2025-12-31,14.75,carton,wholesale,,true
2026-01-07,14.75,carton,wholesale,,true
2026-01-14,14.75,carton,wholesale,,true
2026-01-21,14.75,carton,wholesale,,true
2026-01-28,14.75,carton,wholesale,,true
2026-02-04,14.75,carton,wholesale,,true
2026-02-11,14.75,carton,wholesale,,true
2026-02-18,14.75,carton,wholesale,,true
2026-02-25,14.75,carton,wholesale,,true
2026-03-04,14.75,carton,wholesale,,true
2026-03-11,14.75,carton,wholesale,,true
2026-03-18,14.75,carton,wholesale,,true
2026-03-25,14.75,carton,wholesale,,true
2026-04-01,14.75,carton,wholesale,,true
2026-04-08,14.75,carton,wholesale,,true
2026-04-15,14.75,carton,wholesale,,true
2026-04-22,14.75,carton,wholesale,,true
2026-04-29,14.75,carton,wholesale,,true
2026-05-06,14.75,carton,wholesale,,true
2026-05-13,14.75,carton,wholesale,,true
2026-05-20,14.75,carton,wholesale,,true
2026-05-27,14.75,carton,wholesale,,true
2026-05-28,14.75,carton,wholesale,usda-ams-boston,false
2026-05-29,14.75,carton,wholesale,usda-ams-boston,false
2026-06-01,14.75,carton,wholesale,usda-ams-boston,false
2026-06-02,14.75,carton,wholesale,usda-ams-boston,false
2026-06-03,14.75,carton,wholesale,usda-ams-boston,false
2026-06-04,14.75,carton,wholesale,usda-ams-boston,false
2026-06-05,14.75,carton,wholesale,usda-ams-boston,false
2026-06-08,14.75,carton,wholesale,usda-ams-boston,false
2026-06-09,14.75,carton,wholesale,usda-ams-boston,false
2026-06-10,14.75,carton,wholesale,usda-ams-boston,false
2026-06-11,14.75,carton,wholesale,usda-ams-boston,false
2026-06-12,14.75,carton,wholesale,usda-ams-boston,false
2026-06-15,14.75,carton,wholesale,usda-ams-boston,false
2026-06-16,14.75,carton,wholesale,usda-ams-boston,false
2026-06-17,14.75,carton,wholesale,usda-ams-boston,false
2026-06-18,14.75,carton,wholesale,usda-ams-boston,false
2026-06-22,14.75,carton,wholesale,usda-ams-boston,false
2026-06-23,14.75,carton,wholesale,usda-ams-boston,false
2026-06-24,14.75,carton,wholesale,usda-ams-boston,false
