date,price_usd,unit,basis,source,reconstructed
2026-06-03,20.25,carton,wholesale,usda-ams-baltimore,false
2026-06-04,20.25,carton,wholesale,usda-ams-baltimore,false
2026-06-05,19.00,carton,wholesale,usda-ams-baltimore,false
2026-06-08,19.00,carton,wholesale,usda-ams-baltimore,false
2026-06-09,19.00,carton,wholesale,usda-ams-baltimore,false
2026-06-10,19.00,carton,wholesale,usda-ams-baltimore,false
2026-06-11,19.00,carton,wholesale,usda-ams-baltimore,false
2026-06-12,19.00,carton,wholesale,usda-ams-baltimore,false
2026-06-15,19.00,carton,wholesale,usda-ams-baltimore,false
2026-06-16,19.00,carton,wholesale,usda-ams-baltimore,false
2026-06-17,20.50,carton,wholesale,usda-ams-baltimore,false
2026-06-18,20.50,carton,wholesale,usda-ams-baltimore,false
2026-06-22,20.50,carton,wholesale,usda-ams-baltimore,false
2026-06-23,20.50,carton,wholesale,usda-ams-baltimore,false
2026-06-24,20.50,carton,wholesale,usda-ams-baltimore,false
2026-06-25,20.50,carton,wholesale,usda-ams-baltimore,false
2026-06-26,20.50,carton,wholesale,usda-ams-baltimore,false
2026-06-29,20.50,carton,wholesale,usda-ams-baltimore,false
2026-06-30,20.50,carton,wholesale,usda-ams-baltimore,false
2026-07-01,20.50,carton,wholesale,usda-ams-baltimore,false
2026-07-02,20.50,carton,wholesale,usda-ams-baltimore,false
2026-07-06,20.50,carton,wholesale,usda-ams-baltimore,false
2026-07-07,20.50,carton,wholesale,usda-ams-baltimore,false
2026-07-08,17.00,carton,wholesale,usda-ams-baltimore,false
2026-07-09,17.00,carton,wholesale,usda-ams-baltimore,false
2026-07-10,17.00,carton,wholesale,usda-ams-baltimore,false
