date,price_usd,unit,basis,source,reconstructed
2023-06-14,30.60,carton,wholesale,,true
2023-06-21,30.00,carton,wholesale,,true
2023-06-28,27.40,carton,wholesale,,true
2023-07-05,31.00,carton,wholesale,,true
2023-07-12,25.60,carton,wholesale,,true
2023-07-19,43.30,carton,wholesale,,true
2023-07-26,38.90,carton,wholesale,,true
2023-08-02,21.15,carton,wholesale,,true
2023-08-09,20.60,carton,wholesale,,true
2023-08-16,19.50,carton,wholesale,,true
2023-08-23,72.55,carton,wholesale,,true
2023-08-30,55.00,carton,wholesale,,true
2023-09-06,110.81,carton,wholesale,,true
2023-09-13,40.35,carton,wholesale,,true
2023-09-20,52.56,carton,wholesale,,true
2023-09-27,69.10,carton,wholesale,,true
2023-10-04,22.75,carton,wholesale,,true
2023-10-11,23.88,carton,wholesale,,true
2023-10-18,30.20,carton,wholesale,,true
2023-10-25,32.80,carton,wholesale,,true
2023-11-01,33.30,carton,wholesale,,true
2023-11-08,32.10,carton,wholesale,,true
2023-11-15,27.38,carton,wholesale,,true
2023-11-22,23.10,carton,wholesale,,true
2023-11-29,19.00,carton,wholesale,,true
2023-12-06,19.00,carton,wholesale,,true
2023-12-13,19.00,carton,wholesale,,true
2023-12-20,18.60,carton,wholesale,,true
2023-12-27,17.75,carton,wholesale,,true
2024-01-03,17.25,carton,wholesale,,true
2024-01-10,23.10,carton,wholesale,,true
2024-01-17,27.25,carton,wholesale,,true
2024-01-24,27.65,carton,wholesale,,true
2024-01-31,26.75,carton,wholesale,,true
2024-02-07,24.60,carton,wholesale,,true
2024-02-14,22.65,carton,wholesale,,true
2024-02-21,22.00,carton,wholesale,,true
2024-02-28,23.00,carton,wholesale,,true
2024-03-06,20.70,carton,wholesale,,true
2024-03-13,19.50,carton,wholesale,,true
2024-03-20,20.85,carton,wholesale,,true
2024-03-27,21.55,carton,wholesale,,true
2024-04-03,20.90,carton,wholesale,,true
2024-04-10,17.78,carton,wholesale,,true
2024-04-17,21.80,carton,wholesale,,true
2024-04-24,25.90,carton,wholesale,,true
2024-05-01,22.50,carton,wholesale,,true
2024-05-08,23.00,carton,wholesale,,true
2024-05-15,146.10,carton,wholesale,,true
2024-05-22,199.50,carton,wholesale,,true
2024-05-29,70.75,carton,wholesale,,true
2024-06-05,95.80,carton,wholesale,,true
2024-06-12,28.50,carton,wholesale,,true
2024-06-18,26.50,carton,wholesale,,true
2024-06-26,28.00,carton,wholesale,,true
2024-07-03,100.20,carton,wholesale,,true
2024-07-10,102.06,carton,wholesale,,true
2024-07-17,114.90,carton,wholesale,,true
2024-07-24,160.60,carton,wholesale,,true
2024-07-31,69.60,carton,wholesale,,true
2024-08-07,22.50,carton,wholesale,,true
2024-08-14,22.50,carton,wholesale,,true
2024-08-21,159.00,carton,wholesale,,true
2024-08-28,158.00,carton,wholesale,,true
2024-09-04,192.63,carton,wholesale,,true
2024-09-11,182.75,carton,wholesale,,true
2024-09-18,137.75,carton,wholesale,,true
2024-09-25,25.05,carton,wholesale,,true
2024-10-02,24.50,carton,wholesale,,true
