date,price_usd,unit,basis,source,reconstructed
2023-06-14,29.90,carton,wholesale,,true
2023-06-21,30.50,carton,wholesale,,true
2023-06-28,30.50,carton,wholesale,,true
2023-07-05,30.50,carton,wholesale,,true
2023-07-12,30.20,carton,wholesale,,true
2023-07-19,30.20,carton,wholesale,,true
2023-07-26,30.50,carton,wholesale,,true
2023-08-02,31.40,carton,wholesale,,true
2023-08-09,32.00,carton,wholesale,,true
2023-08-16,32.00,carton,wholesale,,true
2023-08-23,32.00,carton,wholesale,,true
2023-08-30,31.10,carton,wholesale,,true
2023-09-06,30.50,carton,wholesale,,true
2023-09-13,30.65,carton,wholesale,,true
2023-09-20,30.75,carton,wholesale,,true
2023-09-27,32.40,carton,wholesale,,true
2023-10-04,33.95,carton,wholesale,,true
2023-10-11,32.88,carton,wholesale,,true
2023-10-18,29.00,carton,wholesale,,true
2023-10-25,32.60,carton,wholesale,,true
2023-11-01,32.30,carton,wholesale,,true
2023-11-08,30.70,carton,wholesale,,true
2023-11-15,32.88,carton,wholesale,,true
2023-11-22,33.30,carton,wholesale,,true
2023-11-29,33.75,carton,wholesale,,true
2023-12-06,33.90,carton,wholesale,,true
2023-12-13,31.50,carton,wholesale,,true
2023-12-20,29.80,carton,wholesale,,true
2023-12-27,29.00,carton,wholesale,,true
2024-01-03,28.75,carton,wholesale,,true
2024-01-10,28.00,carton,wholesale,,true
2024-01-17,28.00,carton,wholesale,,true
2024-01-24,30.40,carton,wholesale,,true
2024-01-31,32.00,carton,wholesale,,true
2024-02-07,32.00,carton,wholesale,,true
2024-02-14,32.00,carton,wholesale,,true
2024-02-21,32.06,carton,wholesale,,true
2024-02-28,32.25,carton,wholesale,,true
2024-03-06,30.95,carton,wholesale,,true
2024-03-13,29.00,carton,wholesale,,true
2024-03-20,29.00,carton,wholesale,,true
2024-03-27,29.00,carton,wholesale,,true
2024-04-03,29.70,carton,wholesale,,true
2024-04-10,30.75,carton,wholesale,,true
2024-04-17,30.75,carton,wholesale,,true
2024-04-24,31.15,carton,wholesale,,true
2024-05-01,33.50,carton,wholesale,,true
2024-05-08,33.50,carton,wholesale,,true
2024-05-15,33.50,carton,wholesale,,true
2024-05-22,33.50,carton,wholesale,,true
2024-05-29,33.25,carton,wholesale,,true
2024-06-05,33.00,carton,wholesale,,true
2024-06-12,33.00,carton,wholesale,,true
2024-06-18,33.00,carton,wholesale,,true
2024-06-26,32.85,carton,wholesale,,true
2024-07-03,32.50,carton,wholesale,,true
2024-07-10,32.50,carton,wholesale,,true
2024-07-17,32.50,carton,wholesale,,true
2024-07-24,32.50,carton,wholesale,,true
2024-07-31,32.50,carton,wholesale,,true
2024-08-07,32.50,carton,wholesale,,true
2024-08-14,32.50,carton,wholesale,,true
2024-08-21,32.50,carton,wholesale,,true
2024-08-28,32.50,carton,wholesale,,true
2024-09-04,32.50,carton,wholesale,,true
2024-09-11,32.50,carton,wholesale,,true
2024-09-18,32.50,carton,wholesale,,true
2024-09-25,32.50,carton,wholesale,,true
2024-10-02,32.50,carton,wholesale,,true
2024-10-09,32.50,carton,wholesale,,true
2024-10-16,32.38,carton,wholesale,,true
2024-10-23,32.00,carton,wholesale,,true
2024-10-30,32.00,carton,wholesale,,true
2024-11-06,32.00,carton,wholesale,,true
2024-11-13,32.00,carton,wholesale,,true
2024-11-20,31.90,carton,wholesale,,true
2024-11-27,31.50,carton,wholesale,,true
2024-12-04,31.50,carton,wholesale,,true
2024-12-11,31.75,carton,wholesale,,true
2024-12-18,31.75,carton,wholesale,,true
2024-12-23,32.17,carton,wholesale,,true
2024-12-31,30.50,carton,wholesale,,true
2025-01-08,31.50,carton,wholesale,,true
2025-01-15,33.00,carton,wholesale,,true
2025-01-22,33.25,carton,wholesale,,true
2025-01-29,33.50,carton,wholesale,,true
2025-02-05,33.95,carton,wholesale,,true
2025-02-12,34.25,carton,wholesale,,true
2025-02-19,34.06,carton,wholesale,,true
2025-02-26,34.00,carton,wholesale,,true
2025-03-05,34.00,carton,wholesale,,true
2025-03-12,35.95,carton,wholesale,,true
2025-03-19,35.00,carton,wholesale,,true
2025-03-26,33.65,carton,wholesale,,true
2025-04-02,31.80,carton,wholesale,,true
2025-04-09,29.50,carton,wholesale,,true
2025-04-16,29.80,carton,wholesale,,true
2025-04-23,30.00,carton,wholesale,,true
2025-04-30,30.00,carton,wholesale,,true
2025-05-07,30.00,carton,wholesale,,true
2025-05-14,30.00,carton,wholesale,,true
2025-05-21,30.00,carton,wholesale,,true
2025-05-28,30.00,carton,wholesale,,true
2025-06-04,30.00,carton,wholesale,,true
2025-06-11,29.10,carton,wholesale,,true
2025-06-18,28.50,carton,wholesale,,true
2025-06-25,28.50,carton,wholesale,,true
2025-07-02,28.50,carton,wholesale,,true
2025-07-09,28.50,carton,wholesale,,true
2025-07-16,28.50,carton,wholesale,,true
2025-07-23,28.50,carton,wholesale,,true
2025-07-30,28.50,carton,wholesale,,true
2025-08-06,28.50,carton,wholesale,,true
2025-08-13,28.50,carton,wholesale,,true
2025-08-20,28.50,carton,wholesale,,true
2025-08-27,28.50,carton,wholesale,,true
2025-09-03,28.50,carton,wholesale,,true
2025-09-10,28.50,carton,wholesale,,true
2025-09-17,28.50,carton,wholesale,,true
2025-09-24,28.50,carton,wholesale,,true
2025-10-01,27.90,carton,wholesale,,true
2025-10-08,27.50,carton,wholesale,,true
2025-10-15,27.50,carton,wholesale,,true
2025-10-22,27.50,carton,wholesale,,true
2025-10-29,27.50,carton,wholesale,,true
2025-11-05,27.50,carton,wholesale,,true
2025-11-12,27.50,carton,wholesale,,true
2025-11-19,27.95,carton,wholesale,,true
2025-11-26,28.40,carton,wholesale,,true
2025-12-03,28.50,carton,wholesale,,true
2025-12-10,28.30,carton,wholesale,,true
2025-12-17,28.25,carton,wholesale,,true
2025-12-23,28.25,carton,wholesale,,true
2025-12-31,28.25,carton,wholesale,,true
2026-01-07,28.44,carton,wholesale,,true
2026-01-14,28.95,carton,wholesale,,true
2026-01-21,29.13,carton,wholesale,,true
2026-01-28,29.50,carton,wholesale,,true
2026-02-04,30.45,carton,wholesale,,true
2026-02-11,30.75,carton,wholesale,,true
2026-02-18,30.75,carton,wholesale,,true
2026-02-25,30.75,carton,wholesale,,true
2026-03-04,30.70,carton,wholesale,,true
2026-03-11,30.80,carton,wholesale,,true
2026-03-18,31.00,carton,wholesale,,true
2026-03-25,31.00,carton,wholesale,,true
2026-04-01,31.00,carton,wholesale,,true
2026-04-08,33.10,carton,wholesale,,true
2026-04-15,35.10,carton,wholesale,,true
2026-04-22,35.85,carton,wholesale,,true
2026-04-29,35.25,carton,wholesale,,true
2026-05-06,34.35,carton,wholesale,,true
2026-05-13,33.75,carton,wholesale,,true
2026-05-20,33.75,carton,wholesale,,true
2026-05-27,31.88,carton,wholesale,,true
2026-06-03,45.50,carton,wholesale,usda-ams-baltimore,false
2026-06-04,45.50,carton,wholesale,usda-ams-baltimore,false
2026-06-05,45.50,carton,wholesale,usda-ams-baltimore,false
2026-06-08,45.50,carton,wholesale,usda-ams-baltimore,false
2026-06-09,45.50,carton,wholesale,usda-ams-baltimore,false
2026-06-10,45.50,carton,wholesale,usda-ams-baltimore,false
2026-06-11,45.50,carton,wholesale,usda-ams-baltimore,false
2026-06-12,45.50,carton,wholesale,usda-ams-baltimore,false
2026-06-15,40.00,carton,wholesale,usda-ams-baltimore,false
2026-06-16,40.00,carton,wholesale,usda-ams-baltimore,false
2026-06-17,40.00,carton,wholesale,usda-ams-baltimore,false
2026-06-18,40.00,carton,wholesale,usda-ams-baltimore,false
2026-06-22,40.00,carton,wholesale,usda-ams-baltimore,false
2026-06-23,40.00,carton,wholesale,usda-ams-baltimore,false
2026-06-24,40.00,carton,wholesale,usda-ams-baltimore,false
2026-06-25,40.00,carton,wholesale,usda-ams-baltimore,false
2026-06-26,40.00,carton,wholesale,usda-ams-baltimore,false
2026-06-29,40.00,carton,wholesale,usda-ams-baltimore,false
2026-06-30,40.00,carton,wholesale,usda-ams-baltimore,false
2026-07-01,40.00,carton,wholesale,usda-ams-baltimore,false
2026-07-02,40.00,carton,wholesale,usda-ams-baltimore,false
2026-07-06,40.00,carton,wholesale,usda-ams-baltimore,false
2026-07-07,40.00,carton,wholesale,usda-ams-baltimore,false
2026-07-08,40.00,carton,wholesale,usda-ams-baltimore,false
2026-07-09,40.00,carton,wholesale,usda-ams-baltimore,false
2026-07-10,40.00,carton,wholesale,usda-ams-baltimore,false
