date,price_usd,unit,basis,source,reconstructed
2001-04-18,21.25,carton,wholesale,,true
2001-04-25,14.75,carton,wholesale,,true
2001-05-02,10.15,carton,wholesale,,true
2001-05-09,10.60,carton,wholesale,,true
2001-05-16,8.40,carton,wholesale,,true
2001-05-23,7.50,carton,wholesale,,true
2001-05-30,6.75,carton,wholesale,,true
2001-06-06,7.25,carton,wholesale,,true
2001-06-13,12.60,carton,wholesale,,true
2001-06-20,13.25,carton,wholesale,,true
2001-06-27,13.15,carton,wholesale,,true
2001-07-03,10.53,carton,wholesale,,true
2001-07-11,8.18,carton,wholesale,,true
2001-07-18,7.30,carton,wholesale,,true
2001-07-25,8.85,carton,wholesale,,true
2001-08-01,9.70,carton,wholesale,,true
2001-08-06,7.50,carton,wholesale,,true
2001-08-15,9.50,carton,wholesale,,true
2001-08-22,10.10,carton,wholesale,,true
2001-08-29,8.63,carton,wholesale,,true
2001-09-05,7.56,carton,wholesale,,true
2001-09-12,7.05,carton,wholesale,,true
2001-09-19,8.20,carton,wholesale,,true
2001-09-26,10.25,carton,wholesale,,true
2001-10-03,9.00,carton,wholesale,,true
2001-10-10,8.00,carton,wholesale,,true
2001-10-17,8.00,carton,wholesale,,true
2001-10-24,7.35,carton,wholesale,,true
2001-10-31,6.90,carton,wholesale,,true
2001-11-07,6.85,carton,wholesale,,true
2001-11-14,6.44,carton,wholesale,,true
2001-11-21,6.75,carton,wholesale,,true
2001-11-28,7.53,carton,wholesale,,true
2001-12-05,10.23,carton,wholesale,,true
2001-12-12,11.03,carton,wholesale,,true
2001-12-19,14.98,carton,wholesale,,true
2001-12-26,22.67,carton,wholesale,,true
2002-01-02,26.50,carton,wholesale,,true
2002-01-09,11.98,carton,wholesale,,true
2002-01-16,13.35,carton,wholesale,,true
2002-01-23,21.06,carton,wholesale,,true
2002-01-30,31.45,carton,wholesale,,true
2002-02-06,22.15,carton,wholesale,,true
2002-02-13,14.55,carton,wholesale,,true
2002-02-20,8.44,carton,wholesale,,true
2002-02-27,7.28,carton,wholesale,,true
2002-03-06,8.75,carton,wholesale,,true
2002-03-13,14.90,carton,wholesale,,true
2002-03-20,13.30,carton,wholesale,,true
2002-03-27,12.70,carton,wholesale,,true
2002-04-03,8.05,carton,wholesale,,true
2002-04-10,6.65,carton,wholesale,,true
2002-04-17,7.85,carton,wholesale,,true
2002-04-24,9.50,carton,wholesale,,true
2002-05-01,7.90,carton,wholesale,,true
2002-05-08,6.90,carton,wholesale,,true
2002-05-15,7.05,carton,wholesale,,true
2002-05-22,9.00,carton,wholesale,,true
2002-05-29,14.60,carton,wholesale,,true
2002-06-05,13.95,carton,wholesale,,true
2002-06-12,13.18,carton,wholesale,,true
2002-06-19,10.00,carton,wholesale,,true
2002-06-26,8.58,carton,wholesale,,true
2002-07-03,9.45,carton,wholesale,,true
2002-07-10,10.69,carton,wholesale,,true
2002-07-17,9.18,carton,wholesale,,true
2002-07-24,7.90,carton,wholesale,,true
2002-07-31,7.23,carton,wholesale,,true
2002-08-07,7.13,carton,wholesale,,true
2002-08-14,7.53,carton,wholesale,,true
2002-08-21,7.80,carton,wholesale,,true
2002-08-28,8.95,carton,wholesale,,true
2002-09-04,12.75,carton,wholesale,,true
2002-09-11,9.28,carton,wholesale,,true
2002-09-18,7.60,carton,wholesale,,true
2002-09-25,7.00,carton,wholesale,,true
2002-10-02,6.78,carton,wholesale,,true
2002-10-09,7.20,carton,wholesale,,true
2002-10-16,7.13,carton,wholesale,,true
2002-10-23,7.80,carton,wholesale,,true
2002-10-30,10.60,carton,wholesale,,true
2002-11-06,14.65,carton,wholesale,,true
2002-11-13,13.38,carton,wholesale,,true
2002-11-20,8.90,carton,wholesale,,true
