date,price_usd,unit,basis,source,reconstructed
2001-04-18,15.50,carton,wholesale,,true
2001-04-25,18.15,carton,wholesale,,true
2001-05-02,17.10,carton,wholesale,,true
2001-05-09,15.38,carton,wholesale,,true
2001-05-16,17.80,carton,wholesale,,true
2001-05-23,18.90,carton,wholesale,,true
2001-05-30,18.63,carton,wholesale,,true
2001-06-06,23.43,carton,wholesale,,true
2001-06-13,28.10,carton,wholesale,,true
2001-06-20,29.50,carton,wholesale,,true
2001-06-27,18.90,carton,wholesale,,true
2001-07-03,11.25,carton,wholesale,,true
2001-07-11,11.15,carton,wholesale,,true
2001-07-18,12.20,carton,wholesale,,true
2001-07-25,8.85,carton,wholesale,,true
2001-08-01,7.35,carton,wholesale,,true
2001-08-06,7.25,carton,wholesale,,true
2001-08-15,7.25,carton,wholesale,,true
2001-08-22,7.25,carton,wholesale,,true
2001-08-29,7.75,carton,wholesale,,true
2001-09-05,7.88,carton,wholesale,,true
2001-09-12,7.30,carton,wholesale,,true
2001-09-19,7.25,carton,wholesale,,true
2001-09-26,7.05,carton,wholesale,,true
2001-10-03,6.65,carton,wholesale,,true
2001-10-10,7.00,carton,wholesale,,true
2001-10-17,7.05,carton,wholesale,,true
2001-10-24,7.15,carton,wholesale,,true
2001-10-31,6.75,carton,wholesale,,true
2001-11-07,7.05,carton,wholesale,,true
2001-11-14,6.75,carton,wholesale,,true
2001-11-21,7.05,carton,wholesale,,true
2001-11-28,6.75,carton,wholesale,,true
2001-12-05,6.40,carton,wholesale,,true
2001-12-12,6.60,carton,wholesale,,true
2001-12-19,7.75,carton,wholesale,,true
2001-12-26,7.58,carton,wholesale,,true
2002-01-02,7.06,carton,wholesale,,true
2002-01-09,7.40,carton,wholesale,,true
2002-01-16,7.15,carton,wholesale,,true
2002-01-23,6.75,carton,wholesale,,true
2002-01-30,6.95,carton,wholesale,,true
2002-02-06,8.50,carton,wholesale,,true
2002-02-13,13.80,carton,wholesale,,true
2002-02-20,17.69,carton,wholesale,,true
2002-02-27,16.25,carton,wholesale,,true
2002-03-06,14.10,carton,wholesale,,true
2002-03-13,15.75,carton,wholesale,,true
2002-03-20,15.90,carton,wholesale,,true
2002-03-27,16.60,carton,wholesale,,true
2002-04-03,17.45,carton,wholesale,,true
2002-04-10,16.35,carton,wholesale,,true
2002-04-17,12.70,carton,wholesale,,true
2002-04-24,10.65,carton,wholesale,,true
2002-05-01,12.00,carton,wholesale,,true
2002-05-08,14.30,carton,wholesale,,true
2002-05-15,11.40,carton,wholesale,,true
2002-05-22,8.80,carton,wholesale,,true
2002-05-29,8.13,carton,wholesale,,true
2002-06-05,7.70,carton,wholesale,,true
2002-06-12,7.50,carton,wholesale,,true
2002-06-19,6.90,carton,wholesale,,true
2002-06-26,6.75,carton,wholesale,,true
2002-07-03,6.75,carton,wholesale,,true
2002-07-10,7.13,carton,wholesale,,true
2002-07-17,8.20,carton,wholesale,,true
2002-07-24,8.85,carton,wholesale,,true
2002-07-31,8.15,carton,wholesale,,true
2002-08-07,8.00,carton,wholesale,,true
2002-08-14,8.20,carton,wholesale,,true
2002-08-21,7.75,carton,wholesale,,true
2002-08-28,8.25,carton,wholesale,,true
2002-09-04,10.50,carton,wholesale,,true
2002-09-11,9.95,carton,wholesale,,true
2002-09-18,9.15,carton,wholesale,,true
2002-09-25,7.58,carton,wholesale,,true
2002-10-02,6.85,carton,wholesale,,true
2002-10-09,6.90,carton,wholesale,,true
2002-10-16,7.25,carton,wholesale,,true
2002-10-23,8.20,carton,wholesale,,true
2002-10-30,9.40,carton,wholesale,,true
2002-11-06,10.85,carton,wholesale,,true
2002-11-13,12.38,carton,wholesale,,true
2002-11-20,11.00,carton,wholesale,,true
2002-11-27,9.35,carton,wholesale,,true
2002-12-04,7.38,carton,wholesale,,true
2002-12-11,6.90,carton,wholesale,,true
2002-12-18,9.20,carton,wholesale,,true
2002-12-24,8.78,carton,wholesale,,true
2002-12-31,7.94,carton,wholesale,,true
2003-01-08,7.45,carton,wholesale,,true
2003-01-15,7.00,carton,wholesale,,true
2003-01-22,6.81,carton,wholesale,,true
2003-01-29,6.75,carton,wholesale,,true
2003-02-05,6.75,carton,wholesale,,true
2003-02-12,7.65,carton,wholesale,,true
2003-02-19,10.81,carton,wholesale,,true
2003-02-26,9.85,carton,wholesale,,true
2003-03-05,10.30,carton,wholesale,,true
2003-03-12,10.75,carton,wholesale,,true
2003-03-19,10.15,carton,wholesale,,true
2003-03-26,8.80,carton,wholesale,,true
2003-04-02,8.30,carton,wholesale,,true
2003-04-09,9.65,carton,wholesale,,true
2003-04-16,12.75,carton,wholesale,,true
2003-04-23,14.13,carton,wholesale,,true
2003-04-30,12.30,carton,wholesale,,true
2003-05-07,9.60,carton,wholesale,,true
2003-05-14,8.80,carton,wholesale,,true
2003-05-21,7.60,carton,wholesale,,true
2003-05-28,7.13,carton,wholesale,,true
2003-06-04,6.85,carton,wholesale,,true
2003-06-11,6.90,carton,wholesale,,true
2003-06-18,7.00,carton,wholesale,,true
2003-06-25,7.30,carton,wholesale,,true
2003-07-02,8.00,carton,wholesale,,true
2003-07-09,9.69,carton,wholesale,,true
2003-07-16,11.25,carton,wholesale,,true
2003-07-23,8.40,carton,wholesale,,true
2003-07-30,7.75,carton,wholesale,,true
2003-08-06,7.75,carton,wholesale,,true
2003-08-13,7.55,carton,wholesale,,true
2003-08-20,9.30,carton,wholesale,,true
2003-08-27,10.20,carton,wholesale,,true
2003-09-03,8.63,carton,wholesale,,true
2003-09-10,9.25,carton,wholesale,,true
2003-09-17,10.88,carton,wholesale,,true
2003-09-24,11.05,carton,wholesale,,true
2003-10-01,9.20,carton,wholesale,,true
2003-10-08,8.25,carton,wholesale,,true
2003-10-15,11.00,carton,wholesale,,true
2003-10-22,14.13,carton,wholesale,,true
2003-10-29,14.65,carton,wholesale,,true
2003-11-05,15.48,carton,wholesale,,true
2003-11-12,17.88,carton,wholesale,,true
2003-11-19,15.80,carton,wholesale,,true
2003-11-26,11.85,carton,wholesale,,true
2003-12-03,10.94,carton,wholesale,,true
2003-12-10,10.85,carton,wholesale,,true
2003-12-17,10.80,carton,wholesale,,true
2003-12-24,11.55,carton,wholesale,,true
2003-12-31,13.25,carton,wholesale,,true
2004-01-07,13.63,carton,wholesale,,true
2004-01-14,15.55,carton,wholesale,,true
2004-01-21,15.13,carton,wholesale,,true
2004-01-28,14.75,carton,wholesale,,true
2004-02-04,14.40,carton,wholesale,,true
2004-02-11,13.80,carton,wholesale,,true
2004-02-18,17.50,carton,wholesale,,true
2004-02-25,19.90,carton,wholesale,,true
2004-03-03,17.00,carton,wholesale,,true
2004-03-10,11.85,carton,wholesale,,true
2004-03-17,10.10,carton,wholesale,,true
2004-03-24,8.90,carton,wholesale,,true
2004-03-31,8.25,carton,wholesale,,true
