date,price_usd,unit,basis,source,reconstructed
2012-03-31,1.50,lb,wholesale,,true
2012-04-07,1.51,lb,wholesale,,true
2012-04-14,1.52,lb,wholesale,,true
2012-04-21,1.52,lb,wholesale,,true
2012-04-28,1.52,lb,wholesale,,true
2012-05-05,1.52,lb,wholesale,,true
2012-05-12,1.52,lb,wholesale,,true
2012-05-19,1.52,lb,wholesale,,true
2012-05-26,1.52,lb,wholesale,,true
2012-06-02,1.52,lb,wholesale,,true
2012-06-09,1.53,lb,wholesale,,true
2012-06-16,1.53,lb,wholesale,,true
2012-06-23,1.55,lb,wholesale,,true
2012-06-30,1.59,lb,wholesale,,true
2012-07-07,1.62,lb,wholesale,,true
2012-07-14,1.63,lb,wholesale,,true
2012-07-21,1.64,lb,wholesale,,true
2012-07-28,1.64,lb,wholesale,,true
2012-08-04,1.65,lb,wholesale,,true
2012-08-11,1.68,lb,wholesale,,true
2012-08-18,1.71,lb,wholesale,,true
2012-08-25,1.72,lb,wholesale,,true
2012-09-01,1.75,lb,wholesale,,true
2012-09-08,1.81,lb,wholesale,,true
2012-09-15,1.85,lb,wholesale,,true
2012-09-22,1.85,lb,wholesale,,true
2012-09-29,1.85,lb,wholesale,,true
2012-10-06,1.85,lb,wholesale,,true
2012-10-13,1.89,lb,wholesale,,true
2012-10-20,1.96,lb,wholesale,,true
2012-10-27,2.03,lb,wholesale,,true
2012-11-03,2.06,lb,wholesale,,true
2012-11-10,2.07,lb,wholesale,,true
2012-11-17,2.07,lb,wholesale,,true
2012-11-24,2.06,lb,wholesale,,true
2012-12-01,2.06,lb,wholesale,,true
2012-12-08,2.00,lb,wholesale,,true
2012-12-15,1.92,lb,wholesale,,true
2012-12-22,1.86,lb,wholesale,,true
2012-12-29,1.81,lb,wholesale,,true
2013-01-05,1.78,lb,wholesale,,true
2013-01-12,1.76,lb,wholesale,,true
2013-01-19,1.75,lb,wholesale,,true
2013-01-26,1.75,lb,wholesale,,true
2013-02-02,1.74,lb,wholesale,,true
2013-02-09,1.74,lb,wholesale,,true
2013-02-16,1.70,lb,wholesale,,true
2013-02-23,1.68,lb,wholesale,,true
2013-03-02,1.66,lb,wholesale,,true
2013-03-09,1.66,lb,wholesale,,true
2013-03-16,1.66,lb,wholesale,,true
2013-03-23,1.64,lb,wholesale,,true
2013-03-30,1.63,lb,wholesale,,true
2013-04-06,1.63,lb,wholesale,,true
2013-04-13,1.63,lb,wholesale,,true
2013-04-20,1.66,lb,wholesale,,true
2013-04-27,1.69,lb,wholesale,,true
2013-05-04,1.76,lb,wholesale,,true
2013-05-11,1.82,lb,wholesale,,true
2013-05-18,1.86,lb,wholesale,,true
2013-05-25,1.86,lb,wholesale,,true
2013-06-01,1.86,lb,wholesale,,true
2013-06-08,1.84,lb,wholesale,,true
