date,price_usd,unit,basis,source,reconstructed
2001-04-25,9.83,carton,wholesale,,true
2001-05-02,9.70,carton,wholesale,,true
2001-05-09,12.75,carton,wholesale,,true
2001-05-16,12.90,carton,wholesale,,true
2001-05-23,12.25,carton,wholesale,,true
2001-05-30,12.13,carton,wholesale,,true
2001-06-06,10.35,carton,wholesale,,true
2001-06-13,10.05,carton,wholesale,,true
2001-06-20,9.20,carton,wholesale,,true
2001-06-27,9.20,carton,wholesale,,true
2001-07-03,9.31,carton,wholesale,,true
2001-07-11,9.20,carton,wholesale,,true
2001-07-18,9.95,carton,wholesale,,true
2001-07-25,8.95,carton,wholesale,,true
2001-08-01,9.20,carton,wholesale,,true
2001-08-08,10.20,carton,wholesale,,true
2001-08-15,11.15,carton,wholesale,,true
2001-08-22,10.50,carton,wholesale,,true
2001-08-29,9.88,carton,wholesale,,true
2001-09-05,8.81,carton,wholesale,,true
2001-09-12,8.90,carton,wholesale,,true
2001-09-19,8.45,carton,wholesale,,true
2001-09-26,8.25,carton,wholesale,,true
2001-10-03,10.45,carton,wholesale,,true
2001-10-10,14.00,carton,wholesale,,true
2001-10-17,14.70,carton,wholesale,,true
2001-10-24,15.55,carton,wholesale,,true
2001-10-31,13.45,carton,wholesale,,true
2001-11-07,12.70,carton,wholesale,,true
2001-11-14,13.44,carton,wholesale,,true
2001-11-21,15.63,carton,wholesale,,true
2001-11-28,15.19,carton,wholesale,,true
2001-12-05,13.80,carton,wholesale,,true
2001-12-12,13.70,carton,wholesale,,true
2001-12-19,12.10,carton,wholesale,,true
2001-12-26,11.58,carton,wholesale,,true
2002-01-02,12.19,carton,wholesale,,true
2002-01-09,16.60,carton,wholesale,,true
2002-01-16,18.00,carton,wholesale,,true
2002-01-23,16.31,carton,wholesale,,true
2002-01-30,12.95,carton,wholesale,,true
2002-02-06,9.35,carton,wholesale,,true
2002-02-13,8.55,carton,wholesale,,true
2002-02-20,9.31,carton,wholesale,,true
2002-02-27,9.40,carton,wholesale,,true
2002-03-06,11.50,carton,wholesale,,true
2002-03-13,11.85,carton,wholesale,,true
2002-03-20,13.20,carton,wholesale,,true
2002-03-27,12.40,carton,wholesale,,true
2002-04-03,11.85,carton,wholesale,,true
2002-04-10,12.00,carton,wholesale,,true
2002-04-17,10.90,carton,wholesale,,true
2002-04-24,10.50,carton,wholesale,,true
2002-05-01,8.65,carton,wholesale,,true
2002-05-08,8.10,carton,wholesale,,true
2002-05-15,10.35,carton,wholesale,,true
2002-05-22,10.55,carton,wholesale,,true
2002-05-29,11.38,carton,wholesale,,true
2002-06-05,11.60,carton,wholesale,,true
2002-06-12,12.35,carton,wholesale,,true
2002-06-19,11.20,carton,wholesale,,true
2002-06-26,9.70,carton,wholesale,,true
2002-07-03,10.75,carton,wholesale,,true
2002-07-10,10.75,carton,wholesale,,true
2002-07-17,10.40,carton,wholesale,,true
2002-07-24,11.20,carton,wholesale,,true
2002-07-31,11.40,carton,wholesale,,true
2002-08-07,10.65,carton,wholesale,,true
2002-08-14,10.75,carton,wholesale,,true
2002-08-21,11.20,carton,wholesale,,true
2002-08-28,10.80,carton,wholesale,,true
2002-09-04,11.13,carton,wholesale,,true
2002-09-11,10.70,carton,wholesale,,true
2002-09-18,9.70,carton,wholesale,,true
2002-09-25,10.50,carton,wholesale,,true
2002-10-02,10.80,carton,wholesale,,true
2002-10-09,11.20,carton,wholesale,,true
2002-10-16,11.19,carton,wholesale,,true
2002-10-23,11.17,carton,wholesale,,true
2002-10-30,11.10,carton,wholesale,,true
2002-11-06,10.95,carton,wholesale,,true
2002-11-13,10.50,carton,wholesale,,true
2002-11-20,10.50,carton,wholesale,,true
2002-11-27,10.50,carton,wholesale,,true
2002-12-04,10.88,carton,wholesale,,true
2002-12-11,12.45,carton,wholesale,,true
2002-12-18,14.10,carton,wholesale,,true
2002-12-24,13.19,carton,wholesale,,true
2002-12-31,12.75,carton,wholesale,,true
2003-01-08,11.85,carton,wholesale,,true
2003-01-15,11.90,carton,wholesale,,true
2003-01-22,11.13,carton,wholesale,,true
2003-01-29,10.60,carton,wholesale,,true
2003-02-05,10.50,carton,wholesale,,true
2003-02-12,10.80,carton,wholesale,,true
2003-02-19,11.33,carton,wholesale,,true
2003-02-26,11.95,carton,wholesale,,true
2003-03-05,12.20,carton,wholesale,,true
2003-03-12,14.20,carton,wholesale,,true
2003-03-19,13.80,carton,wholesale,,true
2003-03-26,14.35,carton,wholesale,,true
2003-04-02,13.80,carton,wholesale,,true
2003-04-09,14.45,carton,wholesale,,true
2003-04-16,13.30,carton,wholesale,,true
2003-04-23,13.00,carton,wholesale,,true
2003-04-30,13.70,carton,wholesale,,true
2003-05-07,12.75,carton,wholesale,,true
2003-05-14,12.80,carton,wholesale,,true
2003-05-21,12.25,carton,wholesale,,true
2003-05-28,10.94,carton,wholesale,,true
2003-06-04,13.15,carton,wholesale,,true
2003-06-11,14.90,carton,wholesale,,true
2003-06-18,16.45,carton,wholesale,,true
2003-06-25,15.70,carton,wholesale,,true
2003-07-02,15.40,carton,wholesale,,true
2003-07-09,15.00,carton,wholesale,,true
2003-07-16,14.80,carton,wholesale,,true
2003-07-23,14.00,carton,wholesale,,true
2003-07-30,13.85,carton,wholesale,,true
2003-08-06,13.55,carton,wholesale,,true
2003-08-13,14.30,carton,wholesale,,true
2003-08-20,15.85,carton,wholesale,,true
2003-08-27,17.65,carton,wholesale,,true
2003-09-03,14.31,carton,wholesale,,true
2003-09-10,13.20,carton,wholesale,,true
2003-09-17,11.20,carton,wholesale,,true
2003-09-24,11.00,carton,wholesale,,true
2003-10-01,15.90,carton,wholesale,,true
2003-10-08,18.20,carton,wholesale,,true
2003-10-15,19.00,carton,wholesale,,true
2003-10-22,20.20,carton,wholesale,,true
2003-10-29,20.70,carton,wholesale,,true
2003-11-05,20.50,carton,wholesale,,true
2003-11-12,20.69,carton,wholesale,,true
2003-11-19,19.00,carton,wholesale,,true
2003-11-26,14.00,carton,wholesale,,true
2003-12-03,14.75,carton,wholesale,,true
2003-12-10,12.80,carton,wholesale,,true
2003-12-17,13.80,carton,wholesale,,true
2003-12-24,11.60,carton,wholesale,,true
2003-12-31,14.58,carton,wholesale,,true
2004-01-07,17.50,carton,wholesale,,true
2004-01-14,14.20,carton,wholesale,,true
2004-01-21,14.44,carton,wholesale,,true
2004-01-28,15.85,carton,wholesale,,true
2004-02-04,13.60,carton,wholesale,,true
2004-02-11,12.00,carton,wholesale,,true
2004-02-18,11.06,carton,wholesale,,true
2004-02-25,11.10,carton,wholesale,,true
2004-03-03,11.90,carton,wholesale,,true
2004-03-10,12.75,carton,wholesale,,true
2004-03-17,12.15,carton,wholesale,,true
2004-03-24,14.25,carton,wholesale,,true
2004-03-31,14.15,carton,wholesale,,true
2004-04-07,14.65,carton,wholesale,,true
2004-04-14,15.05,carton,wholesale,,true
2004-04-21,16.30,carton,wholesale,,true
2004-04-28,15.20,carton,wholesale,,true
2004-05-05,13.05,carton,wholesale,,true
2004-05-12,12.35,carton,wholesale,,true
2004-05-19,11.20,carton,wholesale,,true
2004-05-26,11.75,carton,wholesale,,true
2004-06-02,10.31,carton,wholesale,,true
2004-06-09,11.00,carton,wholesale,,true
2004-06-16,10.56,carton,wholesale,,true
2004-06-23,10.88,carton,wholesale,,true
2004-06-30,12.65,carton,wholesale,,true
2004-07-07,12.25,carton,wholesale,,true
2004-07-14,11.90,carton,wholesale,,true
2004-07-21,11.15,carton,wholesale,,true
2004-07-28,11.95,carton,wholesale,,true
2004-08-04,12.60,carton,wholesale,,true
2004-08-11,13.40,carton,wholesale,,true
2004-08-18,13.90,carton,wholesale,,true
2004-08-25,13.20,carton,wholesale,,true
2004-09-01,14.20,carton,wholesale,,true
2004-09-08,15.00,carton,wholesale,,true
2004-09-15,16.40,carton,wholesale,,true
2004-09-22,17.10,carton,wholesale,,true
2004-09-29,18.75,carton,wholesale,,true
2004-10-06,21.95,carton,wholesale,,true
2004-10-13,25.00,carton,wholesale,,true
2004-10-20,27.55,carton,wholesale,,true
2004-10-27,31.40,carton,wholesale,,true
2004-11-03,35.20,carton,wholesale,,true
2004-11-10,34.81,carton,wholesale,,true
2004-11-17,28.00,carton,wholesale,,true
2004-11-24,26.85,carton,wholesale,,true
2004-12-01,23.50,carton,wholesale,,true
2004-12-08,18.25,carton,wholesale,,true
2004-12-15,12.75,carton,wholesale,,true
2004-12-22,14.70,carton,wholesale,,true
2004-12-29,13.38,carton,wholesale,,true
2005-01-05,19.44,carton,wholesale,,true
2005-01-12,18.45,carton,wholesale,,true
2005-01-19,11.06,carton,wholesale,,true
2005-01-26,10.00,carton,wholesale,,true
2005-02-02,9.40,carton,wholesale,,true
2005-02-09,10.20,carton,wholesale,,true
2005-02-16,11.95,carton,wholesale,,true
2005-02-23,15.00,carton,wholesale,,true
2005-03-02,16.20,carton,wholesale,,true
2005-03-09,16.25,carton,wholesale,,true
2005-03-16,16.60,carton,wholesale,,true
2005-03-23,18.50,carton,wholesale,,true
2005-03-30,24.90,carton,wholesale,,true
2005-04-06,21.85,carton,wholesale,,true
2005-04-13,21.40,carton,wholesale,,true
2005-04-20,22.80,carton,wholesale,,true
2005-04-27,21.30,carton,wholesale,,true
2005-05-04,19.00,carton,wholesale,,true
2005-05-11,18.30,carton,wholesale,,true
2005-05-18,18.20,carton,wholesale,,true
2005-05-25,16.60,carton,wholesale,,true
2005-06-01,14.75,carton,wholesale,,true
2005-06-08,17.40,carton,wholesale,,true
2005-06-15,14.60,carton,wholesale,,true
2005-06-22,15.00,carton,wholesale,,true
2005-06-29,14.30,carton,wholesale,,true
2005-07-06,14.75,carton,wholesale,,true
2005-07-13,16.60,carton,wholesale,,true
2005-07-20,16.55,carton,wholesale,,true
2005-07-27,17.55,carton,wholesale,,true
2005-08-03,19.50,carton,wholesale,,true
2005-08-10,19.90,carton,wholesale,,true
2005-08-17,16.30,carton,wholesale,,true
2005-08-24,16.70,carton,wholesale,,true
2005-08-31,20.80,carton,wholesale,,true
2005-09-07,20.25,carton,wholesale,,true
2005-09-14,17.20,carton,wholesale,,true
2005-09-21,19.35,carton,wholesale,,true
2005-09-28,20.75,carton,wholesale,,true
2005-10-05,22.25,carton,wholesale,,true
2005-10-12,21.00,carton,wholesale,,true
2005-10-19,21.30,carton,wholesale,,true
2005-10-26,22.10,carton,wholesale,,true
2005-11-02,20.25,carton,wholesale,,true
2005-11-09,18.60,carton,wholesale,,true
2005-11-16,16.50,carton,wholesale,,true
2005-11-23,16.45,carton,wholesale,,true
