date,price_usd,unit,basis,source,reconstructed
2022-08-29,2.25,lb,wholesale,,true
2022-09-05,2.12,lb,wholesale,,true
2022-09-12,1.94,lb,wholesale,,true
2022-09-19,1.79,lb,wholesale,,true
2022-09-26,1.54,lb,wholesale,,true
2022-10-03,1.26,lb,wholesale,,true
2022-10-10,1.09,lb,wholesale,,true
2022-10-17,1.15,lb,wholesale,,true
2022-10-24,1.06,lb,wholesale,,true
2022-10-31,1.01,lb,wholesale,,true
2022-11-07,0.98,lb,wholesale,,true
2022-11-14,0.94,lb,wholesale,,true
2022-11-21,0.97,lb,wholesale,,true
2022-11-28,0.96,lb,wholesale,,true
2022-12-05,0.84,lb,wholesale,,true
2022-12-12,0.95,lb,wholesale,,true
2022-12-19,0.96,lb,wholesale,,true
2022-12-26,0.99,lb,wholesale,,true
2023-01-02,0.98,lb,wholesale,,true
2023-01-09,0.97,lb,wholesale,,true
2023-01-16,1.01,lb,wholesale,,true
2023-01-23,1.07,lb,wholesale,,true
2023-01-30,1.14,lb,wholesale,,true
2023-02-06,1.21,lb,wholesale,,true
2023-02-13,1.27,lb,wholesale,,true
2023-02-20,1.30,lb,wholesale,,true
2023-02-27,1.32,lb,wholesale,,true
2023-03-06,1.36,lb,wholesale,,true
2023-03-13,1.40,lb,wholesale,,true
2023-03-20,1.40,lb,wholesale,,true
2023-03-27,1.35,lb,wholesale,,true
2023-04-03,1.33,lb,wholesale,,true
2023-04-10,1.32,lb,wholesale,,true
2023-04-17,1.30,lb,wholesale,,true
2023-04-24,1.31,lb,wholesale,,true
2023-05-01,1.32,lb,wholesale,,true
2023-05-08,1.35,lb,wholesale,,true
2023-05-15,1.39,lb,wholesale,,true
2023-05-22,1.42,lb,wholesale,,true
2023-05-29,1.40,lb,wholesale,,true
2023-06-05,1.38,lb,wholesale,,true
2023-06-12,1.35,lb,wholesale,,true
2023-06-19,1.29,lb,wholesale,,true
2023-06-26,1.21,lb,wholesale,,true
2023-07-03,1.12,lb,wholesale,,true
2023-07-10,1.11,lb,wholesale,,true
