date,price_usd,unit,basis,source
2026-02-23,1.08,lb,wholesale,usda-ams-national
2026-03-02,1.11,lb,wholesale,usda-ams-national
2026-03-09,1.17,lb,wholesale,usda-ams-national
2026-03-16,1.23,lb,wholesale,usda-ams-national
2026-03-23,1.27,lb,wholesale,usda-ams-national
2026-03-30,1.29,lb,wholesale,usda-ams-national
2026-04-06,1.29,lb,wholesale,usda-ams-national
2026-04-13,1.29,lb,wholesale,usda-ams-national
2026-04-20,1.31,lb,wholesale,usda-ams-national
2026-04-27,1.33,lb,wholesale,usda-ams-national
2026-05-04,1.37,lb,wholesale,usda-ams-national
2026-05-11,1.38,lb,wholesale,usda-ams-national
2026-05-18,1.37,lb,wholesale,usda-ams-national
2026-05-25,1.40,lb,wholesale,usda-ams-national
2026-06-01,1.43,lb,wholesale,usda-ams-national
2026-06-08,1.42,lb,wholesale,usda-ams-national
