date,price_usd,unit,basis,source,reconstructed
2024-01-10,26.00,carton,wholesale,,true
2024-01-17,26.00,carton,wholesale,,true
2024-01-24,26.00,carton,wholesale,,true
2024-01-31,26.00,carton,wholesale,,true
2024-02-07,24.75,carton,wholesale,,true
2024-02-14,24.75,carton,wholesale,,true
2024-02-21,24.75,carton,wholesale,,true
2024-02-28,24.25,carton,wholesale,,true
2024-03-06,23.50,carton,wholesale,,true
2024-03-13,23.50,carton,wholesale,,true
2024-03-20,23.50,carton,wholesale,,true
2024-03-27,23.50,carton,wholesale,,true
2024-04-03,23.50,carton,wholesale,,true
2024-04-10,23.50,carton,wholesale,,true
2024-04-17,23.50,carton,wholesale,,true
2024-04-24,23.50,carton,wholesale,,true
2024-05-01,23.50,carton,wholesale,,true
2024-05-08,23.50,carton,wholesale,,true
2024-05-15,23.50,carton,wholesale,,true
2024-05-22,27.80,carton,wholesale,,true
2024-05-29,30.50,carton,wholesale,,true
2024-06-05,30.50,carton,wholesale,,true
2024-06-12,30.00,carton,wholesale,,true
2024-06-18,28.00,carton,wholesale,,true
2024-06-26,33.55,carton,wholesale,,true
2024-07-03,37.15,carton,wholesale,,true
2024-07-10,37.00,carton,wholesale,,true
2024-07-17,37.00,carton,wholesale,,true
2024-07-24,37.00,carton,wholesale,,true
2024-07-31,37.00,carton,wholesale,,true
2024-08-07,37.00,carton,wholesale,,true
2024-08-14,37.00,carton,wholesale,,true
2024-08-21,34.00,carton,wholesale,,true
2024-08-28,31.70,carton,wholesale,,true
2024-09-04,34.38,carton,wholesale,,true
2024-09-11,31.90,carton,wholesale,,true
2024-09-18,30.00,carton,wholesale,,true
2024-09-25,29.40,carton,wholesale,,true
2024-10-02,30.00,carton,wholesale,,true
2024-10-09,30.00,carton,wholesale,,true
2024-10-16,30.00,carton,wholesale,,true
2024-10-23,30.20,carton,wholesale,,true
2024-10-30,30.50,carton,wholesale,,true
2024-11-06,27.60,carton,wholesale,,true
2024-11-13,26.50,carton,wholesale,,true
2024-11-20,26.30,carton,wholesale,,true
2024-11-27,26.00,carton,wholesale,,true
2024-12-04,26.00,carton,wholesale,,true
