anchor_slug,neighbor_slug,shared_moves_k,anchor_total_n
acorn-squash,avocado,2,6
acorn-squash,bell-pepper,1,6
acorn-squash,butternut-squash,1,6
acorn-squash,cantaloupe,1,6
acorn-squash,corn-on-the-cob,1,6
acorn-squash,eggplant,1,6
acorn-squash,green-leaf-lettuce,1,6
acorn-squash,jalapeno,1,6
acorn-squash,kale,1,6
acorn-squash,lemon,1,6
acorn-squash,lime,1,6
acorn-squash,napa-cabbage,1,6
acorn-squash,raspberry,1,6
acorn-squash,red-onion,1,6
acorn-squash,red-potato,1,6
acorn-squash,ribeye,1,6
acorn-squash,serrano-pepper,1,6
acorn-squash,striploin,1,6
acorn-squash,vegetable-oil,1,6
acorn-squash,watermelon,1,6
apple,grapefruit,3,6
apple,broccoli,2,6
apple,lemon,2,6
apple,rutabaga,2,6
apple,avocado,1,6
apple,banana,1,6
apple,bell-pepper,1,6
apple,carrot,1,6
apple,eggplant,1,6
apple,green-onion,1,6
apple,onion,1,6
apple,russet-potato,1,6
apple,short-rib,1,6
apple,spinach,1,6
apple,tomato,1,6
artichoke,leek,3,6
artichoke,beef-tenderloin,2,6
artichoke,iceberg-lettuce,2,6
artichoke,kale,2,6
artichoke,okra,2,6
artichoke,butternut-squash,1,6
artichoke,cauliflower,1,6
artichoke,celery,1,6
artichoke,collard-greens,1,6
artichoke,cucumber,1,6
artichoke,eggplant,1,6
artichoke,garlic,1,6
artichoke,green-beans,1,6
artichoke,red-onion,1,6
artichoke,ribeye,1,6
artichoke,snow-peas,1,6
artichoke,tomato,1,6
artichoke,zucchini,1,6
asparagus,broccoli,2,6
asparagus,garlic,2,6
asparagus,watermelon,2,6
asparagus,bell-pepper,1,6
asparagus,brussels-sprouts,1,6
asparagus,cabbage,1,6
asparagus,cauliflower,1,6
asparagus,cheddar-cheese,1,6
asparagus,corn-on-the-cob,1,6
asparagus,green-leaf-lettuce,1,6
asparagus,ground-pork,1,6
asparagus,jalapeno,1,6
asparagus,kale,1,6
asparagus,lime,1,6
asparagus,napa-cabbage,1,6
asparagus,parsley,1,6
asparagus,pear,1,6
asparagus,poblano-pepper,1,6
asparagus,pork-shoulder,1,6
asparagus,red-leaf-lettuce,1,6
asparagus,red-onion,1,6
asparagus,red-potato,1,6
asparagus,ribeye,1,6
asparagus,romaine-lettuce,1,6
asparagus,spinach,1,6
asparagus,striploin,1,6
asparagus,zucchini,1,6
avocado,acorn-squash,2,6
avocado,bell-pepper,2,6
avocado,brussels-sprouts,2,6
avocado,carrot,2,6
avocado,snow-peas,2,6
avocado,apple,1,6
avocado,celery,1,6
avocado,eggplant,1,6
avocado,grapefruit,1,6
avocado,green-leaf-lettuce,1,6
avocado,pineapple,1,6
avocado,red-onion,1,6
avocado,red-potato,1,6
avocado,serrano-pepper,1,6
avocado,spinach,1,6
avocado,striploin,1,6
banana,apple,1,2
banana,beet,1,2
banana,broccoli,1,2
banana,eggplant,1,2
banana,lemon,1,2
beef-tenderloin,artichoke,2,6
beef-tenderloin,short-rib,2,6
beef-tenderloin,butter,1,6
beef-tenderloin,cauliflower,1,6
beef-tenderloin,cheddar-cheese,1,6
beef-tenderloin,cherry-tomato,1,6
beef-tenderloin,green-beans,1,6
beef-tenderloin,ground-pork,1,6
beef-tenderloin,iceberg-lettuce,1,6
beef-tenderloin,leek,1,6
beef-tenderloin,onion,1,6
beef-tenderloin,pork-loin,1,6
beef-tenderloin,pork-shoulder,1,6
beef-tenderloin,raspberry,1,6
beef-tenderloin,ribeye,1,6
beef-tenderloin,vegetable-oil,1,6
beef-tenderloin,yellow-squash,1,6
beet,celery,2,6
beet,cucumber,2,6
beet,okra,2,6
beet,pork-loin,2,6
beet,banana,1,6
beet,butter-lettuce,1,6
beet,butternut-squash,1,6
beet,corn-on-the-cob,1,6
beet,eggplant,1,6
beet,green-beans,1,6
beet,iceberg-lettuce,1,6
beet,lime,1,6
beet,onion,1,6
beet,raspberry,1,6
beet,red-leaf-lettuce,1,6
beet,red-onion,1,6
beet,romaine-lettuce,1,6
beet,striploin,1,6
beet,tomato,1,6
beet,zucchini,1,6
bell-pepper,avocado,2,6
bell-pepper,carrot,2,6
bell-pepper,cherry-tomato,2,6
bell-pepper,green-beans,2,6
bell-pepper,red-onion,2,6
bell-pepper,yellow-squash,2,6
bell-pepper,acorn-squash,1,6
bell-pepper,apple,1,6
bell-pepper,asparagus,1,6
bell-pepper,blueberry,1,6
bell-pepper,brussels-sprouts,1,6
bell-pepper,butter-lettuce,1,6
bell-pepper,cantaloupe,1,6
bell-pepper,corn-on-the-cob,1,6
bell-pepper,dill,1,6
bell-pepper,eggplant,1,6
bell-pepper,grapefruit,1,6
bell-pepper,green-leaf-lettuce,1,6
bell-pepper,ground-pork,1,6
bell-pepper,jalapeno,1,6
bell-pepper,lemon,1,6
bell-pepper,napa-cabbage,1,6
bell-pepper,onion,1,6
bell-pepper,pineapple,1,6
bell-pepper,pork-shoulder,1,6
bell-pepper,russet-potato,1,6
bell-pepper,rutabaga,1,6
bell-pepper,serrano-pepper,1,6
bell-pepper,snow-peas,1,6
bell-pepper,tomato,1,6
bell-pepper,vegetable-oil,1,6
bell-pepper,watermelon,1,6
bell-pepper,whole-chicken,1,6
blueberry,bell-pepper,1,6
blueberry,butter,1,6
blueberry,butter-lettuce,1,6
blueberry,butternut-squash,1,6
blueberry,cabbage,1,6
blueberry,cantaloupe,1,6
blueberry,cherry-tomato,1,6
blueberry,grapefruit,1,6
blueberry,green-onion,1,6
blueberry,kale,1,6
blueberry,napa-cabbage,1,6
blueberry,parsley,1,6
blueberry,pineapple,1,6
blueberry,pumpkin,1,6
blueberry,romaine-lettuce,1,6
blueberry,snow-peas,1,6
blueberry,tomato,1,6
blueberry,yellow-squash,1,6
bok-choy,cilantro,1,4
bok-choy,collard-greens,1,4
bok-choy,dill,1,4
bok-choy,ginger,1,4
bok-choy,whole-turkey,1,4
broccoli,cauliflower,3,6
broccoli,red-leaf-lettuce,3,6
broccoli,romaine-lettuce,3,6
