date,price_usd,unit,basis,source,reconstructed
2001-04-18,11.00,carton,wholesale,,true
2001-04-25,11.00,carton,wholesale,,true
2001-05-02,10.90,carton,wholesale,,true
2001-05-09,12.60,carton,wholesale,,true
2001-05-16,16.10,carton,wholesale,,true
2001-05-23,18.20,carton,wholesale,,true
2001-05-30,15.63,carton,wholesale,,true
2001-06-06,11.50,carton,wholesale,,true
2001-06-13,10.45,carton,wholesale,,true
2001-06-20,9.35,carton,wholesale,,true
2001-06-27,9.50,carton,wholesale,,true
2001-07-03,10.00,carton,wholesale,,true
2001-07-11,10.40,carton,wholesale,,true
2001-07-18,11.00,carton,wholesale,,true
2001-07-25,10.35,carton,wholesale,,true
2001-08-01,9.80,carton,wholesale,,true
2001-08-06,9.50,carton,wholesale,,true
2001-08-15,8.50,carton,wholesale,,true
2001-08-22,10.20,carton,wholesale,,true
2001-08-29,10.50,carton,wholesale,,true
2001-09-05,11.06,carton,wholesale,,true
2001-09-12,12.00,carton,wholesale,,true
2001-09-19,13.30,carton,wholesale,,true
2001-09-26,12.88,carton,wholesale,,true
2001-10-03,12.60,carton,wholesale,,true
2001-10-10,12.63,carton,wholesale,,true
2001-10-17,14.00,carton,wholesale,,true
2001-10-24,15.18,carton,wholesale,,true
2001-10-31,14.10,carton,wholesale,,true
2001-11-07,13.40,carton,wholesale,,true
2001-11-14,11.50,carton,wholesale,,true
2001-11-21,10.80,carton,wholesale,,true
2001-11-28,9.25,carton,wholesale,,true
2001-12-05,9.30,carton,wholesale,,true
2001-12-12,11.20,carton,wholesale,,true
2001-12-19,15.20,carton,wholesale,,true
2001-12-26,15.58,carton,wholesale,,true
2002-01-02,14.88,carton,wholesale,,true
2002-01-09,12.25,carton,wholesale,,true
2002-01-16,13.70,carton,wholesale,,true
2002-01-23,14.00,carton,wholesale,,true
2002-01-30,14.00,carton,wholesale,,true
2002-02-06,14.00,carton,wholesale,,true
2002-02-13,13.50,carton,wholesale,,true
2002-02-20,13.50,carton,wholesale,,true
2002-02-27,13.10,carton,wholesale,,true
2002-03-06,13.40,carton,wholesale,,true
2002-03-13,13.50,carton,wholesale,,true
2002-03-20,13.50,carton,wholesale,,true
2002-03-27,13.50,carton,wholesale,,true
2002-04-03,14.05,carton,wholesale,,true
2002-04-10,11.85,carton,wholesale,,true
2002-04-17,12.45,carton,wholesale,,true
2002-04-24,13.58,carton,wholesale,,true
2002-05-01,16.00,carton,wholesale,,true
2002-05-08,16.50,carton,wholesale,,true
2002-05-15,15.15,carton,wholesale,,true
2002-05-22,14.63,carton,wholesale,,true
2002-05-29,14.25,carton,wholesale,,true
2002-06-05,10.45,carton,wholesale,,true
2002-06-12,12.80,carton,wholesale,,true
2002-06-19,14.10,carton,wholesale,,true
2002-06-26,12.58,carton,wholesale,,true
2002-07-03,11.70,carton,wholesale,,true
2002-07-10,11.69,carton,wholesale,,true
2002-07-17,12.73,carton,wholesale,,true
2002-07-24,13.88,carton,wholesale,,true
2002-07-31,12.98,carton,wholesale,,true
2002-08-07,9.10,carton,wholesale,,true
2002-08-14,9.73,carton,wholesale,,true
2002-08-21,9.93,carton,wholesale,,true
2002-08-28,8.20,carton,wholesale,,true
2002-09-04,8.81,carton,wholesale,,true
2002-09-11,9.20,carton,wholesale,,true
2002-09-18,10.80,carton,wholesale,,true
2002-09-25,12.30,carton,wholesale,,true
2002-10-02,11.55,carton,wholesale,,true
2002-10-09,12.00,carton,wholesale,,true
2002-10-16,12.00,carton,wholesale,,true
2002-10-23,12.40,carton,wholesale,,true
2002-10-30,13.35,carton,wholesale,,true
2002-11-06,10.70,carton,wholesale,,true
2002-11-13,10.69,carton,wholesale,,true
2002-11-20,10.60,carton,wholesale,,true
2002-11-27,10.75,carton,wholesale,,true
2002-12-04,10.69,carton,wholesale,,true
2002-12-11,10.70,carton,wholesale,,true
2002-12-18,10.63,carton,wholesale,,true
2002-12-24,10.60,carton,wholesale,,true
2002-12-31,10.51,carton,wholesale,,true
2003-01-08,10.73,carton,wholesale,,true
2003-01-15,11.70,carton,wholesale,,true
2003-01-22,13.44,carton,wholesale,,true
2003-01-29,15.10,carton,wholesale,,true
2003-02-05,13.70,carton,wholesale,,true
2003-02-12,13.50,carton,wholesale,,true
2003-02-19,13.50,carton,wholesale,,true
2003-02-26,11.55,carton,wholesale,,true
2003-03-05,11.00,carton,wholesale,,true
2003-03-12,11.05,carton,wholesale,,true
2003-03-19,11.50,carton,wholesale,,true
2003-03-26,12.75,carton,wholesale,,true
2003-04-02,13.35,carton,wholesale,,true
2003-04-09,12.90,carton,wholesale,,true
2003-04-16,12.80,carton,wholesale,,true
2003-04-23,12.93,carton,wholesale,,true
2003-04-30,12.60,carton,wholesale,,true
2003-05-07,12.30,carton,wholesale,,true
2003-05-14,11.05,carton,wholesale,,true
2003-05-21,11.40,carton,wholesale,,true
2003-05-28,11.38,carton,wholesale,,true
2003-06-04,9.90,carton,wholesale,,true
2003-06-11,10.90,carton,wholesale,,true
2003-06-18,14.63,carton,wholesale,,true
2003-06-25,12.20,carton,wholesale,,true
2003-07-02,10.83,carton,wholesale,,true
2003-07-09,10.16,carton,wholesale,,true
2003-07-16,7.55,carton,wholesale,,true
2003-07-23,5.85,carton,wholesale,,true
2003-07-30,7.00,carton,wholesale,,true
2003-08-06,7.80,carton,wholesale,,true
2003-08-13,7.60,carton,wholesale,,true
2003-08-20,8.18,carton,wholesale,,true
2003-08-27,7.80,carton,wholesale,,true
2003-09-03,8.88,carton,wholesale,,true
2003-09-10,10.65,carton,wholesale,,true
2003-09-17,11.40,carton,wholesale,,true
2003-09-24,12.55,carton,wholesale,,true
2003-10-01,11.90,carton,wholesale,,true
2003-10-08,11.00,carton,wholesale,,true
2003-10-15,10.75,carton,wholesale,,true
2003-10-22,11.08,carton,wholesale,,true
2003-10-29,11.10,carton,wholesale,,true
2003-11-05,11.30,carton,wholesale,,true
2003-11-12,11.25,carton,wholesale,,true
2003-11-19,11.75,carton,wholesale,,true
2003-11-26,14.40,carton,wholesale,,true
2003-12-03,19.50,carton,wholesale,,true
2003-12-10,18.98,carton,wholesale,,true
2003-12-17,17.80,carton,wholesale,,true
2003-12-24,19.05,carton,wholesale,,true
2003-12-31,17.42,carton,wholesale,,true
2004-01-07,17.13,carton,wholesale,,true
2004-01-14,15.65,carton,wholesale,,true
2004-01-21,16.06,carton,wholesale,,true
