date,price_usd,unit,basis,source,reconstructed
2001-04-18,18.00,carton,wholesale,,true
2001-04-25,12.45,carton,wholesale,,true
2001-05-02,10.73,carton,wholesale,,true
2001-05-09,11.00,carton,wholesale,,true
2001-05-16,11.30,carton,wholesale,,true
2001-05-23,11.20,carton,wholesale,,true
2001-05-30,11.00,carton,wholesale,,true
2001-06-06,11.00,carton,wholesale,,true
2001-06-13,14.90,carton,wholesale,,true
2001-06-20,20.00,carton,wholesale,,true
2001-06-27,18.10,carton,wholesale,,true
2001-07-03,11.75,carton,wholesale,,true
2001-07-11,10.70,carton,wholesale,,true
2001-07-18,9.50,carton,wholesale,,true
2001-07-25,9.10,carton,wholesale,,true
2001-08-01,8.85,carton,wholesale,,true
2001-08-06,10.00,carton,wholesale,,true
2001-08-15,12.17,carton,wholesale,,true
2001-08-22,11.60,carton,wholesale,,true
2001-08-29,13.70,carton,wholesale,,true
2001-09-05,13.38,carton,wholesale,,true
2001-09-12,13.50,carton,wholesale,,true
2001-09-19,12.98,carton,wholesale,,true
2001-09-26,11.20,carton,wholesale,,true
2001-10-03,11.15,carton,wholesale,,true
2001-10-10,11.50,carton,wholesale,,true
2001-10-17,11.50,carton,wholesale,,true
2001-10-24,12.50,carton,wholesale,,true
2001-10-31,12.58,carton,wholesale,,true
2001-11-07,12.58,carton,wholesale,,true
2001-11-14,13.88,carton,wholesale,,true
2001-11-21,15.50,carton,wholesale,,true
2001-11-28,12.56,carton,wholesale,,true
2001-12-05,11.00,carton,wholesale,,true
2001-12-12,11.00,carton,wholesale,,true
2001-12-19,11.70,carton,wholesale,,true
2001-12-26,12.58,carton,wholesale,,true
2002-01-02,14.56,carton,wholesale,,true
2002-01-09,16.00,carton,wholesale,,true
2002-01-16,16.05,carton,wholesale,,true
2002-01-23,14.00,carton,wholesale,,true
2002-01-30,13.40,carton,wholesale,,true
2002-02-06,13.95,carton,wholesale,,true
2002-02-13,14.65,carton,wholesale,,true
2002-02-20,14.00,carton,wholesale,,true
2002-02-27,14.00,carton,wholesale,,true
2002-03-06,14.00,carton,wholesale,,true
2002-03-13,13.70,carton,wholesale,,true
2002-03-20,11.50,carton,wholesale,,true
2002-03-27,11.50,carton,wholesale,,true
2002-04-03,11.65,carton,wholesale,,true
2002-04-10,9.10,carton,wholesale,,true
