date,price_usd,unit,basis,source,reconstructed
2024-01-10,29.60,carton,wholesale,,true
2024-01-17,29.00,carton,wholesale,,true
2024-01-24,29.00,carton,wholesale,,true
2024-01-31,29.00,carton,wholesale,,true
2024-02-07,29.00,carton,wholesale,,true
2024-02-14,29.00,carton,wholesale,,true
2024-02-21,29.00,carton,wholesale,,true
2024-02-28,29.80,carton,wholesale,,true
2024-03-06,31.00,carton,wholesale,,true
2024-03-13,31.00,carton,wholesale,,true
2024-03-20,31.00,carton,wholesale,,true
2024-03-27,31.00,carton,wholesale,,true
2024-04-03,31.00,carton,wholesale,,true
2024-04-10,31.00,carton,wholesale,,true
2024-04-17,31.00,carton,wholesale,,true
2024-04-24,31.00,carton,wholesale,,true
2024-05-01,31.00,carton,wholesale,,true
2024-05-08,31.00,carton,wholesale,,true
2024-05-15,31.00,carton,wholesale,,true
2024-05-22,31.00,carton,wholesale,,true
2024-05-29,31.00,carton,wholesale,,true
2024-06-05,31.00,carton,wholesale,,true
2024-06-12,33.50,carton,wholesale,,true
2024-06-18,33.50,carton,wholesale,,true
2024-06-26,33.50,carton,wholesale,,true
2024-07-03,33.50,carton,wholesale,,true
2024-07-10,33.50,carton,wholesale,,true
2024-07-17,33.50,carton,wholesale,,true
2024-07-24,33.60,carton,wholesale,,true
2024-07-31,34.00,carton,wholesale,,true
2024-08-07,33.30,carton,wholesale,,true
2024-08-14,30.50,carton,wholesale,,true
2024-08-21,30.50,carton,wholesale,,true
2024-08-28,30.50,carton,wholesale,,true
2024-09-04,30.88,carton,wholesale,,true
2024-09-11,31.00,carton,wholesale,,true
2024-09-18,31.00,carton,wholesale,,true
2024-09-25,31.00,carton,wholesale,,true
2024-10-02,31.00,carton,wholesale,,true
2024-10-09,31.10,carton,wholesale,,true
2024-10-16,31.25,carton,wholesale,,true
2024-10-23,31.25,carton,wholesale,,true
2024-10-30,31.25,carton,wholesale,,true
2024-11-06,31.05,carton,wholesale,,true
2024-11-13,30.25,carton,wholesale,,true
2024-11-20,30.25,carton,wholesale,,true
2024-11-27,30.25,carton,wholesale,,true
2024-12-04,30.25,carton,wholesale,,true
2024-12-11,30.25,carton,wholesale,,true
2024-12-18,30.25,carton,wholesale,,true
2024-12-23,30.33,carton,wholesale,,true
2024-12-31,30.50,carton,wholesale,,true
2025-01-08,29.80,carton,wholesale,,true
2025-01-15,29.00,carton,wholesale,,true
2025-01-22,29.00,carton,wholesale,,true
2025-01-29,29.00,carton,wholesale,,true
2025-02-05,29.00,carton,wholesale,,true
2025-02-12,29.00,carton,wholesale,,true
2025-02-19,29.00,carton,wholesale,,true
2025-02-26,29.00,carton,wholesale,,true
2025-03-05,29.00,carton,wholesale,,true
2025-03-12,29.80,carton,wholesale,,true
2025-03-19,31.00,carton,wholesale,,true
2025-03-26,31.00,carton,wholesale,,true
2025-04-02,31.00,carton,wholesale,,true
2025-04-09,31.00,carton,wholesale,,true
2025-04-16,31.00,carton,wholesale,,true
2025-04-23,31.00,carton,wholesale,,true
2025-04-30,31.00,carton,wholesale,,true
2025-05-07,31.00,carton,wholesale,,true
2025-05-14,31.00,carton,wholesale,,true
2025-05-21,31.00,carton,wholesale,,true
2025-05-28,31.00,carton,wholesale,,true
2025-06-04,31.00,carton,wholesale,,true
2025-06-11,31.00,carton,wholesale,,true
2025-06-18,31.00,carton,wholesale,,true
2025-06-25,31.00,carton,wholesale,,true
2025-07-02,31.00,carton,wholesale,,true
2025-07-09,31.00,carton,wholesale,,true
2025-07-16,31.00,carton,wholesale,,true
2025-07-23,31.00,carton,wholesale,,true
2025-07-30,31.00,carton,wholesale,,true
2025-08-06,31.00,carton,wholesale,,true
2025-08-13,31.00,carton,wholesale,,true
2025-08-20,31.00,carton,wholesale,,true
2025-08-27,31.00,carton,wholesale,,true
2025-09-03,31.00,carton,wholesale,,true
2025-09-10,31.00,carton,wholesale,,true
2025-09-17,31.00,carton,wholesale,,true
2025-09-24,31.00,carton,wholesale,,true
2025-10-01,31.00,carton,wholesale,,true
2025-10-08,31.00,carton,wholesale,,true
2025-10-15,31.00,carton,wholesale,,true
2025-10-22,31.00,carton,wholesale,,true
2025-10-29,31.00,carton,wholesale,,true
2025-11-05,31.00,carton,wholesale,,true
2025-11-12,28.00,carton,wholesale,,true
2025-11-19,25.00,carton,wholesale,,true
2025-11-26,24.70,carton,wholesale,,true
2025-12-03,23.50,carton,wholesale,,true
2025-12-10,24.10,carton,wholesale,,true
2025-12-17,24.50,carton,wholesale,,true
2025-12-23,24.50,carton,wholesale,,true
2025-12-31,28.00,carton,wholesale,,true
2026-01-07,28.00,carton,wholesale,,true
2026-01-14,28.80,carton,wholesale,,true
2026-01-21,32.50,carton,wholesale,,true
2026-01-28,33.00,carton,wholesale,,true
2026-02-04,33.00,carton,wholesale,,true
2026-02-11,34.20,carton,wholesale,,true
2026-02-18,36.00,carton,wholesale,,true
2026-02-25,36.00,carton,wholesale,,true
2026-03-04,36.00,carton,wholesale,,true
2026-03-11,36.00,carton,wholesale,,true
2026-03-18,36.00,carton,wholesale,,true
2026-03-25,36.00,carton,wholesale,,true
2026-04-01,38.00,carton,wholesale,,true
2026-04-08,38.00,carton,wholesale,,true
2026-04-15,38.00,carton,wholesale,,true
2026-04-22,38.00,carton,wholesale,,true
2026-04-29,38.00,carton,wholesale,,true
2026-05-06,34.80,carton,wholesale,,true
2026-05-13,34.00,carton,wholesale,,true
2026-05-20,34.00,carton,wholesale,,true
2026-05-27,34.00,carton,wholesale,,true
2026-06-03,34.00,carton,wholesale,,true
2026-06-09,38.00,carton,wholesale,usda-ams-atlanta,false
2026-06-10,36.00,carton,wholesale,usda-ams-atlanta,false
2026-06-11,36.00,carton,wholesale,usda-ams-atlanta,false
2026-06-12,36.00,carton,wholesale,usda-ams-atlanta,false
2026-06-15,36.00,carton,wholesale,usda-ams-atlanta,false
2026-06-16,36.00,carton,wholesale,usda-ams-atlanta,false
2026-06-17,36.00,carton,wholesale,usda-ams-atlanta,false
2026-06-18,36.00,carton,wholesale,usda-ams-atlanta,false
2026-06-22,36.00,carton,wholesale,usda-ams-atlanta,false
2026-06-23,36.00,carton,wholesale,usda-ams-atlanta,false
2026-06-24,36.00,carton,wholesale,usda-ams-atlanta,false
2026-06-25,36.00,carton,wholesale,usda-ams-atlanta,false
2026-06-26,36.00,carton,wholesale,usda-ams-atlanta,false
2026-06-29,35.50,carton,wholesale,usda-ams-atlanta,false
2026-06-30,35.50,carton,wholesale,usda-ams-atlanta,false
2026-07-01,35.50,carton,wholesale,usda-ams-atlanta,false
2026-07-02,35.50,carton,wholesale,usda-ams-atlanta,false
2026-07-06,35.50,carton,wholesale,usda-ams-atlanta,false
2026-07-07,35.50,carton,wholesale,usda-ams-atlanta,false
2026-07-08,35.50,carton,wholesale,usda-ams-atlanta,false
2026-07-09,35.50,carton,wholesale,usda-ams-atlanta,false
2026-07-10,35.50,carton,wholesale,usda-ams-atlanta,false
2026-07-13,35.50,carton,wholesale,usda-ams-atlanta,false
2026-07-14,35.50,carton,wholesale,usda-ams-atlanta,false
2026-07-15,35.50,carton,wholesale,usda-ams-atlanta,false
2026-07-16,35.50,carton,wholesale,usda-ams-atlanta,false
