date,price_usd,unit,basis,source,reconstructed
2007-03-29,14.00,carton,wholesale,,true
2018-11-09,19.00,carton,wholesale,,true
2020-03-09,29.50,carton,wholesale,,true
2020-07-13,22.00,carton,wholesale,,true
2024-01-10,18.25,carton,wholesale,,true
2024-01-17,18.25,carton,wholesale,,true
2024-01-24,18.25,carton,wholesale,,true
2024-01-31,18.65,carton,wholesale,,true
2024-02-07,19.25,carton,wholesale,,true
2024-02-14,19.25,carton,wholesale,,true
2024-02-21,19.25,carton,wholesale,,true
2024-02-28,22.25,carton,wholesale,,true
2024-03-06,26.75,carton,wholesale,,true
2024-03-13,26.65,carton,wholesale,,true
2024-03-20,26.25,carton,wholesale,,true
2024-03-27,25.45,carton,wholesale,,true
2024-04-03,23.45,carton,wholesale,,true
2024-04-10,22.25,carton,wholesale,,true
2024-04-17,22.25,carton,wholesale,,true
2024-04-24,22.25,carton,wholesale,,true
2024-05-01,22.25,carton,wholesale,,true
2024-05-08,22.25,carton,wholesale,,true
2024-05-15,22.25,carton,wholesale,,true
2024-05-22,22.65,carton,wholesale,,true
2024-05-29,23.25,carton,wholesale,,true
2024-06-05,20.85,carton,wholesale,,true
2024-06-12,19.25,carton,wholesale,,true
2024-06-18,19.25,carton,wholesale,,true
2024-06-26,19.25,carton,wholesale,,true
2024-07-03,18.05,carton,wholesale,,true
2024-07-10,16.25,carton,wholesale,,true
2024-07-17,16.25,carton,wholesale,,true
2024-07-24,16.25,carton,wholesale,,true
2024-07-31,16.25,carton,wholesale,,true
2024-08-07,31.75,carton,wholesale,,true
2024-08-14,55.00,carton,wholesale,,true
2024-08-21,55.00,carton,wholesale,,true
2024-08-28,55.00,carton,wholesale,,true
2024-09-04,51.25,carton,wholesale,,true
2024-09-11,40.00,carton,wholesale,,true
2024-09-18,34.40,carton,wholesale,,true
2024-09-25,25.70,carton,wholesale,,true
2024-10-02,25.80,carton,wholesale,,true
2024-10-09,25.50,carton,wholesale,,true
2024-10-16,25.25,carton,wholesale,,true
2024-10-23,24.50,carton,wholesale,,true
2024-10-30,24.50,carton,wholesale,,true
2024-11-06,24.50,carton,wholesale,,true
2024-11-13,24.50,carton,wholesale,,true
2024-11-20,23.70,carton,wholesale,,true
2024-11-27,22.80,carton,wholesale,,true
2024-12-04,23.00,carton,wholesale,,true
2024-12-11,23.00,carton,wholesale,,true
2024-12-18,23.00,carton,wholesale,,true
2024-12-23,23.00,carton,wholesale,,true
2024-12-31,23.00,carton,wholesale,,true
2025-01-08,24.00,carton,wholesale,,true
2025-01-15,24.00,carton,wholesale,,true
2025-01-22,24.00,carton,wholesale,,true
2025-01-29,24.00,carton,wholesale,,true
2025-02-05,24.60,carton,wholesale,,true
2025-02-12,24.70,carton,wholesale,,true
2025-02-19,24.38,carton,wholesale,,true
2025-02-26,24.20,carton,wholesale,,true
2025-03-05,25.00,carton,wholesale,,true
2025-03-12,25.00,carton,wholesale,,true
2025-03-19,25.00,carton,wholesale,,true
2025-03-26,25.00,carton,wholesale,,true
2025-04-02,25.00,carton,wholesale,,true
2025-04-09,25.00,carton,wholesale,,true
2025-04-16,25.00,carton,wholesale,,true
2025-04-23,25.00,carton,wholesale,,true
2025-04-30,25.00,carton,wholesale,,true
2025-05-07,30.00,carton,wholesale,,true
2025-05-14,37.50,carton,wholesale,,true
2025-05-21,27.50,carton,wholesale,,true
2025-05-28,27.50,carton,wholesale,,true
2025-06-04,28.40,carton,wholesale,,true
2025-06-11,46.25,carton,wholesale,,true
2025-06-18,55.75,carton,wholesale,,true
2025-06-25,55.75,carton,wholesale,,true
2025-07-02,25.50,carton,wholesale,,true
2025-07-09,25.50,carton,wholesale,,true
2025-07-16,25.50,carton,wholesale,,true
2025-07-23,25.00,carton,wholesale,,true
2025-07-30,25.00,carton,wholesale,,true
2025-08-06,25.00,carton,wholesale,,true
2025-08-13,25.00,carton,wholesale,,true
2025-08-20,30.00,carton,wholesale,,true
2025-08-27,30.00,carton,wholesale,,true
2025-09-03,30.00,carton,wholesale,,true
2025-09-10,30.00,carton,wholesale,,true
2025-09-17,30.00,carton,wholesale,,true
2025-09-24,24.00,carton,wholesale,,true
2025-10-01,24.00,carton,wholesale,,true
2025-10-08,24.00,carton,wholesale,,true
2025-10-15,24.00,carton,wholesale,,true
2025-10-22,24.00,carton,wholesale,,true
2025-10-29,31.20,carton,wholesale,,true
2025-11-05,36.00,carton,wholesale,,true
2025-11-12,36.00,carton,wholesale,,true
2025-11-19,36.00,carton,wholesale,,true
2025-11-26,35.60,carton,wholesale,,true
2025-12-03,34.00,carton,wholesale,,true
2025-12-10,32.50,carton,wholesale,,true
2025-12-17,31.50,carton,wholesale,,true
2025-12-23,31.50,carton,wholesale,,true
2025-12-31,29.50,carton,wholesale,,true
2026-01-07,29.50,carton,wholesale,,true
2026-01-14,29.30,carton,wholesale,,true
2026-01-21,28.50,carton,wholesale,,true
2026-01-28,28.50,carton,wholesale,,true
2026-02-04,28.50,carton,wholesale,,true
2026-02-11,28.50,carton,wholesale,,true
2026-02-18,28.50,carton,wholesale,,true
2026-02-25,28.50,carton,wholesale,,true
2026-03-04,28.50,carton,wholesale,,true
2026-03-11,28.10,carton,wholesale,,true
2026-03-18,27.50,carton,wholesale,,true
2026-03-25,27.50,carton,wholesale,,true
2026-04-01,27.50,carton,wholesale,,true
2026-04-08,26.90,carton,wholesale,,true
2026-04-15,24.50,carton,wholesale,,true
2026-04-22,24.50,carton,wholesale,,true
2026-04-29,24.50,carton,wholesale,,true
2026-05-06,34.10,carton,wholesale,,true
2026-05-13,36.50,carton,wholesale,,true
2026-05-20,36.50,carton,wholesale,,true
2026-05-27,25.00,carton,wholesale,,true
2026-06-03,25.00,carton,wholesale,usda-ams-boston,false
2026-06-04,25.00,carton,wholesale,usda-ams-boston,false
2026-06-05,25.00,carton,wholesale,usda-ams-boston,false
