date,price_usd,unit,basis,source,reconstructed
2026-05-28,32.00,carton,wholesale,usda-ams-boston,false
2026-05-29,32.00,carton,wholesale,usda-ams-boston,false
2026-06-01,32.00,carton,wholesale,usda-ams-boston,false
2026-06-02,32.00,carton,wholesale,usda-ams-boston,false
2026-06-03,32.00,carton,wholesale,usda-ams-boston,false
2026-06-04,32.00,carton,wholesale,usda-ams-boston,false
2026-06-05,32.00,carton,wholesale,usda-ams-boston,false
2026-06-08,32.00,carton,wholesale,usda-ams-boston,false
2026-06-09,32.00,carton,wholesale,usda-ams-boston,false
2026-06-10,28.00,carton,wholesale,usda-ams-boston,false
2026-06-11,27.00,carton,wholesale,usda-ams-boston,false
2026-06-12,27.00,carton,wholesale,usda-ams-boston,false
2026-06-15,21.50,carton,wholesale,usda-ams-boston,false
2026-06-16,21.50,carton,wholesale,usda-ams-boston,false
2026-06-17,21.50,carton,wholesale,usda-ams-boston,false
2026-06-18,21.50,carton,wholesale,usda-ams-boston,false
2026-06-22,21.50,carton,wholesale,usda-ams-boston,false
2026-06-23,21.50,carton,wholesale,usda-ams-boston,false
2026-06-24,19.50,carton,wholesale,usda-ams-boston,false
2026-06-25,19.50,carton,wholesale,usda-ams-boston,false
2026-06-26,19.50,carton,wholesale,usda-ams-boston,false
2026-06-29,19.50,carton,wholesale,usda-ams-boston,false
2026-06-30,19.50,carton,wholesale,usda-ams-boston,false
2026-07-01,19.50,carton,wholesale,usda-ams-boston,false
2026-07-02,19.50,carton,wholesale,usda-ams-boston,false
2026-07-06,19.50,carton,wholesale,usda-ams-boston,false
