date,price_usd,unit,basis,source,reconstructed
2025-01-27,7.52,dozen,wholesale,,true
2025-02-03,7.86,dozen,wholesale,,true
2025-02-10,8.14,dozen,wholesale,,true
2025-02-17,8.39,dozen,wholesale,,true
2025-02-24,8.51,dozen,wholesale,,true
2025-03-03,7.56,dozen,wholesale,,true
2025-03-10,5.16,dozen,wholesale,,true
2025-03-17,3.96,dozen,wholesale,,true
2025-03-24,3.84,dozen,wholesale,,true
2025-03-31,3.80,dozen,wholesale,,true
2025-04-07,3.70,dozen,wholesale,,true
2025-04-14,3.70,dozen,wholesale,,true
2025-04-21,3.70,dozen,wholesale,,true
2025-04-28,3.70,dozen,wholesale,,true
2025-05-05,3.71,dozen,wholesale,,true
2025-05-12,3.73,dozen,wholesale,,true
2025-05-19,3.40,dozen,wholesale,,true
2025-05-26,2.98,dozen,wholesale,,true
2025-06-02,2.98,dozen,wholesale,,true
2025-06-09,3.01,dozen,wholesale,,true
2025-06-16,3.05,dozen,wholesale,,true
2025-06-23,3.03,dozen,wholesale,,true
2025-06-30,3.03,dozen,wholesale,,true
2025-07-07,3.15,dozen,wholesale,,true
2025-07-14,3.49,dozen,wholesale,,true
2025-07-21,3.68,dozen,wholesale,,true
2025-07-28,3.59,dozen,wholesale,,true
2025-08-04,2.87,dozen,wholesale,,true
2025-08-11,2.62,dozen,wholesale,,true
2025-08-18,2.59,dozen,wholesale,,true
2025-08-25,2.59,dozen,wholesale,,true
2025-09-01,2.59,dozen,wholesale,,true
2025-09-08,2.59,dozen,wholesale,,true
2025-09-15,2.39,dozen,wholesale,,true
2025-09-22,1.69,dozen,wholesale,,true
2025-09-29,1.52,dozen,wholesale,,true
2025-10-06,1.52,dozen,wholesale,,true
2025-10-13,1.52,dozen,wholesale,,true
2025-10-20,1.60,dozen,wholesale,,true
2025-10-27,1.82,dozen,wholesale,,true
2025-11-03,2.08,dozen,wholesale,,true
2025-11-10,2.32,dozen,wholesale,,true
2025-11-17,2.51,dozen,wholesale,,true
2025-11-24,2.52,dozen,wholesale,,true
2025-12-01,2.39,dozen,wholesale,,true
2025-12-08,1.96,dozen,wholesale,,true
2025-12-15,1.40,dozen,wholesale,,true
2025-12-22,1.18,dozen,wholesale,,true
2025-12-29,1.00,dozen,wholesale,,true
2026-01-05,0.76,dozen,wholesale,,true
2026-01-12,0.68,dozen,wholesale,,true
2026-01-19,0.95,dozen,wholesale,,true
2026-01-26,1.38,dozen,wholesale,,true
2026-02-02,1.53,dozen,wholesale,,true
2026-02-09,1.28,dozen,wholesale,,true
2026-02-16,0.94,dozen,wholesale,,true
2026-02-23,0.73,dozen,wholesale,,true
2026-03-02,1.10,dozen,wholesale,,true
2026-03-09,1.70,dozen,wholesale,,true
2026-03-16,1.91,dozen,wholesale,,true
2026-03-23,1.52,dozen,wholesale,,true
2026-03-30,0.86,dozen,wholesale,,true
2026-04-06,0.60,dozen,wholesale,,true
2026-04-13,0.60,dozen,wholesale,,true
2026-04-20,0.60,dozen,wholesale,,true
2026-04-27,0.50,dozen,wholesale,,true
2026-05-04,0.49,dozen,wholesale,,true
2026-05-11,0.66,dozen,wholesale,,true
2026-05-18,0.66,dozen,wholesale,usda-ams,false
2026-05-25,0.60,dozen,wholesale,usda-ams,false
2026-06-01,0.56,dozen,wholesale,usda-ams,false
2026-06-08,0.56,dozen,wholesale,usda-ams,false
2026-06-15,0.56,dozen,wholesale,usda-ams,false
2026-06-22,0.56,dozen,wholesale,usda-ams,false
2026-06-29,0.58,dozen,wholesale,usda-ams,false
2026-07-06,0.73,dozen,wholesale,usda-ams,false
