ingredient_slug,date,direction,ref_pct_from_normal,value_cents,normal_cents,duration_days,month,in_high_season,basis,cohort
acorn-squash,2004-03-31,up,183,3720,1313,105,3,1,wholesale,butternut-squash|jalapeno|ribeye|striploin|vegetable-oil
acorn-squash,2012-03-14,up,132,3300,1425,98,3,1,wholesale,corn-on-the-cob|kale|raspberry
acorn-squash,2002-05-08,up,123,3070,1375,70,5,1,wholesale,avocado|bell-pepper|eggplant|red-onion|red-potato|serrano-pepper
acorn-squash,2008-03-19,up,104,2750,1350,84,3,1,wholesale,watermelon
acorn-squash,2003-05-07,up,104,2510,1230,70,5,1,wholesale,avocado|green-leaf-lettuce|lime|napa-cabbage
acorn-squash,2026-06-30,up,92,3750,1950,48,6,0,wholesale,cantaloupe|lemon
apple,2026-06-17,down,-52,1375,2875,63,6,0,wholesale,
apple,2008-09-10,up,49,3350,2250,105,9,1,wholesale,broccoli|onion|russet-potato|short-rib
apple,2017-09-06,up,43,3369,2350,56,9,1,wholesale,avocado|spinach
apple,2006-08-30,up,33,2715,2040,49,8,1,wholesale,grapefruit|green-onion|rutabaga|tomato
apple,2003-07-30,up,25,1980,1590,21,7,1,wholesale,bell-pepper|carrot|grapefruit|lemon|rutabaga
apple,2002-10-02,up,20,1970,1640,14,10,0,wholesale,banana|broccoli|eggplant|grapefruit|lemon
artichoke,2019-12-31,up,113,5533,2600,63,12,1,wholesale,beef-tenderloin
artichoke,2005-06-22,up,95,4340,2230,35,6,0,wholesale,butternut-squash|collard-greens|eggplant|garlic|kale|leek|red-onion|snow-peas
artichoke,2003-11-26,up,91,4375,2290,133,11,1,wholesale,beef-tenderloin|cauliflower|iceberg-lettuce|leek|ribeye
artichoke,2007-12-26,up,77,4400,2485,133,12,1,wholesale,cucumber|green-beans|kale|leek|okra|zucchini
artichoke,2023-01-04,up,75,5313,3040,105,1,1,wholesale,iceberg-lettuce|tomato
artichoke,2021-02-10,up,73,4610,2660,63,2,1,wholesale,celery|okra
asparagus,2020-07-01,up,125,5765,2563,21,7,1,wholesale,cheddar-cheese|garlic|ground-pork|pork-shoulder|red-potato|ribeye|striploin
asparagus,2010-05-12,up,110,4460,2120,28,5,1,wholesale,bell-pepper|brussels-sprouts|corn-on-the-cob|jalapeno|napa-cabbage|parsley|red-onion|watermelon
asparagus,2001-12-26,up,88,3950,2105,28,12,0,wholesale,broccoli|cauliflower
asparagus,2010-08-11,up,85,4005,2160,35,8,0,wholesale,garlic|pear
asparagus,2006-04-19,up,76,3900,2215,77,4,1,wholesale,green-leaf-lettuce|lime
asparagus,2013-01-16,up,75,4855,2770,49,1,1,wholesale,broccoli|cabbage|kale|poblano-pepper|red-leaf-lettuce|romaine-lettuce|spinach|watermelon|zucchini
avocado,2002-06-12,up,167,4320,1620,182,6,1,wholesale,acorn-squash|bell-pepper|brussels-sprouts|carrot|eggplant|red-onion|serrano-pepper
avocado,2019-06-19,up,121,6440,2920,119,6,1,wholesale,brussels-sprouts|celery|red-potato|snow-peas
avocado,2003-06-04,up,107,5010,2420,56,6,1,wholesale,acorn-squash|bell-pepper|carrot|grapefruit|green-leaf-lettuce
avocado,2016-07-06,up,102,5275,2610,91,7,0,wholesale,striploin
avocado,2011-06-29,up,92,6145,3195,140,6,1,wholesale,pineapple
avocado,2017-09-27,up,90,7010,3690,84,9,0,wholesale,apple|snow-peas|spinach
banana,2002-10-09,up,56,1555,1000,7,10,0,wholesale,apple|broccoli|eggplant|lemon
banana,2018-03-07,up,31,2100,1600,49,3,1,wholesale,beet
beef-tenderloin,2001-06-13,down,-75,160,637,77,6,0,wholesale,onion|short-rib
beef-tenderloin,2003-11-12,up,54,1357,879,91,11,1,wholesale,artichoke|cauliflower|iceberg-lettuce|leek|ribeye
beef-tenderloin,2021-06-02,up,46,1709,1171,91,6,0,wholesale,ground-pork|pork-loin|pork-shoulder|raspberry|vegetable-oil
beef-tenderloin,2020-04-15,down,-38,613,990,37,4,0,wholesale,butter|cheddar-cheese
beef-tenderloin,2019-11-19,up,35,1302,965,57,11,1,wholesale,artichoke
beef-tenderloin,2005-12-21,up,34,1143,851,91,12,1,wholesale,cherry-tomato|green-beans|short-rib|yellow-squash
beet,2014-02-19,up,58,1750,1105,63,2,1,wholesale,okra|pork-loin
beet,2011-03-02,up,53,1500,980,84,3,1,wholesale,celery|corn-on-the-cob|cucumber|eggplant|green-beans|iceberg-lettuce|lime|okra|raspberry|red-leaf-lettuce|romaine-lettuce|tomato|zucchini
beet,2021-11-10,down,-42,1250,2150,91,11,1,wholesale,pork-loin
beet,2018-04-18,up,36,1850,1363,91,4,0,wholesale,banana|striploin
beet,2024-07-24,down,-35,1550,2375,77,7,0,wholesale,
beet,2007-03-07,up,34,1250,930,91,3,1,wholesale,butter-lettuce|butternut-squash|celery|cucumber|onion|red-onion
bell-pepper,2004-11-17,up,108,3913,1881,84,11,0,wholesale,blueberry|butter-lettuce|cantaloupe|cherry-tomato|snow-peas|tomato|yellow-squash
bell-pepper,2010-03-31,up,107,4220,2038,70,3,1,wholesale,asparagus|brussels-sprouts|cherry-tomato|corn-on-the-cob|green-beans|jalapeno|napa-cabbage|red-onion|watermelon|yellow-squash
bell-pepper,2025-07-23,up,106,4800,2325,70,7,1,wholesale,dill|ground-pork|onion|pineapple|pork-shoulder|whole-chicken
bell-pepper,2003-07-09,up,95,3113,1595,49,7,1,wholesale,apple|avocado|carrot|grapefruit|green-leaf-lettuce|lemon|rutabaga
bell-pepper,2002-05-22,up,88,2515,1335,84,5,0,wholesale,acorn-squash|avocado|eggplant|red-onion|serrano-pepper
bell-pepper,2008-07-23,up,64,3050,1863,35,7,1,wholesale,carrot|green-beans|russet-potato|vegetable-oil
blueberry,2024-10-09,up,202,6185,2050,49,10,1,wholesale,butternut-squash
blueberry,2009-10-28,up,189,5850,2025,27,10,1,wholesale,grapefruit|napa-cabbage|parsley|pumpkin|romaine-lettuce
blueberry,2007-10-24,up,158,5288,2050,35,10,1,wholesale,cabbage|kale|pineapple
blueberry,2023-10-18,up,153,6620,2615,126,10,1,wholesale,butter|green-onion
blueberry,2004-11-03,up,120,4470,2031,105,11,0,wholesale,bell-pepper|butter-lettuce|cantaloupe|cherry-tomato|snow-peas|tomato|yellow-squash
blueberry,2010-10-13,up,112,3450,1628,14,10,1,wholesale,
bok-choy,2024-08-14,up,63,4060,2490,91,8,1,wholesale,cilantro|dill
bok-choy,2025-01-07,down,-28,1844,2550,30,1,0,wholesale,whole-turkey
bok-choy,2024-02-14,down,-27,1710,2330,35,2,0,wholesale,
bok-choy,2025-08-13,down,-24,1800,2356,42,8,1,wholesale,collard-greens|ginger
broccoli,2002-01-30,up,211,2895,930,63,1,1,wholesale,asparagus|butter-lettuce|cauliflower|green-leaf-lettuce|red-leaf-lettuce|romaine-lettuce
broccoli,2017-04-12,up,110,3545,1685,133,4,0,wholesale,cauliflower|celery|green-leaf-lettuce|iceberg-lettuce|napa-cabbage|parsley|red-leaf-lettuce|romaine-lettuce
broccoli,2013-01-16,up,106,2705,1315,35,1,1,wholesale,asparagus|cabbage|kale|poblano-pepper|red-leaf-lettuce|romaine-lettuce|spinach|watermelon|zucchini
broccoli,2002-09-04,up,92,1725,900,84,9,1,wholesale,apple|banana|carrot|grapefruit|lemon|rutabaga
broccoli,2008-10-22,up,82,2375,1303,91,10,1,wholesale,apple|onion|ribeye|short-rib
broccoli,2015-12-09,up,78,3075,1725,56,12,0,wholesale,butter|cabbage|cauliflower|leek|zucchini
brussels-sprouts,2025-12-31,up,119,8200,3750,294,12,1,wholesale,ginger|green-onion|mint|raspberry|whole-chicken
brussels-sprouts,2005-05-04,up,109,5300,2530,70,5,0,wholesale,butternut-squash|collard-greens|kale|leek|napa-cabbage|red-onion|serrano-pepper
brussels-sprouts,2010-04-14,up,91,4148,2175,70,4,0,wholesale,asparagus|bell-pepper|cherry-tomato|corn-on-the-cob|jalapeno|napa-cabbage|red-onion|watermelon
brussels-sprouts,2002-07-17,up,89,3350,1775,105,7,1,wholesale,avocado|carrot|grapefruit|rutabaga
brussels-sprouts,2019-05-29,up,62,6225,3850,70,5,0,wholesale,avocado|celery|snow-peas
brussels-sprouts,2018-07-11,up,61,5200,3223,35,7,1,wholesale,lemon|striploin
butter,2014-10-04,up,47,292,199,126,10,1,wholesale,cantaloupe|cherry-tomato|garlic|lemon|watermelon
butter,2015-12-05,up,39,288,207,98,12,0,wholesale,broccoli|cabbage|cauliflower|leek
butter,2020-05-09,down,-32,119,176,42,5,0,wholesale,beef-tenderloin|cheddar-cheese
butter,2023-10-28,up,23,327,266,42,10,1,wholesale,blueberry|green-onion
butter,2012-10-20,up,21,191,158,98,10,1,wholesale,cheddar-cheese|grapefruit|snow-peas
butter-lettuce,2004-12-15,up,165,3260,1230,42,12,1,wholesale,bell-pepper|blueberry|cantaloupe|cherry-tomato|tomato
butter-lettuce,2002-02-20,up,127,2613,1150,21,2,1,wholesale,broccoli|green-leaf-lettuce|iceberg-lettuce|red-leaf-lettuce|red-potato|romaine-lettuce
butter-lettuce,2007-04-11,up,95,2905,1490,28,4,1,wholesale,beet|butternut-squash|cucumber|onion|red-onion|red-potato|short-rib
butter-lettuce,2018-12-19,up,83,3500,1913,77,12,1,wholesale,collard-greens|green-leaf-lettuce|green-onion|iceberg-lettuce|leek|red-leaf-lettuce|serrano-pepper|spinach
butter-lettuce,2022-11-16,up,76,3350,1900,28,11,1,wholesale,cucumber|green-leaf-lettuce|iceberg-lettuce|red-leaf-lettuce|romaine-lettuce|tomato
butter-lettuce,2024-03-27,up,74,4000,2300,98,3,0,wholesale,cherry-tomato|habanero-pepper
butternut-squash,2024-10-09,up,800,21150,2350,28,10,0,wholesale,blueberry
butternut-squash,2025-01-22,up,481,13656,2350,7,1,0,wholesale,cantaloupe|eggs|pear
butternut-squash,2007-04-04,up,191,4940,1695,112,4,1,wholesale,beet|butter-lettuce|celery|cucumber|onion|red-onion|red-potato
butternut-squash,2004-03-24,up,137,3140,1325,98,3,0,wholesale,acorn-squash|jalapeno|ribeye|vegetable-oil
butternut-squash,2005-06-15,up,90,2640,1393,56,6,1,wholesale,artichoke|brussels-sprouts|collard-greens|eggplant|kale|leek|red-onion
butternut-squash,2001-05-02,up,90,2130,1120,56,5,1,wholesale,cabbage|celery|collard-greens|eggplant|jalapeno|kale|red-onion
button-mushroom,2005-11-30,down,-33,185,275,70,11,0,wholesale,
cabbage,2016-01-13,up,72,2680,1560,70,1,1,wholesale,broccoli|butter|cauliflower|jalapeno|yellow-squash|zucchini
cabbage,2013-01-16,up,72,2668,1550,70,1,1,wholesale,asparagus|broccoli|kale|poblano-pepper|red-leaf-lettuce|romaine-lettuce|spinach|watermelon|zucchini
cabbage,2001-05-30,up,68,1600,955,70,5,0,wholesale,butternut-squash|celery|collard-greens|eggplant|jalapeno|kale|leek|red-onion
cabbage,2015-09-23,up,65,2480,1500,42,9,0,wholesale,pineapple
cabbage,2015-01-14,up,57,2255,1440,42,1,1,wholesale,pumpkin|tomato|watermelon
cabbage,2007-10-10,up,49,1535,1031,70,10,1,wholesale,blueberry|kale|pineapple
cantaloupe,2026-07-01,up,109,4550,2180,21,7,0,wholesale,acorn-squash|lemon
cantaloupe,2004-12-15,up,102,2360,1168,70,12,1,wholesale,bell-pepper|blueberry|butter-lettuce|cherry-tomato|tomato
cantaloupe,2013-10-30,up,101,3150,1565,56,10,1,wholesale,cauliflower|corn-on-the-cob|lemon|snow-peas
cantaloupe,2025-01-22,up,93,3913,2025,98,1,0,wholesale,butternut-squash|eggs|pear
cantaloupe,2017-07-05,up,91,2738,1430,49,7,0,wholesale,celery|parsley|pork-loin|ribeye
cantaloupe,2014-10-22,up,87,3000,1605,28,10,1,wholesale,butter|cherry-tomato|garlic|tomato|watermelon
carrot,2008-07-23,up,59,2500,1570,63,7,1,wholesale,bell-pepper|green-beans|russet-potato|vegetable-oil
carrot,2026-04-01,up,58,3900,2475,77,4,0,wholesale,cherry-tomato|chicken-breast|chicken-thigh|dill|green-beans|jalapeno|poblano-pepper|spinach|tomato|vegetable-oil
carrot,2001-08-08,up,52,1650,1085,77,8,1,wholesale,leek|pear|russet-potato|rutabaga|short-rib
carrot,2002-07-24,up,51,1650,1092,91,7,1,wholesale,avocado|broccoli|brussels-sprouts|grapefruit|lemon|rutabaga
carrot,2004-07-07,up,48,1775,1200,119,7,1,wholesale,cauliflower|pear|rutabaga
carrot,2003-06-25,up,47,1570,1069,112,6,1,wholesale,apple|avocado|bell-pepper|grapefruit|green-leaf-lettuce|rutabaga
cauliflower,2015-12-09,up,222,4925,1528,91,12,1,wholesale,broccoli|butter|cabbage|leek|zucchini
cauliflower,2003-12-24,up,219,3150,988,56,12,1,wholesale,artichoke|beef-tenderloin|iceberg-lettuce|leek|zucchini
