slug,recall_number,report_date,classification,status,recalling_firm,distribution_states,product
ahi-tuna,H-0023-2026,2025-10-15,Class I,Terminated,Western United Fish Company Inc,"Product was sold in the following states: AK, AL, AR, CO, CT, DE, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, M…","Kirkland Signature brand Ahi Tuna Wasabi Poke, Costco #17193, net wt. 1lb. Product is packaged in clear plastic clamshell container and sold to consumers."
almond,H-0394-2026,2026-01-21,Class II,Ongoing,Sanders Candy Factory Inc,"Product was distributed to one customer. Problem was identified by customer, and no affected product was distributed to…",Frosted Almond; 20 lbs (bulk); No UPC# Bulk Product Code: 23208
almond,H-0007-2026,2025-10-08,Class III,Ongoing,Gina Marie Bakery LLC,Firm notified FDA of recall initiated by state of CT on 09/10/25. A copy of CT press release was requested for posting …,Toasted Almond & Cherry Biscotti
almond,F-0927-2025,2025-06-11,Class I,Terminated,"Rocky Mountain Chocolate Factory, Inc.",Will be provided when available.,"Nuts, Almonds DR Diced, LB. Diced Almonds. Bulk (Plastic bag inside corrugated box) Net Wt: 18.5lbs. UPC: 660-1300203. Firm Name & Address Listed on Label: RMCF 265 Turner Dr, Dur…"
almond,F-0571-2025,2025-02-26,Class II,Terminated,United Natural Trading Inc. dba Woodstock Farms,"The recalled product was distributed to the following states : PA, VA, NY,","Wegmans, Organic Almonds Dry Roasted Salted, 12oz clear bag, 12 bags per case."
almond,F-1645-2024,2024-08-14,Class I,Terminated,Bazzini LLC,Distributed to consignee in NY,Bazzini Raw Almond Butter Net Wt. 16 oz (454g) UPC Code 7506284009. Packaged in clear plastic jars with plastic white lids. 12 jars per case
almond,F-1412-2023,2023-08-23,Class III,Terminated,Dilettante Chocolates Inc,Distributed to firm's retail store locations in WA,"Dilettante Mocha Cafe brand Praline Bulk Truffles, perishable, sold individual pieces out of retail display cases. The display placard declares milk, pecans, and almonds in the in…"
almond,F-1415-2023,2023-08-23,Class III,Terminated,Dilettante Chocolates Inc,Distributed to firm's retail store locations in WA,"Dilettante Mocha Cafe brand Rheingold Milk Bulk Toffee, perishable, sold individual pieces out of retail display cases. The display placard declares milk, pecans, and almonds in t…"
almond,F-1414-2023,2023-08-23,Class III,Terminated,Dilettante Chocolates Inc,Distributed to firm's retail store locations in WA,"Dilettante Mocha Cafe brand Rheingold Dark Bulk Toffees, perishable, sold individual pieces out of retail display cases. The display placard declares butter, pecans, and almonds i…"
almond,F-1314-2023,2023-08-09,Class II,Terminated,"Houston Pecan Company, Inc",Texas and internet sales,Whole Natural Almonds packaged in 5 pound bag; Whole Blanched Almonds packaged in 5 pound bag; Sliced Blanched Almonds packaged in 5 pound bag; Sliced Natural Almonds packaged in …
almond,F-1340-2023,2023-08-09,Class II,Terminated,"Houston Pecan Company, Inc",Texas and internet sales,"Breakfast Treats, Sliced Almonds, Walnuts & Dark Raisins packaged in 5 pound bags"
almond,F-1343-2023,2023-08-09,Class II,Terminated,"Houston Pecan Company, Inc",Texas and internet sales,"Sweet & Salty Mix, Rst & Salted Peanuts, Rst & Salted Cashews, Raisins, Cranberries, Sunflower Seeds, Pumpkin Seeds, Sliced Almonds packaged in 5 pound bags"
almond,F-0855-2023,2023-05-17,Class II,Terminated,Windy Hill Chocolate LLC,Domestic consignee only.,Pear Almond
almond,F-0119-2024,2023-03-22,Class I,Terminated,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine","The recalled product was distributed to the following states: MD, PA, DE, NY, DC, NJ, NC, CT, SC, VA, MA .","Fresh Creative Cuisine Tan Label, Grapes, Almond, Cheese & Pretzel Tray, Net Wt. 6 Oz. Single Serving, Keep refrigerated"
