date,price_usd,unit,basis,source,reconstructed
2023-06-14,56.00,carton,wholesale,,true
2023-06-21,57.63,carton,wholesale,,true
2023-06-28,59.50,carton,wholesale,,true
2023-07-05,59.63,carton,wholesale,,true
2023-07-12,61.20,carton,wholesale,,true
2023-07-19,62.60,carton,wholesale,,true
2023-07-26,63.50,carton,wholesale,,true
2023-08-02,63.50,carton,wholesale,,true
2023-08-09,62.90,carton,wholesale,,true
2023-08-16,61.20,carton,wholesale,,true
2023-08-23,60.00,carton,wholesale,,true
2023-08-30,60.80,carton,wholesale,,true
2023-09-06,62.00,carton,wholesale,,true
2023-09-13,64.40,carton,wholesale,,true
2023-09-20,65.00,carton,wholesale,,true
2023-09-27,67.00,carton,wholesale,,true
2023-10-04,69.60,carton,wholesale,,true
2023-10-11,70.00,carton,wholesale,,true
2023-10-18,70.10,carton,wholesale,,true
2023-10-25,70.05,carton,wholesale,,true
2023-11-01,69.40,carton,wholesale,,true
2023-11-08,70.00,carton,wholesale,,true
2023-11-15,71.25,carton,wholesale,,true
2023-11-22,73.00,carton,wholesale,,true
2023-11-29,73.00,carton,wholesale,,true
2023-12-06,73.20,carton,wholesale,,true
2023-12-13,73.00,carton,wholesale,,true
2023-12-20,70.00,carton,wholesale,,true
2023-12-27,68.00,carton,wholesale,,true
2024-01-03,62.00,carton,wholesale,,true
2024-01-10,64.80,carton,wholesale,,true
2024-01-17,69.00,carton,wholesale,,true
2024-01-24,69.00,carton,wholesale,,true
2024-01-31,69.50,carton,wholesale,,true
2024-02-07,69.50,carton,wholesale,,true
2024-02-14,69.50,carton,wholesale,,true
2024-02-21,69.50,carton,wholesale,,true
2024-02-28,69.50,carton,wholesale,,true
2024-03-06,69.50,carton,wholesale,,true
2024-03-13,69.50,carton,wholesale,,true
2024-03-20,69.50,carton,wholesale,,true
2024-03-27,70.50,carton,wholesale,,true
2024-04-03,72.00,carton,wholesale,,true
2024-04-10,72.00,carton,wholesale,,true
2024-04-17,71.70,carton,wholesale,,true
2024-04-24,71.50,carton,wholesale,,true
2024-05-01,71.50,carton,wholesale,,true
2024-05-08,71.50,carton,wholesale,,true
2024-05-15,71.50,carton,wholesale,,true
2024-05-22,71.50,carton,wholesale,,true
2024-05-29,68.63,carton,wholesale,,true
2024-06-05,61.40,carton,wholesale,,true
2024-06-12,62.00,carton,wholesale,,true
2024-06-18,62.00,carton,wholesale,,true
2024-06-26,62.00,carton,wholesale,,true
2024-07-03,62.00,carton,wholesale,,true
2024-07-10,62.00,carton,wholesale,,true
2024-07-17,62.00,carton,wholesale,,true
2024-07-24,62.00,carton,wholesale,,true
2024-07-31,62.00,carton,wholesale,,true
2024-08-07,62.00,carton,wholesale,,true
2024-08-14,62.00,carton,wholesale,,true
2024-08-21,62.00,carton,wholesale,,true
2024-08-28,62.00,carton,wholesale,,true
2024-09-04,62.69,carton,wholesale,,true
2024-09-11,62.65,carton,wholesale,,true
2024-09-18,64.00,carton,wholesale,,true
2024-09-25,64.00,carton,wholesale,,true
2024-10-02,69.30,carton,wholesale,,true
2024-10-09,74.80,carton,wholesale,,true
2024-10-16,75.50,carton,wholesale,,true
2024-10-23,79.00,carton,wholesale,,true
2024-10-30,79.40,carton,wholesale,,true
2024-11-06,79.00,carton,wholesale,,true
2024-11-13,79.00,carton,wholesale,,true
2024-11-20,79.00,carton,wholesale,,true
2024-11-27,78.00,carton,wholesale,,true
2024-12-04,78.00,carton,wholesale,,true
2024-12-11,77.20,carton,wholesale,,true
2024-12-18,77.00,carton,wholesale,,true
2024-12-23,77.00,carton,wholesale,,true
2024-12-31,77.00,carton,wholesale,,true
2025-01-08,77.40,carton,wholesale,,true
2025-01-15,77.25,carton,wholesale,,true
2025-01-22,75.50,carton,wholesale,,true
2025-01-29,75.50,carton,wholesale,,true
2025-02-05,75.50,carton,wholesale,,true
2025-02-12,75.90,carton,wholesale,,true
2025-02-19,76.50,carton,wholesale,,true
2025-02-26,76.50,carton,wholesale,,true
2025-03-05,77.70,carton,wholesale,,true
2025-03-12,77.75,carton,wholesale,,true
2025-03-19,77.25,carton,wholesale,,true
2025-03-26,77.25,carton,wholesale,,true
2025-04-02,74.95,carton,wholesale,,true
2025-04-09,71.75,carton,wholesale,,true
2025-04-16,73.05,carton,wholesale,,true
2025-04-23,75.00,carton,wholesale,,true
2025-04-30,74.90,carton,wholesale,,true
2025-05-07,75.80,carton,wholesale,,true
2025-05-14,76.50,carton,wholesale,,true
2025-05-21,77.30,carton,wholesale,,true
2025-05-28,78.38,carton,wholesale,,true
2025-06-04,78.00,carton,wholesale,,true
2025-06-11,76.20,carton,wholesale,,true
2025-06-18,75.00,carton,wholesale,,true
2025-06-25,75.00,carton,wholesale,,true
2025-07-02,75.00,carton,wholesale,,true
2025-07-09,75.00,carton,wholesale,,true
2025-07-16,75.00,carton,wholesale,,true
2025-07-23,75.00,carton,wholesale,,true
2025-07-30,75.00,carton,wholesale,,true
2025-08-06,76.40,carton,wholesale,,true
2025-08-13,78.00,carton,wholesale,,true
2025-08-20,78.00,carton,wholesale,,true
2025-08-27,76.80,carton,wholesale,,true
2025-09-03,75.00,carton,wholesale,,true
2025-09-10,75.00,carton,wholesale,,true
2025-09-17,75.00,carton,wholesale,,true
2025-09-24,75.00,carton,wholesale,,true
2025-10-01,75.00,carton,wholesale,,true
2025-10-08,75.00,carton,wholesale,,true
2025-10-15,75.00,carton,wholesale,,true
2025-10-22,75.00,carton,wholesale,,true
2025-10-29,75.00,carton,wholesale,,true
2025-11-05,75.00,carton,wholesale,,true
2025-11-12,74.00,carton,wholesale,,true
2025-11-19,73.00,carton,wholesale,,true
2025-11-26,73.00,carton,wholesale,,true
2025-12-03,72.75,carton,wholesale,,true
2025-12-10,72.00,carton,wholesale,,true
2025-12-17,72.00,carton,wholesale,,true
2025-12-23,72.00,carton,wholesale,,true
2025-12-31,72.00,carton,wholesale,,true
2026-01-07,72.00,carton,wholesale,,true
2026-01-14,72.00,carton,wholesale,,true
2026-01-21,72.00,carton,wholesale,,true
2026-01-28,72.75,carton,wholesale,,true
2026-02-04,72.10,carton,wholesale,,true
2026-02-11,70.00,carton,wholesale,,true
2026-02-18,70.00,carton,wholesale,,true
2026-02-25,69.50,carton,wholesale,,true
2026-03-04,68.00,carton,wholesale,,true
2026-03-11,67.20,carton,wholesale,,true
2026-03-18,66.00,carton,wholesale,,true
2026-03-25,65.70,carton,wholesale,,true
2026-04-01,64.40,carton,wholesale,,true
2026-04-08,61.50,carton,wholesale,,true
2026-04-15,61.50,carton,wholesale,,true
2026-04-22,61.50,carton,wholesale,,true
2026-04-29,61.50,carton,wholesale,,true
2026-05-06,62.40,carton,wholesale,,true
2026-05-13,60.20,carton,wholesale,,true
2026-05-20,55.00,carton,wholesale,,true
2026-05-27,55.00,carton,wholesale,,true
2026-05-28,55.00,carton,wholesale,usda-ams-boston,false
2026-05-29,55.00,carton,wholesale,usda-ams-boston,false
2026-06-01,55.00,carton,wholesale,usda-ams-boston,false
2026-06-02,55.00,carton,wholesale,usda-ams-boston,false
2026-06-03,55.00,carton,wholesale,usda-ams-boston,false
2026-06-04,55.00,carton,wholesale,usda-ams-boston,false
2026-06-05,57.50,carton,wholesale,usda-ams-boston,false
2026-06-08,56.00,carton,wholesale,usda-ams-boston,false
2026-06-09,56.00,carton,wholesale,usda-ams-boston,false
2026-06-10,55.00,carton,wholesale,usda-ams-boston,false
2026-06-11,55.00,carton,wholesale,usda-ams-boston,false
2026-06-12,55.00,carton,wholesale,usda-ams-boston,false
2026-06-15,55.00,carton,wholesale,usda-ams-boston,false
2026-06-16,59.00,carton,wholesale,usda-ams-boston,false
2026-06-17,59.00,carton,wholesale,usda-ams-boston,false
2026-06-18,59.00,carton,wholesale,usda-ams-boston,false
2026-06-22,59.50,carton,wholesale,usda-ams-boston,false
2026-06-23,59.50,carton,wholesale,usda-ams-boston,false
2026-06-24,59.50,carton,wholesale,usda-ams-boston,false
2026-06-25,59.50,carton,wholesale,usda-ams-boston,false
2026-06-26,59.50,carton,wholesale,usda-ams-boston,false
2026-06-29,62.50,carton,wholesale,usda-ams-boston,false
2026-06-30,62.50,carton,wholesale,usda-ams-boston,false
2026-07-01,62.50,carton,wholesale,usda-ams-boston,false
2026-07-02,63.00,carton,wholesale,usda-ams-boston,false
2026-07-06,63.00,carton,wholesale,usda-ams-boston,false
