date,price_usd,unit,basis,source,reconstructed
2026-06-03,35.00,carton,wholesale,usda-ams-baltimore,false
2026-06-04,35.00,carton,wholesale,usda-ams-baltimore,false
2026-06-05,35.00,carton,wholesale,usda-ams-baltimore,false
2026-06-08,35.00,carton,wholesale,usda-ams-baltimore,false
2026-06-09,35.00,carton,wholesale,usda-ams-baltimore,false
2026-06-10,35.00,carton,wholesale,usda-ams-baltimore,false
2026-06-11,35.00,carton,wholesale,usda-ams-baltimore,false
2026-06-12,35.00,carton,wholesale,usda-ams-baltimore,false
2026-06-15,35.00,carton,wholesale,usda-ams-baltimore,false
2026-06-16,35.00,carton,wholesale,usda-ams-baltimore,false
2026-06-17,35.00,carton,wholesale,usda-ams-baltimore,false
2026-06-18,35.00,carton,wholesale,usda-ams-baltimore,false
2026-06-22,43.00,carton,wholesale,usda-ams-baltimore,false
2026-06-23,43.00,carton,wholesale,usda-ams-baltimore,false
2026-06-24,43.00,carton,wholesale,usda-ams-baltimore,false
2026-06-25,43.00,carton,wholesale,usda-ams-baltimore,false
2026-06-26,43.00,carton,wholesale,usda-ams-baltimore,false
2026-06-29,43.00,carton,wholesale,usda-ams-baltimore,false
2026-06-30,43.00,carton,wholesale,usda-ams-baltimore,false
2026-07-01,43.00,carton,wholesale,usda-ams-baltimore,false
2026-07-02,43.00,carton,wholesale,usda-ams-baltimore,false
2026-07-06,43.00,carton,wholesale,usda-ams-baltimore,false
2026-07-07,43.00,carton,wholesale,usda-ams-baltimore,false
2026-07-08,43.00,carton,wholesale,usda-ams-baltimore,false
2026-07-09,43.00,carton,wholesale,usda-ams-baltimore,false
2026-07-10,43.00,carton,wholesale,usda-ams-baltimore,false
