date,price_usd,unit,basis,source,reconstructed
2001-04-25,9.00,carton,wholesale,,true
2001-05-02,9.33,carton,wholesale,,true
2001-05-09,9.40,carton,wholesale,,true
2001-05-16,10.05,carton,wholesale,,true
2001-05-23,11.90,carton,wholesale,,true
2001-05-30,12.88,carton,wholesale,,true
2001-06-06,12.65,carton,wholesale,,true
2001-06-13,12.30,carton,wholesale,,true
2001-06-20,12.25,carton,wholesale,,true
2001-06-27,12.10,carton,wholesale,,true
2001-07-03,12.00,carton,wholesale,,true
2001-07-11,12.45,carton,wholesale,,true
2001-07-18,12.38,carton,wholesale,,true
2001-07-25,12.50,carton,wholesale,,true
2001-08-01,12.50,carton,wholesale,,true
2001-08-08,12.80,carton,wholesale,,true
2001-08-15,13.15,carton,wholesale,,true
2001-08-22,13.08,carton,wholesale,,true
2001-08-29,12.98,carton,wholesale,,true
2001-09-05,13.00,carton,wholesale,,true
2001-09-12,13.00,carton,wholesale,,true
2001-09-19,13.20,carton,wholesale,,true
2001-09-26,13.60,carton,wholesale,,true
2001-10-03,13.30,carton,wholesale,,true
2001-10-10,13.31,carton,wholesale,,true
2001-10-17,12.65,carton,wholesale,,true
2001-10-24,9.90,carton,wholesale,,true
2001-10-31,10.40,carton,wholesale,,true
2001-11-07,10.50,carton,wholesale,,true
2001-11-14,10.38,carton,wholesale,,true
2001-11-21,10.10,carton,wholesale,,true
2001-11-28,10.38,carton,wholesale,,true
2001-12-05,9.85,carton,wholesale,,true
2001-12-12,9.95,carton,wholesale,,true
2001-12-19,10.40,carton,wholesale,,true
2001-12-26,10.50,carton,wholesale,,true
2002-01-02,10.88,carton,wholesale,,true
2002-01-09,10.00,carton,wholesale,,true
2002-01-16,10.00,carton,wholesale,,true
2002-01-23,10.00,carton,wholesale,,true
2002-01-30,9.85,carton,wholesale,,true
2002-02-06,9.88,carton,wholesale,,true
2002-02-13,10.35,carton,wholesale,,true
2002-02-20,9.97,carton,wholesale,,true
2002-02-27,10.15,carton,wholesale,,true
2002-03-06,9.80,carton,wholesale,,true
2002-03-13,9.53,carton,wholesale,,true
2002-03-20,10.20,carton,wholesale,,true
2002-03-27,10.20,carton,wholesale,,true
2002-04-03,10.05,carton,wholesale,,true
2002-04-10,10.23,carton,wholesale,,true
2002-04-17,10.25,carton,wholesale,,true
2002-04-24,10.05,carton,wholesale,,true
2002-05-01,9.90,carton,wholesale,,true
2002-05-08,10.00,carton,wholesale,,true
2002-05-15,10.00,carton,wholesale,,true
2002-05-22,10.15,carton,wholesale,,true
2002-05-29,10.35,carton,wholesale,,true
2002-06-05,10.25,carton,wholesale,,true
2002-06-12,10.90,carton,wholesale,,true
2002-06-19,11.23,carton,wholesale,,true
2002-06-26,11.05,carton,wholesale,,true
2002-07-03,12.30,carton,wholesale,,true
2002-07-10,11.97,carton,wholesale,,true
2002-07-17,12.56,carton,wholesale,,true
2002-07-24,13.50,carton,wholesale,,true
2002-07-31,13.50,carton,wholesale,,true
2002-08-07,13.55,carton,wholesale,,true
2002-08-14,13.55,carton,wholesale,,true
2002-08-21,13.78,carton,wholesale,,true
2002-08-28,13.83,carton,wholesale,,true
2002-09-04,13.78,carton,wholesale,,true
2002-09-11,13.60,carton,wholesale,,true
2002-09-18,13.35,carton,wholesale,,true
2002-09-25,13.45,carton,wholesale,,true
2002-10-02,13.63,carton,wholesale,,true
2002-10-09,13.35,carton,wholesale,,true
2002-10-16,12.31,carton,wholesale,,true
2002-10-23,11.00,carton,wholesale,,true
2002-10-30,10.70,carton,wholesale,,true
2002-11-06,10.35,carton,wholesale,,true
2002-11-13,9.82,carton,wholesale,,true
2002-11-20,9.63,carton,wholesale,,true
2002-11-27,10.15,carton,wholesale,,true
2002-12-04,10.31,carton,wholesale,,true
2002-12-11,9.95,carton,wholesale,,true
2002-12-18,9.73,carton,wholesale,,true
2002-12-24,9.94,carton,wholesale,,true
2002-12-31,9.63,carton,wholesale,,true
2003-01-08,9.93,carton,wholesale,,true
2003-01-15,10.48,carton,wholesale,,true
2003-01-22,10.50,carton,wholesale,,true
2003-01-29,10.20,carton,wholesale,,true
2003-02-05,10.30,carton,wholesale,,true
2003-02-12,10.05,carton,wholesale,,true
2003-02-19,9.67,carton,wholesale,,true
2003-02-26,9.90,carton,wholesale,,true
2003-03-05,9.68,carton,wholesale,,true
2003-03-12,9.88,carton,wholesale,,true
2003-03-19,10.33,carton,wholesale,,true
2003-03-26,10.38,carton,wholesale,,true
2003-04-02,10.78,carton,wholesale,,true
2003-04-09,10.90,carton,wholesale,,true
2003-04-16,11.00,carton,wholesale,,true
2003-04-23,11.40,carton,wholesale,,true
2003-04-30,11.50,carton,wholesale,,true
2003-05-07,11.90,carton,wholesale,,true
2003-05-14,12.35,carton,wholesale,,true
2003-05-21,13.00,carton,wholesale,,true
2003-05-28,13.88,carton,wholesale,,true
2003-06-04,14.70,carton,wholesale,,true
2003-06-11,15.88,carton,wholesale,,true
2003-06-18,15.50,carton,wholesale,,true
2003-06-25,16.80,carton,wholesale,,true
2003-07-02,18.15,carton,wholesale,,true
2003-07-09,18.25,carton,wholesale,,true
2003-07-16,17.98,carton,wholesale,,true
2003-07-23,18.15,carton,wholesale,,true
2003-07-30,18.18,carton,wholesale,,true
2003-08-06,17.40,carton,wholesale,,true
2003-08-13,17.25,carton,wholesale,,true
2003-08-20,16.85,carton,wholesale,,true
2003-08-27,16.95,carton,wholesale,,true
2003-09-03,15.94,carton,wholesale,,true
2003-09-10,15.80,carton,wholesale,,true
2003-09-17,16.65,carton,wholesale,,true
2003-09-24,17.50,carton,wholesale,,true
2003-10-01,15.55,carton,wholesale,,true
2003-10-08,15.40,carton,wholesale,,true
2003-10-15,15.00,carton,wholesale,,true
2003-10-22,13.93,carton,wholesale,,true
2003-10-29,13.20,carton,wholesale,,true
2003-11-05,12.05,carton,wholesale,,true
2003-11-12,11.13,carton,wholesale,,true
2003-11-19,10.95,carton,wholesale,,true
2003-11-26,11.10,carton,wholesale,,true
2003-12-03,11.00,carton,wholesale,,true
2003-12-10,10.70,carton,wholesale,,true
2003-12-17,10.50,carton,wholesale,,true
2003-12-24,10.85,carton,wholesale,,true
2003-12-31,10.58,carton,wholesale,,true
2004-01-07,11.03,carton,wholesale,,true
2004-01-14,11.10,carton,wholesale,,true
2004-01-21,10.88,carton,wholesale,,true
2004-01-28,11.13,carton,wholesale,,true
2004-02-04,11.00,carton,wholesale,,true
2004-02-11,11.45,carton,wholesale,,true
2004-02-18,11.22,carton,wholesale,,true
2004-02-25,11.58,carton,wholesale,,true
2004-03-03,11.38,carton,wholesale,,true
2004-03-10,11.55,carton,wholesale,,true
2004-03-17,11.80,carton,wholesale,,true
2004-03-24,12.10,carton,wholesale,,true
2004-03-31,12.80,carton,wholesale,,true
2004-04-07,13.00,carton,wholesale,,true
2004-04-14,12.70,carton,wholesale,,true
2004-04-21,12.10,carton,wholesale,,true
2004-04-28,12.50,carton,wholesale,,true
2004-05-05,13.00,carton,wholesale,,true
2004-05-12,12.60,carton,wholesale,,true
2004-05-19,13.08,carton,wholesale,,true
2004-05-26,13.45,carton,wholesale,,true
2004-06-02,13.88,carton,wholesale,,true
2004-06-09,13.50,carton,wholesale,,true
2004-06-16,15.22,carton,wholesale,,true
2004-06-23,15.00,carton,wholesale,,true
2004-06-30,16.85,carton,wholesale,,true
2004-07-07,17.38,carton,wholesale,,true
2004-07-14,17.05,carton,wholesale,,true
2004-07-21,17.03,carton,wholesale,,true
2004-07-28,17.68,carton,wholesale,,true
2004-08-04,17.93,carton,wholesale,,true
2004-08-11,17.63,carton,wholesale,,true
2004-08-18,18.10,carton,wholesale,,true
2004-08-25,18.00,carton,wholesale,,true
2004-09-01,17.78,carton,wholesale,,true
2004-09-08,17.13,carton,wholesale,,true
2004-09-15,18.40,carton,wholesale,,true
