date,price_usd,unit,basis,source,reconstructed
2026-05-28,36.00,carton,wholesale,usda-ams-boston,false
2026-05-29,36.00,carton,wholesale,usda-ams-boston,false
2026-06-01,35.00,carton,wholesale,usda-ams-boston,false
2026-06-02,35.00,carton,wholesale,usda-ams-boston,false
2026-06-03,35.00,carton,wholesale,usda-ams-boston,false
2026-06-04,35.00,carton,wholesale,usda-ams-boston,false
2026-06-05,35.00,carton,wholesale,usda-ams-boston,false
2026-06-08,35.00,carton,wholesale,usda-ams-boston,false
2026-06-09,35.00,carton,wholesale,usda-ams-boston,false
2026-06-10,35.00,carton,wholesale,usda-ams-boston,false
2026-06-11,35.50,carton,wholesale,usda-ams-boston,false
2026-06-12,35.50,carton,wholesale,usda-ams-boston,false
2026-06-15,31.00,carton,wholesale,usda-ams-boston,false
2026-06-16,31.00,carton,wholesale,usda-ams-boston,false
2026-06-17,31.00,carton,wholesale,usda-ams-boston,false
2026-06-18,31.00,carton,wholesale,usda-ams-boston,false
2026-06-22,31.00,carton,wholesale,usda-ams-boston,false
2026-06-23,31.00,carton,wholesale,usda-ams-boston,false
2026-06-24,30.00,carton,wholesale,usda-ams-boston,false
2026-06-25,30.00,carton,wholesale,usda-ams-boston,false
2026-06-26,30.00,carton,wholesale,usda-ams-boston,false
2026-06-29,26.00,carton,wholesale,usda-ams-boston,false
2026-06-30,26.00,carton,wholesale,usda-ams-boston,false
2026-07-01,26.00,carton,wholesale,usda-ams-boston,false
2026-07-02,26.00,carton,wholesale,usda-ams-boston,false
2026-07-06,27.50,carton,wholesale,usda-ams-boston,false
