date,price_usd,unit,basis,source,reconstructed
2001-04-25,7.50,carton,wholesale,,true
2001-05-02,6.75,carton,wholesale,,true
2001-05-09,6.05,carton,wholesale,,true
2001-05-16,6.35,carton,wholesale,,true
2001-05-23,8.70,carton,wholesale,,true
2001-05-30,9.38,carton,wholesale,,true
2001-06-06,7.25,carton,wholesale,,true
2001-06-13,6.85,carton,wholesale,,true
2001-06-20,7.00,carton,wholesale,,true
2001-06-27,7.40,carton,wholesale,,true
2001-07-03,8.13,carton,wholesale,,true
2001-07-11,8.38,carton,wholesale,,true
2001-07-18,7.78,carton,wholesale,,true
2001-07-25,6.83,carton,wholesale,,true
2001-08-01,6.63,carton,wholesale,,true
2001-08-06,6.63,carton,wholesale,,true
2001-08-15,6.38,carton,wholesale,,true
2001-08-22,6.30,carton,wholesale,,true
2001-08-29,6.78,carton,wholesale,,true
2001-09-05,6.88,carton,wholesale,,true
2001-09-12,7.95,carton,wholesale,,true
2001-09-19,8.20,carton,wholesale,,true
2001-09-26,7.38,carton,wholesale,,true
2001-10-03,6.00,carton,wholesale,,true
2001-10-10,5.78,carton,wholesale,,true
2001-10-17,5.75,carton,wholesale,,true
2001-10-24,5.78,carton,wholesale,,true
2001-10-31,5.88,carton,wholesale,,true
2001-11-07,5.88,carton,wholesale,,true
2001-11-14,7.38,carton,wholesale,,true
2001-11-21,7.48,carton,wholesale,,true
2001-11-28,6.51,carton,wholesale,,true
2001-12-05,5.90,carton,wholesale,,true
2001-12-12,6.10,carton,wholesale,,true
2001-12-19,7.70,carton,wholesale,,true
2001-12-26,8.34,carton,wholesale,,true
2002-01-02,8.25,carton,wholesale,,true
2002-01-09,8.48,carton,wholesale,,true
2002-01-16,7.30,carton,wholesale,,true
2002-01-23,6.56,carton,wholesale,,true
2002-01-30,7.13,carton,wholesale,,true
2002-02-06,8.23,carton,wholesale,,true
2002-02-13,8.33,carton,wholesale,,true
2002-02-20,8.88,carton,wholesale,,true
2002-02-27,8.20,carton,wholesale,,true
2002-03-06,7.10,carton,wholesale,,true
2002-03-13,6.75,carton,wholesale,,true
2002-03-20,6.75,carton,wholesale,,true
2002-03-27,7.05,carton,wholesale,,true
2002-04-03,6.80,carton,wholesale,,true
2002-04-10,6.23,carton,wholesale,,true
2002-04-17,6.30,carton,wholesale,,true
2002-04-24,6.15,carton,wholesale,,true
2002-05-01,5.80,carton,wholesale,,true
2002-05-08,5.90,carton,wholesale,,true
2002-05-15,6.00,carton,wholesale,,true
2002-05-22,6.00,carton,wholesale,,true
2002-05-29,6.00,carton,wholesale,,true
2002-06-05,6.00,carton,wholesale,,true
2002-06-12,6.00,carton,wholesale,,true
2002-06-19,6.00,carton,wholesale,,true
2002-06-26,6.00,carton,wholesale,,true
2002-07-03,7.15,carton,wholesale,,true
2002-07-10,6.82,carton,wholesale,,true
2002-07-17,7.38,carton,wholesale,,true
2002-07-24,7.30,carton,wholesale,,true
2002-07-31,7.15,carton,wholesale,,true
2002-08-07,7.53,carton,wholesale,,true
2002-08-14,7.45,carton,wholesale,,true
2002-08-21,7.73,carton,wholesale,,true
2002-08-28,7.35,carton,wholesale,,true
2002-09-04,7.57,carton,wholesale,,true
