date,price_usd,unit,basis,source,reconstructed
2023-05-01,4.96,lb,wholesale,,true
2023-06-01,5.03,lb,wholesale,,true
2023-07-01,5.10,lb,wholesale,,true
2023-08-01,5.08,lb,wholesale,,true
2023-09-01,5.11,lb,wholesale,,true
2023-10-01,5.23,lb,wholesale,,true
2023-11-01,5.35,lb,wholesale,,true
2023-12-01,5.21,lb,wholesale,,true
2024-01-01,5.03,lb,wholesale,,true
2024-02-01,5.13,lb,wholesale,,true
2024-03-01,5.13,lb,wholesale,,true
2024-04-01,5.24,lb,wholesale,,true
2024-05-01,5.15,lb,wholesale,,true
2024-06-01,5.47,lb,wholesale,,true
2024-07-01,5.50,lb,wholesale,,true
2024-08-01,5.58,lb,wholesale,,true
2024-09-01,5.67,lb,wholesale,,true
2024-10-01,5.59,lb,wholesale,,true
2024-11-01,5.63,lb,wholesale,,true
2024-12-01,5.61,lb,wholesale,,true
2025-01-01,5.55,lb,wholesale,,true
2025-02-01,5.63,lb,wholesale,,true
2025-03-01,5.79,lb,wholesale,,true
2025-04-01,5.80,lb,wholesale,,true
2025-05-01,5.98,lb,wholesale,,true
2025-06-01,6.12,lb,wholesale,,true
2025-07-01,6.25,lb,wholesale,,true
2025-08-01,6.32,lb,wholesale,,true
2025-09-01,6.32,lb,wholesale,,true
2025-11-01,6.54,lb,wholesale,,true
2025-12-01,6.69,lb,wholesale,,true
2026-01-01,6.75,lb,wholesale,,true
2026-02-01,6.74,lb,wholesale,,true
2026-03-01,6.70,lb,wholesale,,true
2026-04-01,6.90,lb,wholesale,,true
2026-05-01,6.75,lb,wholesale,,true
2026-06-08,5.64,lb,wholesale,usda-lmr,false
2026-06-10,5.51,lb,wholesale,usda-lmr,false
