date,price_usd,unit,basis,source,reconstructed
2026-06-03,33.50,carton,wholesale,usda-ams-boston,false
2026-06-04,33.50,carton,wholesale,usda-ams-boston,false
2026-06-05,33.50,carton,wholesale,usda-ams-boston,false
2026-06-08,33.50,carton,wholesale,usda-ams-boston,false
2026-06-09,33.50,carton,wholesale,usda-ams-boston,false
2026-06-10,33.50,carton,wholesale,usda-ams-boston,false
2026-06-11,35.00,carton,wholesale,usda-ams-boston,false
2026-06-12,35.00,carton,wholesale,usda-ams-boston,false
2026-06-15,35.00,carton,wholesale,usda-ams-boston,false
2026-06-16,35.00,carton,wholesale,usda-ams-boston,false
2026-06-17,35.00,carton,wholesale,usda-ams-boston,false
2026-06-18,35.00,carton,wholesale,usda-ams-boston,false
2026-06-22,35.00,carton,wholesale,usda-ams-boston,false
2026-06-23,35.00,carton,wholesale,usda-ams-boston,false
2026-06-24,35.00,carton,wholesale,usda-ams-boston,false
2026-06-25,35.00,carton,wholesale,usda-ams-boston,false
2026-06-26,35.00,carton,wholesale,usda-ams-boston,false
2026-06-29,35.00,carton,wholesale,usda-ams-boston,false
2026-06-30,35.00,carton,wholesale,usda-ams-boston,false
2026-07-01,35.00,carton,wholesale,usda-ams-boston,false
2026-07-02,35.00,carton,wholesale,usda-ams-boston,false
2026-07-06,35.00,carton,wholesale,usda-ams-boston,false
2026-07-07,35.00,carton,wholesale,usda-ams-boston,false
2026-07-08,35.00,carton,wholesale,usda-ams-boston,false
2026-07-09,35.00,carton,wholesale,usda-ams-boston,false
2026-07-10,33.25,carton,wholesale,usda-ams-boston,false
