date,price_usd,unit,basis,source,reconstructed
2026-05-28,39.00,carton,wholesale,usda-ams-boston,false
2026-05-29,39.00,carton,wholesale,usda-ams-boston,false
2026-06-01,58.00,carton,wholesale,usda-ams-boston,false
2026-06-02,60.00,carton,wholesale,usda-ams-boston,false
2026-06-03,62.50,carton,wholesale,usda-ams-boston,false
2026-06-04,64.00,carton,wholesale,usda-ams-boston,false
2026-06-05,64.00,carton,wholesale,usda-ams-boston,false
2026-06-08,72.00,carton,wholesale,usda-ams-boston,false
2026-06-09,72.00,carton,wholesale,usda-ams-boston,false
2026-06-10,72.00,carton,wholesale,usda-ams-boston,false
2026-06-11,72.00,carton,wholesale,usda-ams-boston,false
2026-06-12,72.00,carton,wholesale,usda-ams-boston,false
2026-06-15,72.00,carton,wholesale,usda-ams-boston,false
2026-06-16,72.00,carton,wholesale,usda-ams-boston,false
2026-06-17,72.00,carton,wholesale,usda-ams-boston,false
2026-06-18,65.00,carton,wholesale,usda-ams-boston,false
2026-06-22,65.00,carton,wholesale,usda-ams-boston,false
2026-06-23,65.00,carton,wholesale,usda-ams-boston,false
2026-06-24,63.50,carton,wholesale,usda-ams-boston,false
2026-06-25,63.50,carton,wholesale,usda-ams-boston,false
2026-06-26,63.50,carton,wholesale,usda-ams-boston,false
2026-06-29,46.00,carton,wholesale,usda-ams-boston,false
2026-06-30,46.00,carton,wholesale,usda-ams-boston,false
2026-07-01,46.00,carton,wholesale,usda-ams-boston,false
2026-07-02,39.50,carton,wholesale,usda-ams-boston,false
2026-07-06,28.75,carton,wholesale,usda-ams-boston,false
