slug,name,unit,basis,price_low_usd,price_median_usd,price_high_usd,spread_pct,pct_in_window,confidence,as_of,sources,url
ribeye,Ribeye,lb,wholesale,11.95,12.17,12.39,3.6,50,medium,2026-07-16,1,https://muntin.digital/cost-index/ribeye/
beef-tenderloin,Beef tenderloin,lb,wholesale,14.37,14.52,14.67,2.1,50,medium,2026-07-16,1,https://muntin.digital/cost-index/beef-tenderloin/
chicken-breast,Chicken breast (boneless),lb,wholesale,1.05,1.25,1.49,35.2,45,medium,2026-07-06,1,https://muntin.digital/cost-index/chicken-breast/
whole-chicken,Whole chicken,lb,wholesale,0.84,1.07,1.27,40.2,53,medium,2026-07-06,1,https://muntin.digital/cost-index/whole-chicken/
pork-loin,Pork loin,lb,wholesale,0.88,0.9,0.92,4.4,50,medium,2026-07-16,1,https://muntin.digital/cost-index/pork-loin/
pork-shoulder,Pork shoulder,lb,wholesale,1.1,1.14,1.18,7,50,medium,2026-07-16,1,https://muntin.digital/cost-index/pork-shoulder/
romaine-lettuce,Romaine lettuce,carton,wholesale,10,28,46,128.6,50,low,2026-07-16,4,https://muntin.digital/cost-index/romaine-lettuce/
tomato,Tomatoes (round),carton,wholesale,21.63,23.5,24.88,13.8,58,low,2026-07-16,4,https://muntin.digital/cost-index/tomato/
onion,Onions,sack,wholesale,24.88,25.88,29.25,16.9,23,low,2026-07-16,8,https://muntin.digital/cost-index/onion/
russet-potato,Russet potatoes,sack,wholesale,19.63,21,25,25.6,26,medium,2026-07-16,8,https://muntin.digital/cost-index/russet-potato/
butter,"Butter (AA, bulk)",lb,wholesale,1.61,1.61,1.61,0,,medium,2026-07-04,1,https://muntin.digital/cost-index/butter/
cheddar-cheese,Cheddar cheese,lb,wholesale,1.5,1.53,1.56,3.9,50,medium,2026-07-11,1,https://muntin.digital/cost-index/cheddar-cheese/
eggs,Eggs,dozen,wholesale,1.02,1.03,1.04,1.9,50,medium,2026-07-13,1,https://muntin.digital/cost-index/eggs/
ground-beef,Ground beef,lb,wholesale,5.51,5.51,5.51,0,,directional,2026-06-10,1,https://muntin.digital/cost-index/ground-beef/
short-rib,Short rib,lb,wholesale,5.94,6.01,6.08,2.3,50,medium,2026-07-16,1,https://muntin.digital/cost-index/short-rib/
chicken-thigh,Chicken thigh,lb,wholesale,0.8,1.28,1.96,90.6,41,medium,2026-07-06,1,https://muntin.digital/cost-index/chicken-thigh/
bell-pepper,Bell pepper,carton,wholesale,23,25,30.06,28.2,28,medium,2026-07-16,6,https://muntin.digital/cost-index/bell-pepper/
garlic,Garlic,carton,wholesale,52.63,55.75,61,15,37,low,2026-07-16,7,https://muntin.digital/cost-index/garlic/
avocado,Avocado,carton,wholesale,39.19,44.94,50.69,25.6,50,low,2026-07-16,6,https://muntin.digital/cost-index/avocado/
lemon,Lemon,carton,wholesale,45.37,46,48,5.7,24,medium,2026-07-16,7,https://muntin.digital/cost-index/lemon/
button-mushroom,Button mushroom,carton,wholesale,16.25,22,23.75,34.1,77,low,2026-07-16,7,https://muntin.digital/cost-index/button-mushroom/
cucumber,Cucumber,carton,wholesale,18.13,19.5,21.5,17.3,41,medium,2026-07-16,7,https://muntin.digital/cost-index/cucumber/
broccoli,Broccoli,carton,wholesale,27.87,29.44,31.01,10.7,50,low,2026-07-16,6,https://muntin.digital/cost-index/broccoli/
cauliflower,Cauliflower,carton,wholesale,28.69,33,41.69,39.4,33,low,2026-07-16,7,https://muntin.digital/cost-index/cauliflower/
spinach,Spinach,carton,wholesale,21.5,22,22.44,4.3,53,low,2026-07-16,7,https://muntin.digital/cost-index/spinach/
asparagus,Asparagus,carton,wholesale,47.75,54,60.25,23.1,50,low,2026-07-16,7,https://muntin.digital/cost-index/asparagus/
carrot,Carrot,carton,wholesale,31,31.75,33,6.3,38,low,2026-07-16,7,https://muntin.digital/cost-index/carrot/
corn-on-the-cob,Corn on the cob,carton,wholesale,25,28,33.25,29.5,36,low,2026-07-16,7,https://muntin.digital/cost-index/corn-on-the-cob/
kale,Kale,carton,wholesale,18,19,26,42.1,13,low,2026-07-16,7,https://muntin.digital/cost-index/kale/
basil,Basil,carton,wholesale,6.94,7.88,9.63,34.1,35,low,2026-07-16,7,https://muntin.digital/cost-index/basil/
cilantro,Cilantro,carton,wholesale,28,29.25,29.75,6,71,low,2026-07-16,7,https://muntin.digital/cost-index/cilantro/
sweet-potato,Sweet potato,carton,wholesale,25,30.5,33.75,28.7,63,low,2026-07-16,6,https://muntin.digital/cost-index/sweet-potato/
lime,Lime,carton,wholesale,18.25,21,23.75,26.2,50,low,2026-07-16,7,https://muntin.digital/cost-index/lime/
pineapple,Pineapple,carton,wholesale,17.25,18.5,20,14.9,45,low,2026-07-16,7,https://muntin.digital/cost-index/pineapple/
celery,Celery,carton,wholesale,26.44,29.5,32.56,20.7,50,low,2026-07-16,7,https://muntin.digital/cost-index/celery/
cabbage,Cabbage,carton,wholesale,18.75,20.5,23.25,22,39,low,2026-07-16,7,https://muntin.digital/cost-index/cabbage/
eggplant,Eggplant,carton,wholesale,24.25,26.75,30.25,22.4,42,medium,2026-07-16,7,https://muntin.digital/cost-index/eggplant/
zucchini,Zucchini,carton,wholesale,11.5,12.5,13.5,16,50,low,2026-07-16,7,https://muntin.digital/cost-index/zucchini/
beet,Beet,carton,wholesale,18.75,20.25,24.25,27.2,27,medium,2026-07-16,7,https://muntin.digital/cost-index/beet/
leek,Leek,carton,wholesale,27.38,31,32.38,16.1,72,low,2026-07-16,7,https://muntin.digital/cost-index/leek/
ginger,Ginger root,carton,wholesale,33.69,40.88,43,22.8,77,low,2026-07-16,6,https://muntin.digital/cost-index/ginger/
yellow-squash,Yellow squash,carton,wholesale,13,14.5,18.25,36.2,29,low,2026-07-16,7,https://muntin.digital/cost-index/yellow-squash/
jalapeno,Jalapeño,carton,wholesale,26.37,27.5,31.88,20,21,low,2026-07-16,7,https://muntin.digital/cost-index/jalapeno/
green-onion,Green onion,carton,wholesale,18.38,20.5,21.38,14.6,71,low,2026-07-16,7,https://muntin.digital/cost-index/green-onion/
green-beans,Green beans,carton,wholesale,31.5,36,41.13,26.8,47,low,2026-07-16,7,https://muntin.digital/cost-index/green-beans/
parsley,Parsley,carton,wholesale,26,28.25,30.75,16.8,47,low,2026-07-16,7,https://muntin.digital/cost-index/parsley/
brussels-sprouts,Brussels sprouts,carton,wholesale,31.25,33.75,36.5,15.6,48,low,2026-07-16,7,https://muntin.digital/cost-index/brussels-sprouts/
butternut-squash,Butternut squash,carton,wholesale,23.07,26,31.25,31.5,36,low,2026-07-16,7,https://muntin.digital/cost-index/butternut-squash/
iceberg-lettuce,Iceberg lettuce,carton,wholesale,14.87,27.75,40.63,92.8,50,low,2026-07-16,7,https://muntin.digital/cost-index/iceberg-lettuce/
