slug,authority,code,label,granularity,native_level,binding,shared_with,note
acorn-squash,census_hs,0709932035,"ACORN SQUASH, CERT ORG",line,hs10,slug_aggregates_codes,,
acorn-squash,census_hs,0709932085,"ACORN SQUASH, FRESH OR CHILLED",line,hs10,slug_aggregates_codes,,"Fresh acorn squash, non-organic + organic (0709932035) summed."
acorn-squash,usda_ers,Fresh squash: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
acorn-squash,usda_nass,SQUASH,SQUASH,commodity,nass_commodity,exact,,
ahi-tuna,census_hs,030232,"YELLOWFIN TUNAS, FRESH OR CHILLED",commodity,hs6,slug_aggregates_codes,,
ahi-tuna,census_hs,030235,"ATLANTIC & PACIFIC BLUEFIN TUNAS, FRESH OR CHILLED",commodity,hs6,slug_aggregates_codes,,
ahi-tuna,noaa_fisheries,ahi-tuna,Ahi tuna (yellowfin + bigeye),group,noaa_category,exact,,"Ahi = yellowfin + bigeye specifically — matched as that pair, not the whole tuna group."
almond,census_hs,080212,"ALMONDS, FRESH OR DRIED, SHELLED",commodity,hs6,exact,,
almond,usda_nass,ALMONDS,ALMONDS,commodity,nass_commodity,exact,,
anchovy,census_hs,160416,"ANCHOVIES, PREPARED OR PRESERVED",commodity,hs6,exact,,
anchovy,noaa_fisheries,anchovy,Anchovy,group,noaa_category,exact,,"Pacific/northern anchovy, wild (reduction + bait fishery); small food landing."
apple,census_hs,080810,"APPLES, FRESH",commodity,hs6,exact,,
apple,usda_ers,Fresh apples: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
apple,usda_nass,APPLES,APPLES,commodity,nass_commodity,exact,,
artichoke,census_hs,070991,"GLOBE ARTICHOKES, FRESH OR CHILLED",commodity,hs6,exact,,Fresh globe artichokes; data 2012+.
artichoke,usda_ers,Fresh artichokes: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
artichoke,usda_nass,ARTICHOKES,ARTICHOKES,commodity,nass_commodity,exact,,
asparagus,census_hs,070920,"ASPARAGUS, FRESH OR CHILLED",commodity,hs6,exact,,
asparagus,usda_ers,Fresh asparagus: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
asparagus,usda_nass,ASPARAGUS,ASPARAGUS,commodity,nass_commodity,exact,,
avocado,census_hs,080440,"AVOCADOS, FRESH OR DRIED",commodity,hs6,exact,,
avocado,ghcn_weather,mx-michoacan,"Morelia + Zamora, Michoacan — avocado, lime, citrus, berry",proxy,weather_region,code_shared_by_slugs,lime;lemon,stated origin: Mexico 88%
avocado,usda_ers,Fresh avocados: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
avocado,usda_nass,AVOCADOS,AVOCADOS,commodity,nass_commodity,exact,,
bacon,census_hs,021012,"MEAT OF SWINE, BELLIES (BACON ETC), CURED",commodity,hs6,exact,,
bacon,usda_ers,Pork: Supply and use - carcass weight,red-meat,commodity,ers_commodity,exact,,scope: commodity
bacon,usda_nass,HOGS,HOGS,commodity,nass_commodity,exact,,
banana,census_hs,080390,"BANANAS, FRESH OR DRIED, NESOI",commodity,hs6,exact,,
banana,usda_ers,Fresh bananas: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
banana,usda_nass,BANANAS,BANANAS,commodity,nass_commodity,exact,,US bananas are Hawaii/PR only — a tiny domestic share vs imports (expect very high import reliance).
basil,usda_nass,BASIL,BASIL,commodity,nass_commodity,exact,,Herb — NASS covers where Census imports could not; may be census-of-ag (5-yr) not annual survey.
beef-tenderloin,census_hs,0201305045,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,LOIN",line,hs10,aggregate_and_shared,striploin,"The boneless beef LOIN primal (fresh) — strip loin, short loin (tenderloin) and sirloin; summed with its frozen twin (0202305045). Not split finer at HS10; data from 2017."
beef-tenderloin,census_hs,0202305045,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, LOIN",line,hs10,aggregate_and_shared,striploin,
beef-tenderloin,usda_ers,Beef: Supply and use - carcass weight,red-meat,commodity,ers_commodity,exact,,scope: commodity
beef-tenderloin,usda_nass,CATTLE,CATTLE,commodity,nass_commodity,exact,,
beet,census_hs,0706903000,"BEETS AND HORSERADISH, FRESH OR CHILLED",line,hs10,exact,,Salad beets and horseradish.
beet,usda_nass,BEETS,BEETS,commodity,nass_commodity,exact,,
bell-pepper,census_hs,07096040,"SWEET BELL-TYPE PEPPERS (HS8 0709.60.40, all leaves)",line,hs8,exact,,"All sweet bell-type peppers — every color, field & greenhouse, organic or not — summed via the HS8 subheading. HS10 splits peppers into bell vs chili."
bell-pepper,ghcn_weather,mx-sinaloa,Culiacan / Sinaloa winter-vegetable export belt (warm-season fruiting veg),proxy,weather_region,code_shared_by_slugs,tomato;jalapeno;serrano-pepper;poblano-pepper;habanero-pepper;cucumber;eggplant,stated origin: Mexico 73%
bell-pepper,usda_ers,Fresh bell peppers: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
bell-pepper,usda_nass,PEPPERS / BELL,PEPPERS,line,nass_commodity_class,exact,,NASS peppers; bell vs chili class where available.
black-pepper,census_hs,090411,"PEPPER OF GENUS PIPER, WHOLE",commodity,hs6,slug_aggregates_codes,,
black-pepper,census_hs,090412,"PEPPER OF GENUS PIPER, CRUSHED OR GROUND",commodity,hs6,slug_aggregates_codes,,
blue-cheese,census_hs,040640,"BLUE-VEINED CHEESE (Roquefort, Gorgonzola, Stilton, etc.)",commodity,hs6,exact,,"All blue-veined cheese at HS6 — Roquefort, Stilton and blue-veined NESOI."
blueberry,census_hs,0810400024,"BLUEBERRIES, WILD, FRESH",line,hs10,slug_aggregates_codes,,Blueberries only (wild + cultivated 0810400026 org + 0810400029) — excludes the cranberries that share the HS6 code.
blueberry,census_hs,0810400026,"ORGANIC BLUEBERRIES, CULTIVATED, FRESH",line,hs10,slug_aggregates_codes,,
