slug,name,category,posture,band_pct,edible_yield_pct,trim_tax,cooked_yield,cheapest_month,save_pct,hedge_swap,pressure_dir,pressure_conf,us_import_value_usd,import_years,import_peak_months,import_peak_quarter_share,import_hs6
acorn-squash,Acorn squash,fruiting,lock,6,70,1.43,,12,26,,,,,,,,
banana,Banana,fruit,lock,0.6,65,1.54,,,,Apple,,,2513367507,2012-2025,3;4;5,26,080390
beef-tenderloin,Beef tenderloin,beef,lock,3.5,85,1.18,0.75,7,20,,building,moderate,,,,,
beet,Beet,root,lock,6.1,75,1.33,,8,21,,,,,,,,
bok-choy,Bok choy,greens,lock,5.8,80,1.25,,3,34,,,,,,,,
butter,"Butter (AA, bulk)",,lock,4.4,,,,5,22,,steady,moderate,,,,,
butter-lettuce,Butter lettuce,greens,lock,5.8,65,1.54,,,,Green leaf lettuce,,,,,,,
butternut-squash,Butternut squash,fruiting,lock,3.8,70,1.43,,1,19,Red onion,,,,,,,
cabbage,Cabbage,cruciferous,lock,6.6,80,1.25,,,,Kale,,,,,,,
cheddar-cheese,Cheddar cheese,,lock,2.5,,,,,,,building,high,,,,,
cilantro,Cilantro,herbs,lock,1.2,70,1.43,,1,19,,,,,,,,
daikon,Daikon radish,root,lock,4.4,85,1.18,,,,,,,,,,,
dill,Dill,herbs,lock,2.9,65,1.54,,,,,,,,,,,
eggplant,Eggplant,fruiting,lock,7.1,81,1.23,,1,33,Red onion,,,,,,,
garlic,Garlic,allium,lock,3.6,87,1.15,,6,17,,,,262481127,2010-2025,1;2;12,27,070320
ginger,Ginger root,root,lock,4.4,85,1.18,,9,32,,,,118969213,2012-2025,3;4;12,26,091011
grapefruit,Grapefruit,citrus,lock,3.4,50,2,,,,Apple,,,33115896,2010-2025,7;8;9,46,080540
habanero-pepper,Habanero pepper,fruiting,lock,3.9,85,1.18,,7,23,,,,2087122984,2010-2025,1;3;4,31,070960
leek,Leek,allium,lock,1.5,50,2,,,,Artichoke,,,,,,,
lemon,Lemon,citrus,lock,7.1,45,2.22,,3,40,,,,971844855,2010-2025,7;8;9,33,080550
mint,Mint,herbs,lock,6,70,1.43,,,,,,,,,,,
onion,Onion,allium,lock,5.4,88,1.14,,12,44,Short rib,building,high,,,,,
pear,Pear,fruit,lock,1.3,78,1.28,,3,18,,,,128221620,2012-2025,3;4;5,39,080830
pineapple,Pineapple,fruit,lock,5.3,50,2,,11,36,,,,893627234,2010-2025,4;5;6,29,080430
poblano-pepper,Poblano pepper,fruiting,lock,2.9,80,1.25,,,,,,,2087122984,2010-2025,1;3;4,31,070960
pork-belly,Pork belly,meat,lock,3.2,90,1.11,,,,,,,,,,,
pork-loin,Pork loin,meat,lock,1.6,85,1.18,0.75,12,18,,easing,moderate,,,,,
pork-shoulder,Pork shoulder,meat,lock,4.9,75,1.33,0.65,10,21,Ground pork,easing,moderate,,,,,
red-onion,Red onion,allium,lock,5.8,88,1.14,,,,Butternut squash,,,,,,,
red-potato,Red potato,tuber,lock,0.8,85,1.18,,6,26,,,,,,,,
ribeye,Ribeye,beef,lock,5.8,75,1.33,0.75,8,26,,building,moderate,,,,,
