date,price_usd,unit,basis,source,reconstructed
2001-04-25,14.25,carton,wholesale,,true
2001-05-02,14.90,carton,wholesale,,true
2001-05-09,17.50,carton,wholesale,,true
2001-05-16,17.20,carton,wholesale,,true
2001-05-23,15.80,carton,wholesale,,true
2001-05-30,15.88,carton,wholesale,,true
2001-06-06,15.50,carton,wholesale,,true
2001-06-13,13.70,carton,wholesale,,true
2001-06-20,11.50,carton,wholesale,,true
2001-06-27,11.85,carton,wholesale,,true
2001-07-03,11.75,carton,wholesale,,true
2001-07-11,10.20,carton,wholesale,,true
2001-07-18,10.80,carton,wholesale,,true
2001-07-25,10.15,carton,wholesale,,true
2001-08-01,10.05,carton,wholesale,,true
2001-08-08,10.80,carton,wholesale,,true
2001-08-15,10.00,carton,wholesale,,true
2001-08-22,9.00,carton,wholesale,,true
2001-08-29,8.50,carton,wholesale,,true
2001-09-05,8.75,carton,wholesale,,true
2001-09-12,9.75,carton,wholesale,,true
2001-09-19,9.00,carton,wholesale,,true
2001-09-26,9.90,carton,wholesale,,true
2001-10-03,9.15,carton,wholesale,,true
2001-10-10,10.38,carton,wholesale,,true
2001-10-17,9.65,carton,wholesale,,true
2001-10-24,10.00,carton,wholesale,,true
2001-10-31,12.05,carton,wholesale,,true
2001-11-07,11.35,carton,wholesale,,true
2001-11-14,11.25,carton,wholesale,,true
2001-11-21,11.13,carton,wholesale,,true
2001-11-28,10.50,carton,wholesale,,true
2001-12-05,10.40,carton,wholesale,,true
2001-12-12,9.55,carton,wholesale,,true
2001-12-19,9.80,carton,wholesale,,true
2001-12-26,10.00,carton,wholesale,,true
2002-01-02,10.44,carton,wholesale,,true
2002-01-09,11.20,carton,wholesale,,true
2002-01-16,12.70,carton,wholesale,,true
2002-01-23,13.38,carton,wholesale,,true
2002-01-30,12.10,carton,wholesale,,true
2002-02-06,11.00,carton,wholesale,,true
2002-02-13,11.80,carton,wholesale,,true
2002-02-20,12.50,carton,wholesale,,true
2002-02-27,13.00,carton,wholesale,,true
2002-03-06,12.00,carton,wholesale,,true
2002-03-13,12.30,carton,wholesale,,true
2002-03-20,12.25,carton,wholesale,,true
2002-03-27,11.50,carton,wholesale,,true
2002-04-03,11.80,carton,wholesale,,true
2002-04-10,13.20,carton,wholesale,,true
2002-04-17,13.70,carton,wholesale,,true
2002-04-24,13.45,carton,wholesale,,true
2002-05-01,14.15,carton,wholesale,,true
2002-05-08,15.10,carton,wholesale,,true
2002-05-15,14.60,carton,wholesale,,true
2002-05-22,12.60,carton,wholesale,,true
2002-05-29,12.63,carton,wholesale,,true
2002-06-05,11.60,carton,wholesale,,true
2002-06-12,12.40,carton,wholesale,,true
2002-06-19,12.10,carton,wholesale,,true
2002-06-26,10.45,carton,wholesale,,true
2002-07-03,11.15,carton,wholesale,,true
2002-07-10,12.38,carton,wholesale,,true
2002-07-17,11.50,carton,wholesale,,true
2002-07-24,11.30,carton,wholesale,,true
2002-07-31,12.00,carton,wholesale,,true
2002-08-07,12.45,carton,wholesale,,true
2002-08-14,12.45,carton,wholesale,,true
2002-08-21,11.65,carton,wholesale,,true
2002-08-28,10.00,carton,wholesale,,true
2002-09-04,12.00,carton,wholesale,,true
2002-09-11,12.25,carton,wholesale,,true
2002-09-18,10.75,carton,wholesale,,true
2002-09-25,10.65,carton,wholesale,,true
2002-10-02,10.95,carton,wholesale,,true
2002-10-09,10.60,carton,wholesale,,true
2002-10-16,11.88,carton,wholesale,,true
2002-10-23,12.17,carton,wholesale,,true
2002-10-30,12.00,carton,wholesale,,true
2002-11-06,12.40,carton,wholesale,,true
2002-11-13,12.50,carton,wholesale,,true
2002-11-20,12.20,carton,wholesale,,true
2002-11-27,12.20,carton,wholesale,,true
2002-12-04,13.50,carton,wholesale,,true
2002-12-11,13.80,carton,wholesale,,true
2002-12-18,13.70,carton,wholesale,,true
2002-12-24,13.00,carton,wholesale,,true
2002-12-31,13.06,carton,wholesale,,true
2003-01-08,12.40,carton,wholesale,,true
2003-01-15,11.80,carton,wholesale,,true
2003-01-22,11.38,carton,wholesale,,true
2003-01-29,11.00,carton,wholesale,,true
2003-02-05,12.50,carton,wholesale,,true
2003-02-12,11.30,carton,wholesale,,true
2003-02-19,11.00,carton,wholesale,,true
2003-02-26,13.70,carton,wholesale,,true
2003-03-05,12.80,carton,wholesale,,true
2003-03-12,11.60,carton,wholesale,,true
2003-03-19,11.50,carton,wholesale,,true
2003-03-26,13.20,carton,wholesale,,true
2003-04-02,13.00,carton,wholesale,,true
2003-04-09,11.30,carton,wholesale,,true
2003-04-16,11.70,carton,wholesale,,true
2003-04-23,12.75,carton,wholesale,,true
2003-04-30,12.20,carton,wholesale,,true
2003-05-07,13.70,carton,wholesale,,true
2003-05-14,13.05,carton,wholesale,,true
2003-05-21,12.30,carton,wholesale,,true
2003-05-28,11.00,carton,wholesale,,true
2003-06-04,11.40,carton,wholesale,,true
2003-06-11,11.00,carton,wholesale,,true
2003-06-18,11.60,carton,wholesale,,true
2003-06-25,12.60,carton,wholesale,,true
2003-07-02,11.00,carton,wholesale,,true
2003-07-09,13.63,carton,wholesale,,true
2003-07-16,13.10,carton,wholesale,,true
2003-07-23,12.50,carton,wholesale,,true
2003-07-30,11.00,carton,wholesale,,true
2003-08-06,11.20,carton,wholesale,,true
2003-08-13,12.30,carton,wholesale,,true
2003-08-20,12.20,carton,wholesale,,true
2003-08-27,12.00,carton,wholesale,,true
2003-09-03,9.75,carton,wholesale,,true
2003-09-10,9.00,carton,wholesale,,true
2003-09-17,9.20,carton,wholesale,,true
2003-09-24,10.15,carton,wholesale,,true
2003-10-01,10.75,carton,wholesale,,true
2003-10-08,10.90,carton,wholesale,,true
2003-10-15,10.25,carton,wholesale,,true
2003-10-22,10.05,carton,wholesale,,true
2003-10-29,10.30,carton,wholesale,,true
2003-11-05,11.00,carton,wholesale,,true
2003-11-12,12.81,carton,wholesale,,true
2003-11-19,13.30,carton,wholesale,,true
2003-11-26,13.80,carton,wholesale,,true
2003-12-03,12.56,carton,wholesale,,true
2003-12-10,12.60,carton,wholesale,,true
2003-12-17,12.20,carton,wholesale,,true
2003-12-24,12.75,carton,wholesale,,true
2003-12-31,13.00,carton,wholesale,,true
2004-01-07,12.63,carton,wholesale,,true
2004-01-14,13.40,carton,wholesale,,true
2004-01-21,14.38,carton,wholesale,,true
2004-01-28,14.50,carton,wholesale,,true
2004-02-04,14.70,carton,wholesale,,true
2004-02-11,15.00,carton,wholesale,,true
2004-02-18,14.94,carton,wholesale,,true
2004-02-25,14.50,carton,wholesale,,true
2004-03-03,14.50,carton,wholesale,,true
2004-03-10,15.00,carton,wholesale,,true
2004-03-17,15.00,carton,wholesale,,true
2004-03-24,15.00,carton,wholesale,,true
2004-03-31,15.00,carton,wholesale,,true
2004-04-07,14.95,carton,wholesale,,true
2004-04-14,16.70,carton,wholesale,,true
2004-04-21,20.10,carton,wholesale,,true
2004-04-28,19.75,carton,wholesale,,true
2004-05-05,19.10,carton,wholesale,,true
2004-05-12,16.00,carton,wholesale,,true
2004-05-19,14.20,carton,wholesale,,true
2004-05-26,12.30,carton,wholesale,,true
2004-06-02,13.38,carton,wholesale,,true
2004-06-09,13.45,carton,wholesale,,true
2004-06-16,10.56,carton,wholesale,,true
2004-06-23,9.10,carton,wholesale,,true
2004-06-30,10.20,carton,wholesale,,true
2004-07-07,10.00,carton,wholesale,,true
2004-07-14,10.60,carton,wholesale,,true
2004-07-21,11.35,carton,wholesale,,true
2004-07-28,10.70,carton,wholesale,,true
2004-08-04,11.10,carton,wholesale,,true
2004-08-11,10.10,carton,wholesale,,true
2004-08-18,8.60,carton,wholesale,,true
2004-08-25,8.80,carton,wholesale,,true
2004-09-01,8.65,carton,wholesale,,true
2004-09-08,9.00,carton,wholesale,,true
2004-09-15,9.80,carton,wholesale,,true
2004-09-22,10.00,carton,wholesale,,true
2004-09-29,12.40,carton,wholesale,,true
2004-10-06,13.30,carton,wholesale,,true
2004-10-13,13.38,carton,wholesale,,true
2004-10-20,13.40,carton,wholesale,,true
2004-10-27,12.60,carton,wholesale,,true
2004-11-03,14.00,carton,wholesale,,true
2004-11-10,14.38,carton,wholesale,,true
2004-11-17,14.56,carton,wholesale,,true
2004-11-24,15.25,carton,wholesale,,true
2004-12-01,14.13,carton,wholesale,,true
2004-12-08,13.60,carton,wholesale,,true
2004-12-15,14.40,carton,wholesale,,true
2004-12-22,13.50,carton,wholesale,,true
2004-12-29,10.94,carton,wholesale,,true
2005-01-05,10.88,carton,wholesale,,true
2005-01-12,11.25,carton,wholesale,,true
