date,price_usd,unit,basis,source,reconstructed
2001-04-18,11.38,carton,wholesale,,true
2001-04-25,13.00,carton,wholesale,,true
2001-05-02,13.23,carton,wholesale,,true
2001-05-09,12.05,carton,wholesale,,true
2001-05-16,10.88,carton,wholesale,,true
2001-05-23,10.88,carton,wholesale,,true
2001-05-30,10.53,carton,wholesale,,true
2001-06-06,11.13,carton,wholesale,,true
2001-06-13,11.03,carton,wholesale,,true
2001-06-20,10.88,carton,wholesale,,true
2001-06-27,10.68,carton,wholesale,,true
2001-07-03,10.63,carton,wholesale,,true
2001-07-11,9.73,carton,wholesale,,true
2001-07-18,8.20,carton,wholesale,,true
2001-07-25,7.90,carton,wholesale,,true
2001-08-01,7.85,carton,wholesale,,true
2001-08-06,7.75,carton,wholesale,,true
2001-08-15,7.75,carton,wholesale,,true
2001-08-22,7.33,carton,wholesale,,true
2001-08-29,8.13,carton,wholesale,,true
2001-09-05,8.19,carton,wholesale,,true
2001-09-12,8.45,carton,wholesale,,true
2001-09-19,8.50,carton,wholesale,,true
2001-09-26,8.50,carton,wholesale,,true
2001-10-03,8.38,carton,wholesale,,true
2001-10-10,8.35,carton,wholesale,,true
2001-10-17,8.38,carton,wholesale,,true
2001-10-24,8.00,carton,wholesale,,true
2001-10-31,7.88,carton,wholesale,,true
2001-11-07,7.88,carton,wholesale,,true
2001-11-14,7.88,carton,wholesale,,true
2001-11-21,7.88,carton,wholesale,,true
2001-11-28,7.72,carton,wholesale,,true
2001-12-05,7.63,carton,wholesale,,true
2001-12-12,7.63,carton,wholesale,,true
2001-12-19,7.70,carton,wholesale,,true
2001-12-26,7.75,carton,wholesale,,true
2002-01-02,7.72,carton,wholesale,,true
2002-01-09,7.75,carton,wholesale,,true
2002-01-16,7.75,carton,wholesale,,true
2002-01-23,7.75,carton,wholesale,,true
2002-01-30,7.60,carton,wholesale,,true
2002-02-06,7.25,carton,wholesale,,true
2002-02-13,7.25,carton,wholesale,,true
2002-02-20,7.25,carton,wholesale,,true
2002-02-27,7.95,carton,wholesale,,true
2002-03-06,8.13,carton,wholesale,,true
2002-03-13,8.13,carton,wholesale,,true
2002-03-20,8.05,carton,wholesale,,true
2002-03-27,8.00,carton,wholesale,,true
2002-04-03,8.00,carton,wholesale,,true
2002-04-10,8.00,carton,wholesale,,true
2002-04-17,8.00,carton,wholesale,,true
2002-04-24,8.00,carton,wholesale,,true
2002-05-01,8.00,carton,wholesale,,true
2002-05-08,8.00,carton,wholesale,,true
2002-05-15,8.00,carton,wholesale,,true
2002-05-22,8.13,carton,wholesale,,true
2002-05-29,8.13,carton,wholesale,,true
2002-06-05,8.13,carton,wholesale,,true
2002-06-12,8.13,carton,wholesale,,true
2002-06-19,8.13,carton,wholesale,,true
2002-06-26,8.08,carton,wholesale,,true
2002-07-03,8.20,carton,wholesale,,true
2002-07-10,8.50,carton,wholesale,,true
2002-07-17,8.25,carton,wholesale,,true
2002-07-24,8.25,carton,wholesale,,true
2002-07-31,8.25,carton,wholesale,,true
2002-08-07,8.25,carton,wholesale,,true
