date,price_usd,unit,basis,source,reconstructed
2026-06-03,22.50,carton,wholesale,usda-ams-boston,false
2026-06-04,22.50,carton,wholesale,usda-ams-boston,false
2026-06-05,22.50,carton,wholesale,usda-ams-boston,false
2026-06-08,22.50,carton,wholesale,usda-ams-boston,false
2026-06-09,22.50,carton,wholesale,usda-ams-boston,false
2026-06-10,22.50,carton,wholesale,usda-ams-boston,false
2026-06-11,22.50,carton,wholesale,usda-ams-boston,false
2026-06-12,22.50,carton,wholesale,usda-ams-boston,false
2026-06-15,22.50,carton,wholesale,usda-ams-boston,false
2026-06-16,22.50,carton,wholesale,usda-ams-boston,false
2026-06-17,22.50,carton,wholesale,usda-ams-boston,false
2026-06-18,22.50,carton,wholesale,usda-ams-boston,false
2026-06-22,22.50,carton,wholesale,usda-ams-boston,false
2026-06-23,22.50,carton,wholesale,usda-ams-boston,false
2026-06-24,22.50,carton,wholesale,usda-ams-boston,false
2026-06-25,22.50,carton,wholesale,usda-ams-boston,false
2026-06-26,22.50,carton,wholesale,usda-ams-boston,false
2026-06-29,22.50,carton,wholesale,usda-ams-boston,false
2026-06-30,22.50,carton,wholesale,usda-ams-boston,false
2026-07-01,22.50,carton,wholesale,usda-ams-boston,false
2026-07-02,22.50,carton,wholesale,usda-ams-boston,false
2026-07-06,22.50,carton,wholesale,usda-ams-boston,false
2026-07-07,22.50,carton,wholesale,usda-ams-boston,false
2026-07-08,22.50,carton,wholesale,usda-ams-boston,false
2026-07-09,22.50,carton,wholesale,usda-ams-boston,false
2026-07-10,22.50,carton,wholesale,usda-ams-boston,false
