date,price_usd,unit,basis,source,reconstructed
2026-05-28,38.00,carton,wholesale,usda-ams-boston,false
2026-05-29,38.00,carton,wholesale,usda-ams-boston,false
2026-06-01,38.00,carton,wholesale,usda-ams-boston,false
2026-06-02,38.00,carton,wholesale,usda-ams-boston,false
2026-06-03,38.00,carton,wholesale,usda-ams-boston,false
2026-06-04,51.50,carton,wholesale,usda-ams-boston,false
2026-06-05,51.50,carton,wholesale,usda-ams-boston,false
2026-06-08,51.50,carton,wholesale,usda-ams-boston,false
2026-06-09,50.00,carton,wholesale,usda-ams-boston,false
2026-06-10,50.00,carton,wholesale,usda-ams-boston,false
2026-06-11,50.00,carton,wholesale,usda-ams-boston,false
2026-06-12,50.00,carton,wholesale,usda-ams-boston,false
2026-06-15,50.00,carton,wholesale,usda-ams-boston,false
2026-06-16,50.00,carton,wholesale,usda-ams-boston,false
2026-06-17,49.00,carton,wholesale,usda-ams-boston,false
2026-06-18,49.00,carton,wholesale,usda-ams-boston,false
2026-06-22,49.50,carton,wholesale,usda-ams-boston,false
2026-06-23,49.50,carton,wholesale,usda-ams-boston,false
2026-06-24,49.50,carton,wholesale,usda-ams-boston,false
2026-06-25,49.50,carton,wholesale,usda-ams-boston,false
2026-06-26,49.50,carton,wholesale,usda-ams-boston,false
2026-06-29,49.50,carton,wholesale,usda-ams-boston,false
2026-06-30,49.50,carton,wholesale,usda-ams-boston,false
2026-07-01,49.50,carton,wholesale,usda-ams-boston,false
2026-07-02,49.50,carton,wholesale,usda-ams-boston,false
2026-07-06,49.50,carton,wholesale,usda-ams-boston,false
