slug,name,bucket,monthly,half_width_pct,coverage,coverage_lo,coverage_hi,up_pct,down_pct,n_tested
acorn-squash,Acorn squash,lock,false,0.06,0.768,0.737,0.796,0.06,0.005,1296
apple,Apples,cushion,false,0.196,0.726,0.696,0.755,0.043,0.196,1304
artichoke,Artichoke,cushion,false,0.115,0.744,0.715,0.771,0.115,0.091,1298
asparagus,Asparagus,cushion,false,0.167,0.749,0.72,0.777,0.123,0.167,1305
avocado,Avocado,cushion,false,0.168,0.747,0.713,0.778,0.168,0.134,1209
banana,Bananas,lock,false,0.006,0.768,0.738,0.795,0,0.006,1304
basil,Basil,withhold,false,0,,,,0,0,121
beef-tenderloin,Beef tenderloin,lock,false,0.035,0.751,0.722,0.777,0.025,0.035,1300
beet,Beet,lock,false,0.061,0.755,0.723,0.784,0.061,0.03,1305
bell-pepper,Bell pepper,cushion,false,0.144,0.739,0.712,0.765,0.128,0.144,1305
blueberry,Blueberries,withhold,false,0.301,0.741,0.714,0.767,0.183,0.301,1298
bok-choy,Bok choy,lock,false,0.058,0.775,0.688,0.844,0.058,0.042,120
broccoli,Broccoli,float,false,0.264,0.743,0.713,0.771,0.213,0.264,1304
brussels-sprouts,Brussels sprouts,float,false,0.212,0.747,0.717,0.775,0.059,0.212,1247
butter,"Butter (AA, bulk)",lock,false,0.044,0.748,0.706,0.785,0.044,0.037,734
butter-lettuce,Butter lettuce,lock,false,0.058,0.754,0.72,0.785,0.035,0.058,1300
butternut-squash,Butternut squash,lock,false,0.038,0.742,0.708,0.773,0.038,0,1304
button-mushroom,Button mushroom,withhold,false,0,,,,0,0,1305
cabbage,Cabbage,lock,false,0.066,0.735,0.705,0.763,0.066,0.026,1305
cantaloupe,Cantaloupe,cushion,false,0.115,0.748,0.72,0.775,0.115,0.041,1304
carrot,Carrot,withhold,false,0,,,,0,0,1303
cauliflower,Cauliflower,withhold,false,0.4,0.756,0.726,0.783,0.308,0.4,1305
celery,Celery,withhold,false,0.436,0.738,0.704,0.769,0.244,0.436,1305
cheddar-cheese,Cheddar cheese,lock,false,0.025,0.749,0.701,0.793,0.019,0.025,734
cherry-tomato,Cherry tomatoes,cushion,false,0.127,0.747,0.718,0.774,0.127,0.029,1304
chicken-breast,Chicken breast (boneless),cushion,false,0.053,0.691,0.595,0.773,0.053,0.05,191
chicken-thigh,Chicken thigh,cushion,false,0.029,0.654,0.56,0.738,0.029,0.004,191
cilantro,Cilantro,lock,false,0.012,0.793,0.666,0.881,0.012,0,121
clams,clams,withhold,false,,,,,,,
collard-greens,Collard greens,withhold,false,0,,,,0,0,1304
corn-on-the-cob,Corn on the cob,cushion,false,0.161,0.737,0.708,0.764,0.148,0.161,1300
cucumber,Cucumber,cushion,false,0.126,0.756,0.728,0.781,0.126,0.11,1305
daikon,Daikon radish,lock,false,0.044,0.802,0.678,0.886,0.044,0,121
dill,Dill,lock,false,0.029,0.784,0.685,0.858,0,0.029,125
eggplant,Eggplant,lock,false,0.071,0.751,0.722,0.778,0.071,0.067,1305
eggs,Eggs,withhold,false,0.571,0.785,0.63,0.886,0.571,0.536,65
garlic,Garlic,lock,false,0.036,0.734,0.703,0.763,0.014,0.036,1283
ginger,Ginger root,lock,false,0.044,0.76,0.668,0.833,0.024,0.044,121
grapefruit,Grapefruit,lock,false,0.034,0.728,0.698,0.756,0.024,0.034,1297
green-beans,Green beans,cushion,false,0.189,0.742,0.711,0.77,0.189,0.189,1297
green-leaf-lettuce,Green leaf lettuce,float,false,0.223,0.729,0.692,0.762,0.223,0.143,1304
green-onion,Green onion,withhold,false,0.624,0.731,0.696,0.763,0.125,0.624,1304
ground-beef,Ground beef,withhold,false,,,,,,,
habanero-pepper,Habanero pepper,lock,false,0.039,0.76,0.728,0.789,0.039,0,1304
