date,sales_sa_musd,sales_nsa_musd,provisional
2015-01-01,49690,47106,false
2015-02-01,49525,45761,false
2015-03-01,49966,52164,false
2015-04-01,50577,51285,false
2015-05-01,50710,54310,false
2015-06-01,50752,51006,false
2015-07-01,50989,52060,false
2015-08-01,51279,52048,false
2015-09-01,51316,49623,false
2015-10-01,51627,52814,false
2015-11-01,51773,49133,false
2015-12-01,52598,53387,false
2016-01-01,51983,49072,false
2016-02-01,53088,50487,false
2016-03-01,52858,54814,false
2016-04-01,53142,55215,false
2016-05-01,53191,55851,false
2016-06-01,53124,53496,false
2016-07-01,53244,54895,false
2016-08-01,53653,54082,false
2016-09-01,54259,53174,false
2016-10-01,54210,54589,false
2016-11-01,55212,52231,false
2016-12-01,54191,56304,false
2017-01-01,56143,51876,false
2017-02-01,56129,51695,false
2017-03-01,56044,58902,false
2017-04-01,56142,57321,false
2017-05-01,56145,58840,false
2017-06-01,56063,57408,false
2017-07-01,55976,57263,false
2017-08-01,56414,57317,false
2017-09-01,56703,55909,false
2017-10-01,57108,56994,false
2017-11-01,57725,54608,false
2017-12-01,58041,60014,false
2018-01-01,58212,53555,false
2018-02-01,58524,53784,false
2018-03-01,59023,62328,false
2018-04-01,58255,59071,false
2018-05-01,59620,62780,false
2018-06-01,60220,62267,false
2018-07-01,61072,62232,false
2018-08-01,61414,63195,false
2018-09-01,60069,58567,false
2018-10-01,60522,60159,false
2018-11-01,60242,57591,false
2018-12-01,60181,61385,false
2019-01-01,60194,55499,false
2019-02-01,60557,55591,false
2019-03-01,61096,64640,false
2019-04-01,61608,62039,false
2019-05-01,62227,66210,false
2019-06-01,63135,64776,false
2019-07-01,63787,65063,false
2019-08-01,64042,66988,false
2019-09-01,64727,62397,false
2019-10-01,65021,64891,false
2019-11-01,65175,62959,false
2019-12-01,66223,66289,false
2020-01-01,67345,62496,false
2020-02-01,67358,64394,false
2020-03-01,47370,49123,false
2020-04-01,30732,30916,false
2020-05-01,40492,43569,false
2020-06-01,52238,53231,false
2020-07-01,54431,56445,false
2020-08-01,57039,58522,false
2020-09-01,58600,56901,false
2020-10-01,58351,59518,false
2020-11-01,55862,52622,false
2020-12-01,52599,52757,false
2021-01-01,57626,53823,false
2021-02-01,56086,51431,false
2021-03-01,63974,66085,false
2021-04-01,66762,68030,false
2021-05-01,68693,73158,false
2021-06-01,71798,73090,false
2021-07-01,73217,76951,false
2021-08-01,73056,74517,false
2021-09-01,73020,71048,false
2021-10-01,73212,74457,false
2021-11-01,73792,69512,false
2021-12-01,72661,73606,false
2022-01-01,71252,65623,false
2022-02-01,74324,68155,false
2022-03-01,76542,79374,false
2022-04-01,79251,81153,false
2022-05-01,80003,84563,false
2022-06-01,80557,82088,false
2022-07-01,80283,84056,false
2022-08-01,82370,83853,false
2022-09-01,82408,81337,false
2022-10-01,83665,84251,false
2022-11-01,83102,78116,false
2022-12-01,82644,84875,false
2023-01-01,88289,80520,false
2023-02-01,85987,78850,false
2023-03-01,86259,90141,false
2023-04-01,86620,87659,false
2023-05-01,87616,92260,false
2023-06-01,88447,91277,false
2023-07-01,89167,92199,false
2023-08-01,89564,91624,false
2023-09-01,90447,89814,false
2023-10-01,90631,90812,false
2023-11-01,91761,86531,false
2023-12-01,92021,94414,false
2024-01-01,91512,83093,false
2024-02-01,92074,87470,false
2024-03-01,91672,96164,false
2024-04-01,91926,92937,false
2024-05-01,92402,98500,false
2024-06-01,92470,95152,false
2024-07-01,93021,94974,false
2024-08-01,93438,97830,false
2024-09-01,94281,91735,false
2024-10-01,95518,95518,false
2024-11-01,95509,92548,false
2024-12-01,95552,95361,false
2025-01-01,96115,87849,false
2025-02-01,94939,86774,false
2025-03-01,97919,101934,false
2025-04-01,98170,98563,false
2025-05-01,97973,106007,false
2025-06-01,98790,100667,false
2025-07-01,98980,101158,false
2025-08-01,99551,104429,false
2025-09-01,99797,97102,false
2025-10-01,99705,100802,false
2025-11-01,100241,96332,false
2025-12-01,99887,99487,false
2026-01-01,99554,92087,false
2026-02-01,100240,91419,false
2026-03-01,100241,103549,false
2026-04-01,101267,101672,false
2026-05-01,102437,110632,false
2026-06-01,102497,104547,true
