ref_n,kind,layer,authors,year,title,venue,doi,finding,grounds_how,myth,confidence,cited_in_sections
1,economics,menu-costs,N. Gregory Mankiw,1985,Small Menu Costs and Large Business Cycles: A Macroeconomic Model of Monopoly,"The Quarterly Journal of Economics, vol. 100, no. 2, pp. 529-538 (MIT Press at time of publication; QJE now published by Oxford University Press)",https://doi.org/10.2307/1885395,"In a monopoly model, a small fixed cost of changing the posted price makes it privately rational for a firm to leave its price unchanged after a nominal demand shock, yet the resulting price rigidity produces welfare losses far larger than the menu cost itself.",Our print-vs-float posture rests directly on Mankiw's result that a small fixed repricing cost rationally justifies holding a listed price through a shock; we carry it from macro monopoly theory into the concrete menu-reprint decision.,"The popular reading that a 'menu cost' is merely the trivial expense of reprinting menus — Mankiw's point is the opposite: even small repricing frictions (a metaphor for all adjustment costs) generate disproportionately large effects, so the cost is neither trivial nor merely physical.",high,The problem: pricing against inputs that never sit still | Don't reprint on a spike: the shock-duration read
2,economics,why-it-matters,"U.S. Department of Agriculture, Economic Research Service (ERS)",2023,Food Dollar Series (farm share of the U.S. food dollar; companion: Price Spreads from Farm to Consumer),USDA Economic Research Service (ERS) data product,https://www.ers.usda.gov/data-products/food-dollar-series,"In the U.S. food-dollar accounting, farm establishments received about 15.9 cents of each dollar U.S. consumers spent on domestically produced food in 2023 (the 'farm share'), with the large majority going to post-farm marketing costs — processing, packaging, transportation, wholesaling, and retailing; the companion Price Spreads from Farm to Consumer series (a distinct ERS data product) reports farm value, wholesale, and retail values whose spreads move partly independently of farm-gate prices.","Our 'wholesale is not what you pay' honesty rests directly on this official accounting: because the farm/commodity value is a minority (~16 cents) of the retail food dollar, a commodity or wholesale move cannot be read one-to-one into an operator's menu cost.",Corrects the folk belief that the farm/commodity (or wholesale) price is most of what you pay and that farmers capture most of the food dollar — the 2023 farm share is about 15.9 cents; the majority is post-farm marketing cost.,high,The problem: pricing against inputs that never sit still
3,economics,bands,Sam Peltzman,2000,Prices Rise Faster than They Fall,"Journal of Political Economy (University of Chicago Press), 108(3), 466-502",https://doi.org/10.1086/262126,"Across 242 markets (77 consumer and 165 producer goods), output prices respond faster to input-cost increases than to decreases in more than two of every three markets, with the immediate response to a positive cost shock at least twice the response to an equal negative shock and the gap persisting five to eight months — the foundational cross-market demonstration of asymmetric 'rockets and feathers' pass-through.","Our wholesale-reference bands are framed as market context rather than a live retail price precisely because Peltzman shows output prices track input costs up fast but down slowly, so a wholesale dip has not necessarily flowed through to what an operator actually pays.","Corrects the assumption that when wholesale or input costs fall, retail prices fall just as fast as they rose — Peltzman documents the opposite (rise-faster-than-fall) in roughly two-thirds of markets.",high,The problem: pricing against inputs that never sit still
4,economics,bands,Jochen Meyer and Stephan von Cramon-Taubadel,2004,Asymmetric Price Transmission: A Survey,"Journal of Agricultural Economics (Wiley), 55(3), 581-611",https://doi.org/10.1111/j.1477-9552.2004.tb00116.x,"This agricultural-economics survey classifies the types, causes, and econometric measurement of asymmetric price transmission along farm-wholesale-retail chains, documenting that asymmetry is widespread empirically but arises from multiple mechanisms (adjustment/menu costs, inventory holding, search costs, and market power) rather than any single cause, and that measured asymmetry is sensitive to model specification and data frequency.","We treat the farm-to-wholesale-to-retail chain as loosely and asymmetrically coupled per this survey, which is why our bands report a wholesale reference range rather than imputing a retail price from a wholesale move.","Corrects the myth that asymmetric pass-through is proof of seller collusion or retail market power — the survey shows asymmetry also arises from non-collusive mechanisms (menu/adjustment costs, inventory, search) and appears even in competitive settings.",high,The problem: pricing against inputs that never sit still
5,economics,menu-costs,National Restaurant Association,2025,2025 Restaurant Operations Report (Restaurant Operations Data Abstract),National Restaurant Association (industry benchmark report),https://restaurant.org/,"Drawing on financial and operational data from more than 900 U.S. restaurants, the report shows fullservice restaurants had a median income before taxes of 2.8% of sales and limited-service restaurants 4.0%, documenting the industry's thin, low-single-digit net-margin structure.","Our 'why cost discipline matters' layer rests on these low-single-digit median pre-tax margins: because the cushion is only a few points of sales, a small drift in food cost can erase an independent's entire profit, which is exactly why per-ingredient tracking matters.",The lay perception that restaurants are high-margin cash businesses; the authoritative operator benchmark shows median pre-tax margins in the low single digits (2.8% fullservice / 4.0% limited-service).,med,The problem: pricing against inputs that never sit still
6,economics,why-it-matters,"H. G. Parsa, John T. Self, David Njite, Tiffany King",2005,Why Restaurants Fail,"Cornell Hotel and Restaurant Administration Quarterly, 46(3), 304-322 (SAGE)",https://doi.org/10.1177/0010880405275598,"Using Dun & Bradstreet longitudinal records for independent restaurants (Columbus, Ohio, 1996-1999), first-year failure was 26.16%, and cumulative three-year failure was roughly 57-61% (franchise chains 57.2%, independents 61.4%; the three-year cumulative rate did not exceed ~60%). A literature review found no empirical basis for the widely repeated 90%-fail-in-year-one claim, and failure was also traced to non-financial drivers, notably family life-cycle / quality-of-life management and, qualitatively, location.","Our analysis stands on the corrected ~26% first-year figure (not 90%) to argue honestly that restaurant failure is real but survivable, so margin and per-ingredient cost control is a lever operators genuinely hold rather than a lost cause.","The 'about 90% of restaurants fail in their first year' claim: Parsa found it widely accepted with no data behind it and traced it to an American Express-linked source (the AmEx-sponsored reality show 'The Restaurant') that, when asked, stated in writing it could not provide supporting data. The peer-reviewed first-year rate for independents was ~26% (26.16%).",high,The problem: pricing against inputs that never sit still
7,economics,why-it-matters,"H. G. Parsa, John Self, Sandra Sydnor-Busso, Hae Jin Yoon",2011,"Why Restaurants Fail? Part II - The Impact of Affiliation, Location, and Size on Restaurant Failures: Results from a Survival Analysis","Journal of Foodservice Business Research, 14(4), 360-379 (Taylor & Francis)",https://doi.org/10.1080/15378020.2011.625824,"A survival (hazard) analysis of restaurant failures showing that mortality is systematically structured by affiliation (chain/multi-unit vs. independent), location (zip code), and size rather than random: independents faced substantially elevated closure risk versus chain-affiliated restaurants, and smaller restaurants failed at higher rates than larger ones.","We extend this by treating the finding that independents carry structurally higher failure hazard as the reason their thinner cash buffers make disciplined per-ingredient costing a survival tool, not a nicety.",,high,The problem: pricing against inputs that never sit still
8,economics,posture,Mark Bils and Peter J. Klenow,2004,Some Evidence on the Importance of Sticky Prices,"Journal of Political Economy, vol. 112, no. 5, pp. 947-985 (University of Chicago Press)",https://doi.org/10.1086/422559,"Using BLS micro-data on ~350 categories (about 70% of consumer spending), the median price spell lasts about 4.3 months including temporary sales and about 5.5 months once sales are excluded, with the frequency of price change differing dramatically across goods.","Gives our 'don't reprint on day one' posture an empirical cadence: even in a broad, relatively flexible sample, half of prices persist 4-5+ months — long enough that a short cost shock usually resolves before a disciplined operator would otherwise reprice.",,high,Print or float: the posture decision
9,economics,posture,Emi Nakamura and Jón Steinsson,2008,Five Facts about Prices: A Reevaluation of Menu Cost Models,"The Quarterly Journal of Economics, vol. 123, no. 4, pp. 1415-1464 (MIT Press at time of publication; QJE now published by Oxford University Press)",https://doi.org/10.1162/qjec.2008.123.4.1415,"Re-examining the same class of BLS micro-data, once temporary sales are excluded the median frequency of regular (nonsale) price change is roughly half the with-sales frequency, implying regular prices persist on the order of 8-11 months, and the price-change hazard does not rise with time since the last change.","Our strongest anchor for holding through a shock: stripping out promo sales shows regular list prices persist most of a year, so a 77-day median shock will typically pass before a reprint is warranted — the empirical spine of 'don't reprint on day one.'","The widely repeated claim that Bils-Klenow prove prices 'change every ~4 months, so prices are basically flexible' — Nakamura-Steinsson show most of that churn is temporary sales snapping back to a sticky regular price, so regular prices are roughly twice as sticky (median ~8-11 months).",high,Print or float: the posture decision
10,economics,posture,Michael L. Kasavana; Donald I. Smith,1982,Menu Engineering: A Practical Guide to Menu Analysis,"Hospitality Publications, Okemos, MI (book; framework developed at the Michigan State University School of Hospitality Business)",,"Introduced menu engineering: every item is plotted on two axes — menu mix (popularity) and contribution margin (gross profit dollars per item) — into Stars (popular, high-margin), Plowhorses (popular, low-margin), Puzzles (unpopular, high-margin), and Dogs (unpopular, low-margin), each carrying a distinct reprice/reposition/keep/cut action.",Our per-item posture verdict (hold / reprice / reposition / cut) is the direct descendant of their popularity x contribution-margin quadrant; we extend it by driving the margin axis with live cost-index movement instead of a static food cost.,"Corrects the older 'lowest food-cost-percentage item is the most profitable' rule: menu engineering ranks on contribution-margin dollars, not food-cost %, so a low-cost-% item can still be a weak contributor and a high-cost-% item a strong one.",high,Print or float: the posture decision
