date,price_usd,unit,basis,source,reconstructed
2026-05-28,12.75,carton,wholesale,usda-ams-boston,false
2026-05-29,12.75,carton,wholesale,usda-ams-boston,false
2026-06-01,12.75,carton,wholesale,usda-ams-boston,false
2026-06-02,12.75,carton,wholesale,usda-ams-boston,false
2026-06-03,12.75,carton,wholesale,usda-ams-boston,false
2026-06-04,12.75,carton,wholesale,usda-ams-boston,false
2026-06-05,12.75,carton,wholesale,usda-ams-boston,false
2026-06-08,12.75,carton,wholesale,usda-ams-boston,false
2026-06-09,12.75,carton,wholesale,usda-ams-boston,false
2026-06-10,12.75,carton,wholesale,usda-ams-boston,false
2026-06-11,12.75,carton,wholesale,usda-ams-boston,false
2026-06-12,12.75,carton,wholesale,usda-ams-boston,false
2026-06-15,12.75,carton,wholesale,usda-ams-boston,false
2026-06-16,12.75,carton,wholesale,usda-ams-boston,false
2026-06-17,12.75,carton,wholesale,usda-ams-boston,false
2026-06-18,12.75,carton,wholesale,usda-ams-boston,false
2026-06-22,12.75,carton,wholesale,usda-ams-boston,false
2026-06-23,12.75,carton,wholesale,usda-ams-boston,false
2026-06-24,12.75,carton,wholesale,usda-ams-boston,false
2026-06-25,12.75,carton,wholesale,usda-ams-boston,false
2026-06-26,12.75,carton,wholesale,usda-ams-boston,false
2026-06-29,12.75,carton,wholesale,usda-ams-boston,false
2026-06-30,12.75,carton,wholesale,usda-ams-boston,false
2026-07-01,12.75,carton,wholesale,usda-ams-boston,false
2026-07-02,12.75,carton,wholesale,usda-ams-boston,false
2026-07-06,12.75,carton,wholesale,usda-ams-boston,false
