date,price_usd,unit,basis,source,reconstructed
2026-06-03,30.00,carton,wholesale,usda-ams-boston,false
2026-06-04,30.00,carton,wholesale,usda-ams-boston,false
2026-06-05,30.00,carton,wholesale,usda-ams-boston,false
2026-06-08,28.00,carton,wholesale,usda-ams-boston,false
2026-06-09,28.00,carton,wholesale,usda-ams-boston,false
2026-06-10,28.00,carton,wholesale,usda-ams-boston,false
2026-06-11,28.00,carton,wholesale,usda-ams-boston,false
2026-06-12,28.00,carton,wholesale,usda-ams-boston,false
2026-06-15,28.00,carton,wholesale,usda-ams-boston,false
2026-06-16,28.00,carton,wholesale,usda-ams-boston,false
2026-06-17,28.00,carton,wholesale,usda-ams-boston,false
2026-06-18,28.00,carton,wholesale,usda-ams-boston,false
2026-06-22,28.00,carton,wholesale,usda-ams-boston,false
2026-06-23,28.00,carton,wholesale,usda-ams-boston,false
2026-06-24,28.00,carton,wholesale,usda-ams-boston,false
2026-06-25,28.00,carton,wholesale,usda-ams-boston,false
2026-06-26,28.00,carton,wholesale,usda-ams-boston,false
2026-06-29,28.00,carton,wholesale,usda-ams-boston,false
2026-06-30,28.00,carton,wholesale,usda-ams-boston,false
2026-07-01,28.00,carton,wholesale,usda-ams-boston,false
2026-07-02,28.00,carton,wholesale,usda-ams-boston,false
2026-07-06,28.00,carton,wholesale,usda-ams-boston,false
2026-07-07,28.00,carton,wholesale,usda-ams-boston,false
2026-07-08,28.00,carton,wholesale,usda-ams-boston,false
2026-07-09,28.00,carton,wholesale,usda-ams-boston,false
2026-07-10,28.00,carton,wholesale,usda-ams-boston,false
