date,price_usd,unit,basis,source,reconstructed
2001-04-25,8.50,carton,wholesale,,true
2001-05-02,8.60,carton,wholesale,,true
2001-05-09,9.20,carton,wholesale,,true
2001-05-16,9.50,carton,wholesale,,true
2001-05-23,10.05,carton,wholesale,,true
2001-05-30,8.88,carton,wholesale,,true
2001-06-06,8.30,carton,wholesale,,true
2001-06-13,10.05,carton,wholesale,,true
2001-06-20,10.75,carton,wholesale,,true
2001-06-27,10.95,carton,wholesale,,true
2001-07-03,11.25,carton,wholesale,,true
2001-07-11,11.25,carton,wholesale,,true
2001-07-18,11.25,carton,wholesale,,true
2001-07-25,9.50,carton,wholesale,,true
2001-08-01,8.50,carton,wholesale,,true
2001-08-08,10.30,carton,wholesale,,true
2001-08-15,9.75,carton,wholesale,,true
2001-08-22,8.70,carton,wholesale,,true
2001-08-29,8.85,carton,wholesale,,true
2001-09-05,8.44,carton,wholesale,,true
2001-09-12,7.66,carton,wholesale,,true
2001-09-19,8.03,carton,wholesale,,true
2001-09-26,7.88,carton,wholesale,,true
2001-10-03,7.58,carton,wholesale,,true
2001-10-10,7.84,carton,wholesale,,true
2001-10-17,9.09,carton,wholesale,,true
2001-10-24,8.84,carton,wholesale,,true
2001-10-31,8.42,carton,wholesale,,true
2001-11-07,10.25,carton,wholesale,,true
2001-11-14,13.14,carton,wholesale,,true
2001-11-21,15.90,carton,wholesale,,true
2001-11-28,15.81,carton,wholesale,,true
2001-12-05,17.70,carton,wholesale,,true
2001-12-12,19.30,carton,wholesale,,true
2001-12-19,21.70,carton,wholesale,,true
2001-12-26,22.42,carton,wholesale,,true
2002-01-02,23.32,carton,wholesale,,true
2002-01-09,23.20,carton,wholesale,,true
2002-01-16,21.90,carton,wholesale,,true
2002-01-23,20.25,carton,wholesale,,true
2002-01-30,20.30,carton,wholesale,,true
2002-02-06,19.60,carton,wholesale,,true
2002-02-13,19.00,carton,wholesale,,true
2002-02-20,17.25,carton,wholesale,,true
2002-02-27,18.40,carton,wholesale,,true
2002-03-06,18.50,carton,wholesale,,true
2002-03-13,18.45,carton,wholesale,,true
2002-03-20,18.50,carton,wholesale,,true
2002-03-27,19.30,carton,wholesale,,true
2002-04-03,16.98,carton,wholesale,,true
2002-04-10,14.08,carton,wholesale,,true
2002-04-17,12.20,carton,wholesale,,true
2002-04-24,12.50,carton,wholesale,,true
2002-05-01,12.70,carton,wholesale,,true
2002-05-08,13.00,carton,wholesale,,true
2002-05-15,9.70,carton,wholesale,,true
2002-05-22,7.60,carton,wholesale,,true
2002-05-29,7.50,carton,wholesale,,true
2002-06-05,8.40,carton,wholesale,,true
2002-06-12,7.90,carton,wholesale,,true
2002-06-19,9.10,carton,wholesale,,true
2002-06-26,9.00,carton,wholesale,,true
2002-07-03,8.45,carton,wholesale,,true
2002-07-10,8.88,carton,wholesale,,true
2002-07-17,9.90,carton,wholesale,,true
2002-07-24,10.25,carton,wholesale,,true
2002-07-31,9.05,carton,wholesale,,true
2002-08-07,8.65,carton,wholesale,,true
2002-08-14,8.30,carton,wholesale,,true
2002-08-21,8.20,carton,wholesale,,true
2002-08-28,8.85,carton,wholesale,,true
2002-09-04,8.94,carton,wholesale,,true
2002-09-11,8.25,carton,wholesale,,true
2002-09-18,9.45,carton,wholesale,,true
2002-09-25,9.31,carton,wholesale,,true
2002-10-02,8.20,carton,wholesale,,true
