date,price_usd,unit,basis,source,reconstructed
2001-04-18,6.50,sack,wholesale,,true
2001-04-25,6.50,sack,wholesale,,true
2001-05-02,6.50,sack,wholesale,,true
2001-05-09,6.50,sack,wholesale,,true
2001-05-16,6.40,sack,wholesale,,true
2001-05-23,6.25,sack,wholesale,,true
2001-05-30,7.29,sack,wholesale,,true
2001-06-06,8.00,sack,wholesale,,true
2001-06-13,8.00,sack,wholesale,,true
2001-06-20,8.00,sack,wholesale,,true
2001-06-27,11.28,sack,wholesale,,true
2001-07-03,11.50,sack,wholesale,,true
2001-07-11,11.50,sack,wholesale,,true
2001-07-18,12.20,sack,wholesale,,true
2001-07-25,12.65,sack,wholesale,,true
2001-08-01,13.35,sack,wholesale,,true
2001-08-06,14.25,sack,wholesale,,true
2001-08-15,14.08,sack,wholesale,,true
2001-08-22,14.03,sack,wholesale,,true
2001-08-29,13.18,sack,wholesale,,true
2001-09-05,12.88,sack,wholesale,,true
2001-09-12,12.53,sack,wholesale,,true
2001-09-19,12.20,sack,wholesale,,true
2001-09-26,12.25,sack,wholesale,,true
2001-10-03,11.13,sack,wholesale,,true
2001-10-10,11.13,sack,wholesale,,true
2001-10-17,11.13,sack,wholesale,,true
2001-10-24,11.13,sack,wholesale,,true
2001-10-31,11.10,sack,wholesale,,true
2001-11-07,10.45,sack,wholesale,,true
2001-11-14,10.38,sack,wholesale,,true
2001-11-21,10.38,sack,wholesale,,true
2001-11-28,10.38,sack,wholesale,,true
2001-12-05,10.38,sack,wholesale,,true
2001-12-12,10.50,sack,wholesale,,true
2001-12-19,10.90,sack,wholesale,,true
2001-12-26,10.25,sack,wholesale,,true
2002-01-02,10.25,sack,wholesale,,true
2002-01-09,10.25,sack,wholesale,,true
2002-01-16,11.60,sack,wholesale,,true
2002-01-23,12.50,sack,wholesale,,true
2002-01-30,12.30,sack,wholesale,,true
2002-02-06,12.25,sack,wholesale,,true
2002-02-13,12.25,sack,wholesale,,true
2002-02-20,12.25,sack,wholesale,,true
2002-02-27,12.25,sack,wholesale,,true
2002-03-06,12.25,sack,wholesale,,true
2002-03-13,12.85,sack,wholesale,,true
2002-03-20,13.30,sack,wholesale,,true
2002-03-27,14.25,sack,wholesale,,true
2002-04-03,14.30,sack,wholesale,,true
2002-04-10,14.50,sack,wholesale,,true
2002-04-17,14.50,sack,wholesale,,true
2002-04-24,14.50,sack,wholesale,,true
2002-05-01,12.50,sack,wholesale,,true
2002-05-08,12.50,sack,wholesale,,true
2002-05-15,12.50,sack,wholesale,,true
2002-05-22,13.25,sack,wholesale,,true
2002-05-29,13.25,sack,wholesale,,true
2002-06-05,13.75,sack,wholesale,,true
2002-06-12,14.55,sack,wholesale,,true
2002-06-19,15.10,sack,wholesale,,true
2002-06-26,15.00,sack,wholesale,,true
2002-07-03,15.00,sack,wholesale,,true
2002-07-10,15.00,sack,wholesale,,true
2002-07-17,14.90,sack,wholesale,,true
2002-07-24,14.60,sack,wholesale,,true
2002-07-31,15.38,sack,wholesale,,true
2002-08-07,15.15,sack,wholesale,,true
2002-08-14,14.90,sack,wholesale,,true
2002-08-21,15.10,sack,wholesale,,true
2002-08-28,13.55,sack,wholesale,,true
2002-09-04,12.81,sack,wholesale,,true
2002-09-11,12.10,sack,wholesale,,true
2002-09-18,12.35,sack,wholesale,,true
2002-09-25,11.65,sack,wholesale,,true
2002-10-02,10.45,sack,wholesale,,true
2002-10-09,9.75,sack,wholesale,,true
2002-10-16,9.50,sack,wholesale,,true
2002-10-23,9.80,sack,wholesale,,true
2002-10-30,10.00,sack,wholesale,,true
2002-11-06,9.70,sack,wholesale,,true
2002-11-13,10.25,sack,wholesale,,true
2002-11-20,10.40,sack,wholesale,,true
2002-11-27,9.75,sack,wholesale,,true
2002-12-04,9.41,sack,wholesale,,true
2002-12-11,9.88,sack,wholesale,,true
2002-12-18,9.75,sack,wholesale,,true
2002-12-24,9.50,sack,wholesale,,true
