date,price_usd,unit,basis,source
2026-05-12,8.73,carton,wholesale,usda-ams-atlanta
2026-05-13,8.73,carton,wholesale,usda-ams-atlanta
2026-05-14,8.73,carton,wholesale,usda-ams-atlanta
2026-05-15,8.73,carton,wholesale,usda-ams-atlanta
2026-05-18,8.73,carton,wholesale,usda-ams-atlanta
2026-05-19,8.73,carton,wholesale,usda-ams-atlanta
2026-05-20,8.73,carton,wholesale,usda-ams-atlanta
2026-05-21,8.73,carton,wholesale,usda-ams-atlanta
2026-05-22,8.73,carton,wholesale,usda-ams-atlanta
2026-05-26,8.73,carton,wholesale,usda-ams-atlanta
2026-05-27,8.73,carton,wholesale,usda-ams-atlanta
2026-05-28,8.73,carton,wholesale,usda-ams-atlanta
2026-05-29,8.73,carton,wholesale,usda-ams-atlanta
2026-06-01,8.73,carton,wholesale,usda-ams-atlanta
2026-06-02,8.73,carton,wholesale,usda-ams-atlanta
2026-06-03,8.73,carton,wholesale,usda-ams-atlanta
2026-06-04,8.73,carton,wholesale,usda-ams-atlanta
2026-06-05,8.73,carton,wholesale,usda-ams-atlanta
2026-06-08,8.73,carton,wholesale,usda-ams-atlanta
2026-06-09,8.73,carton,wholesale,usda-ams-atlanta
2026-06-10,8.73,carton,wholesale,usda-ams-atlanta
2026-06-11,8.73,carton,wholesale,usda-ams-atlanta
2026-06-12,8.73,carton,wholesale,usda-ams-atlanta
2026-06-15,8.73,carton,wholesale,usda-ams-atlanta
2026-06-16,8.73,carton,wholesale,usda-ams-atlanta
2026-06-17,8.73,carton,wholesale,usda-ams-atlanta
