date,price_usd,unit,basis,source,reconstructed
2001-04-25,8.46,carton,wholesale,,true
2001-05-02,8.58,carton,wholesale,,true
2001-05-09,8.48,carton,wholesale,,true
2001-05-16,8.40,carton,wholesale,,true
2001-05-23,8.05,carton,wholesale,,true
2001-05-30,8.10,carton,wholesale,,true
2001-06-06,8.00,carton,wholesale,,true
2001-06-13,7.95,carton,wholesale,,true
2001-06-20,8.00,carton,wholesale,,true
2001-06-27,7.50,carton,wholesale,,true
2001-07-03,7.63,carton,wholesale,,true
2001-07-11,7.53,carton,wholesale,,true
2001-07-18,7.48,carton,wholesale,,true
2001-07-25,7.48,carton,wholesale,,true
2001-08-01,7.23,carton,wholesale,,true
2001-08-06,7.13,carton,wholesale,,true
2001-08-15,6.88,carton,wholesale,,true
2001-08-22,6.93,carton,wholesale,,true
2001-08-29,6.93,carton,wholesale,,true
2001-09-05,6.81,carton,wholesale,,true
2001-09-12,6.78,carton,wholesale,,true
2001-09-19,7.15,carton,wholesale,,true
2001-09-26,7.25,carton,wholesale,,true
2001-10-03,7.25,carton,wholesale,,true
2001-10-10,7.69,carton,wholesale,,true
2001-10-17,8.13,carton,wholesale,,true
2001-10-24,8.10,carton,wholesale,,true
2001-10-31,7.13,carton,wholesale,,true
2001-11-07,7.05,carton,wholesale,,true
2001-11-14,6.97,carton,wholesale,,true
2001-11-21,7.08,carton,wholesale,,true
2001-11-28,7.38,carton,wholesale,,true
2001-12-05,7.10,carton,wholesale,,true
2001-12-12,7.23,carton,wholesale,,true
2001-12-19,7.63,carton,wholesale,,true
2001-12-26,7.84,carton,wholesale,,true
2002-01-02,8.88,carton,wholesale,,true
2002-01-09,8.53,carton,wholesale,,true
2002-01-16,8.03,carton,wholesale,,true
2002-01-23,7.44,carton,wholesale,,true
2002-01-30,7.48,carton,wholesale,,true
2002-02-06,7.40,carton,wholesale,,true
2002-02-13,7.38,carton,wholesale,,true
2002-02-20,7.29,carton,wholesale,,true
2002-02-27,7.30,carton,wholesale,,true
2002-03-06,7.75,carton,wholesale,,true
2002-03-13,7.25,carton,wholesale,,true
2002-03-20,7.43,carton,wholesale,,true
2002-03-27,7.50,carton,wholesale,,true
2002-04-03,7.25,carton,wholesale,,true
2002-04-10,7.25,carton,wholesale,,true
2002-04-17,6.95,carton,wholesale,,true
2002-04-24,7.10,carton,wholesale,,true
2002-05-01,7.45,carton,wholesale,,true
2002-05-08,7.50,carton,wholesale,,true
2002-05-15,8.65,carton,wholesale,,true
2002-05-22,9.43,carton,wholesale,,true
2002-05-29,9.35,carton,wholesale,,true
2002-06-05,9.25,carton,wholesale,,true
2002-06-12,8.30,carton,wholesale,,true
2002-06-19,7.70,carton,wholesale,,true
2002-06-26,8.30,carton,wholesale,,true
2002-07-03,7.63,carton,wholesale,,true
2002-07-10,7.60,carton,wholesale,,true
2002-07-17,8.35,carton,wholesale,,true
2002-07-24,8.63,carton,wholesale,,true
2002-07-31,8.63,carton,wholesale,,true
2002-08-07,9.35,carton,wholesale,,true
2002-08-14,8.33,carton,wholesale,,true
2002-08-21,8.20,carton,wholesale,,true
2002-08-28,8.75,carton,wholesale,,true
2002-09-04,8.19,carton,wholesale,,true
2002-09-11,7.60,carton,wholesale,,true
2002-09-18,8.63,carton,wholesale,,true
2002-09-25,7.78,carton,wholesale,,true
2002-10-02,7.73,carton,wholesale,,true
2002-10-09,8.13,carton,wholesale,,true
2002-10-16,8.13,carton,wholesale,,true
2002-10-23,8.13,carton,wholesale,,true
2002-10-30,8.18,carton,wholesale,,true
2002-11-06,7.45,carton,wholesale,,true
2002-11-13,8.28,carton,wholesale,,true
2002-11-20,11.23,carton,wholesale,,true
2002-11-27,13.85,carton,wholesale,,true
2002-12-04,13.78,carton,wholesale,,true
2002-12-11,18.85,carton,wholesale,,true
2002-12-18,23.40,carton,wholesale,,true
2002-12-24,24.88,carton,wholesale,,true
2002-12-31,23.00,carton,wholesale,,true
2003-01-08,22.95,carton,wholesale,,true
2003-01-15,16.15,carton,wholesale,,true
2003-01-22,11.94,carton,wholesale,,true
