date,price_usd,unit,basis,source,reconstructed
2023-06-14,45.80,carton,wholesale,,true
2023-06-21,46.00,carton,wholesale,,true
2023-06-28,46.00,carton,wholesale,,true
2023-07-05,46.00,carton,wholesale,,true
2023-07-12,45.80,carton,wholesale,,true
2023-07-19,45.50,carton,wholesale,,true
2023-07-26,46.00,carton,wholesale,,true
2023-08-02,46.80,carton,wholesale,,true
2023-08-09,45.90,carton,wholesale,,true
2023-08-16,46.00,carton,wholesale,,true
2023-08-23,45.80,carton,wholesale,,true
2023-08-30,46.00,carton,wholesale,,true
2023-09-06,46.00,carton,wholesale,,true
2023-09-13,45.70,carton,wholesale,,true
2023-09-20,45.80,carton,wholesale,,true
2023-09-27,48.40,carton,wholesale,,true
2023-10-04,49.60,carton,wholesale,,true
2023-10-11,49.00,carton,wholesale,,true
2023-10-18,48.05,carton,wholesale,,true
2023-10-25,48.40,carton,wholesale,,true
2023-11-01,49.00,carton,wholesale,,true
2023-11-08,49.00,carton,wholesale,,true
2023-11-15,49.00,carton,wholesale,,true
2023-11-22,49.00,carton,wholesale,,true
2023-11-29,49.00,carton,wholesale,,true
2023-12-06,47.40,carton,wholesale,,true
2023-12-13,44.70,carton,wholesale,,true
2023-12-20,44.80,carton,wholesale,,true
2023-12-27,45.00,carton,wholesale,,true
2024-01-03,45.00,carton,wholesale,,true
2024-01-10,45.00,carton,wholesale,,true
2024-01-17,45.00,carton,wholesale,,true
2024-01-24,45.00,carton,wholesale,,true
2024-01-31,45.00,carton,wholesale,,true
2024-02-07,45.00,carton,wholesale,,true
2024-02-14,45.00,carton,wholesale,,true
2024-02-21,45.00,carton,wholesale,,true
2024-02-28,45.00,carton,wholesale,,true
2024-03-06,45.00,carton,wholesale,,true
2024-03-13,40.50,carton,wholesale,,true
2024-03-20,42.00,carton,wholesale,,true
2024-03-27,43.00,carton,wholesale,,true
2024-04-03,43.00,carton,wholesale,,true
2024-04-10,43.00,carton,wholesale,,true
2024-04-17,41.00,carton,wholesale,,true
2024-04-24,39.00,carton,wholesale,,true
2024-05-01,38.00,carton,wholesale,,true
2024-05-08,38.00,carton,wholesale,,true
2024-05-15,37.20,carton,wholesale,,true
2024-05-22,38.00,carton,wholesale,,true
2024-05-29,38.00,carton,wholesale,,true
2024-06-05,38.00,carton,wholesale,,true
2024-06-12,38.00,carton,wholesale,,true
2024-06-18,38.00,carton,wholesale,,true
2024-06-26,38.00,carton,wholesale,,true
2024-07-03,38.00,carton,wholesale,,true
2024-07-10,38.00,carton,wholesale,,true
2024-07-17,38.00,carton,wholesale,,true
2024-07-24,38.60,carton,wholesale,,true
2024-07-31,41.00,carton,wholesale,,true
2024-08-07,41.00,carton,wholesale,,true
