date,price_usd,unit,basis,source,reconstructed
2026-06-03,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-04,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-05,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-08,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-09,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-10,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-11,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-12,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-15,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-16,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-17,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-18,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-22,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-23,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-24,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-25,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-26,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-29,21.00,carton,wholesale,usda-ams-baltimore,false
2026-06-30,21.00,carton,wholesale,usda-ams-baltimore,false
2026-07-01,21.00,carton,wholesale,usda-ams-baltimore,false
2026-07-02,21.00,carton,wholesale,usda-ams-baltimore,false
2026-07-06,21.00,carton,wholesale,usda-ams-baltimore,false
2026-07-07,21.00,carton,wholesale,usda-ams-baltimore,false
2026-07-08,21.00,carton,wholesale,usda-ams-baltimore,false
2026-07-09,21.00,carton,wholesale,usda-ams-baltimore,false
2026-07-10,21.00,carton,wholesale,usda-ams-baltimore,false
