date,price_usd,unit,basis,source,reconstructed
2001-04-25,17.33,carton,wholesale,,true
2001-05-02,18.60,carton,wholesale,,true
2001-05-09,19.40,carton,wholesale,,true
2001-05-16,19.00,carton,wholesale,,true
2001-05-23,18.40,carton,wholesale,,true
2001-05-30,18.50,carton,wholesale,,true
2001-06-06,18.70,carton,wholesale,,true
2001-06-13,17.30,carton,wholesale,,true
2001-06-20,15.40,carton,wholesale,,true
2001-06-27,16.00,carton,wholesale,,true
2001-07-03,16.00,carton,wholesale,,true
2001-07-11,16.10,carton,wholesale,,true
2001-07-18,16.20,carton,wholesale,,true
2001-07-25,16.00,carton,wholesale,,true
2001-08-01,16.00,carton,wholesale,,true
2001-08-08,16.00,carton,wholesale,,true
2001-08-15,16.00,carton,wholesale,,true
2001-08-22,16.00,carton,wholesale,,true
2001-08-29,16.00,carton,wholesale,,true
2001-09-05,16.00,carton,wholesale,,true
2001-09-12,16.00,carton,wholesale,,true
2001-09-19,16.00,carton,wholesale,,true
2001-09-26,15.20,carton,wholesale,,true
2001-10-03,16.00,carton,wholesale,,true
2001-10-10,15.25,carton,wholesale,,true
2001-10-17,16.00,carton,wholesale,,true
2001-10-24,17.00,carton,wholesale,,true
2001-10-31,16.30,carton,wholesale,,true
2001-11-07,16.00,carton,wholesale,,true
2001-11-14,16.50,carton,wholesale,,true
2001-11-21,17.00,carton,wholesale,,true
2001-11-28,16.25,carton,wholesale,,true
2001-12-05,16.00,carton,wholesale,,true
2001-12-12,16.00,carton,wholesale,,true
2001-12-19,16.00,carton,wholesale,,true
2001-12-26,16.00,carton,wholesale,,true
2002-01-02,16.50,carton,wholesale,,true
2002-01-09,16.40,carton,wholesale,,true
2002-01-16,16.00,carton,wholesale,,true
2002-01-23,16.50,carton,wholesale,,true
2002-01-30,16.40,carton,wholesale,,true
2002-02-06,16.00,carton,wholesale,,true
2002-02-13,16.00,carton,wholesale,,true
2002-02-20,16.50,carton,wholesale,,true
2002-02-27,16.40,carton,wholesale,,true
2002-03-06,16.00,carton,wholesale,,true
2002-03-13,16.00,carton,wholesale,,true
2002-03-20,16.00,carton,wholesale,,true
2002-03-27,15.70,carton,wholesale,,true
2002-04-03,14.20,carton,wholesale,,true
2002-04-10,16.00,carton,wholesale,,true
2002-04-17,16.00,carton,wholesale,,true
2002-04-24,16.60,carton,wholesale,,true
2002-05-01,16.40,carton,wholesale,,true
2002-05-08,16.60,carton,wholesale,,true
2002-05-14,17.50,carton,wholesale,,true
2002-05-22,20.40,carton,wholesale,,true
2002-05-29,21.75,carton,wholesale,,true
2002-06-05,16.00,carton,wholesale,,true
2002-06-12,16.60,carton,wholesale,,true
2002-06-19,17.00,carton,wholesale,,true
2002-06-26,17.00,carton,wholesale,,true
2002-07-03,17.60,carton,wholesale,,true
2002-07-10,16.50,carton,wholesale,,true
2002-07-17,16.60,carton,wholesale,,true
2002-07-24,17.00,carton,wholesale,,true
2002-07-31,16.40,carton,wholesale,,true
2002-08-07,16.00,carton,wholesale,,true
2002-08-14,16.00,carton,wholesale,,true
2002-08-21,16.00,carton,wholesale,,true
2002-08-28,16.00,carton,wholesale,,true
2002-09-04,16.00,carton,wholesale,,true
2002-09-11,16.00,carton,wholesale,,true
2002-09-18,16.00,carton,wholesale,,true
2002-09-25,16.00,carton,wholesale,,true
2002-10-02,16.00,carton,wholesale,,true
2002-10-09,16.00,carton,wholesale,,true
2002-10-16,16.00,carton,wholesale,,true
2002-10-23,16.00,carton,wholesale,,true
2002-10-30,16.60,carton,wholesale,,true
2002-11-06,17.00,carton,wholesale,,true
2002-11-13,17.00,carton,wholesale,,true
2002-11-20,17.00,carton,wholesale,,true
2002-11-27,17.00,carton,wholesale,,true
2002-12-04,17.00,carton,wholesale,,true
2002-12-11,17.00,carton,wholesale,,true
2002-12-18,17.30,carton,wholesale,,true
2002-12-24,16.75,carton,wholesale,,true
2002-12-31,16.50,carton,wholesale,,true
2003-01-08,16.40,carton,wholesale,,true
2003-01-15,15.80,carton,wholesale,,true
2003-01-22,16.25,carton,wholesale,,true
2003-01-29,16.80,carton,wholesale,,true
2003-02-05,16.40,carton,wholesale,,true
2003-02-12,16.15,carton,wholesale,,true
2003-02-19,15.67,carton,wholesale,,true
2003-02-26,15.50,carton,wholesale,,true
2003-03-05,15.80,carton,wholesale,,true
2003-03-12,16.00,carton,wholesale,,true
2003-03-19,16.60,carton,wholesale,,true
2003-03-26,16.80,carton,wholesale,,true
2003-04-02,17.00,carton,wholesale,,true
2003-04-09,17.00,carton,wholesale,,true
2003-04-16,17.00,carton,wholesale,,true
2003-04-23,16.60,carton,wholesale,,true
2003-04-30,17.00,carton,wholesale,,true
2003-05-07,17.00,carton,wholesale,,true
2003-05-14,17.30,carton,wholesale,,true
2003-05-21,17.20,carton,wholesale,,true
2003-05-28,17.00,carton,wholesale,,true
2003-06-04,16.80,carton,wholesale,,true
2003-06-11,16.50,carton,wholesale,,true
2003-06-18,17.40,carton,wholesale,,true
2003-06-25,20.90,carton,wholesale,,true
2003-07-02,19.80,carton,wholesale,,true
2003-07-09,17.38,carton,wholesale,,true
2003-07-16,17.80,carton,wholesale,,true
2003-07-23,17.90,carton,wholesale,,true
2003-07-30,16.80,carton,wholesale,,true
2003-08-06,16.20,carton,wholesale,,true
2003-08-13,18.10,carton,wholesale,,true
2003-08-20,17.30,carton,wholesale,,true
2003-08-27,17.05,carton,wholesale,,true
2003-09-03,16.75,carton,wholesale,,true
2003-09-10,16.75,carton,wholesale,,true
2003-09-17,17.00,carton,wholesale,,true
2003-09-24,17.00,carton,wholesale,,true
2003-10-01,17.00,carton,wholesale,,true
2003-10-08,17.00,carton,wholesale,,true
2003-10-15,17.00,carton,wholesale,,true
2003-10-22,17.00,carton,wholesale,,true
2003-10-29,17.00,carton,wholesale,,true
2003-11-05,17.00,carton,wholesale,,true
2003-11-12,16.75,carton,wholesale,,true
2003-11-19,16.45,carton,wholesale,,true
2003-11-26,16.10,carton,wholesale,,true
2003-12-03,16.00,carton,wholesale,,true
2003-12-10,16.00,carton,wholesale,,true
2003-12-17,14.60,carton,wholesale,,true
2003-12-24,15.80,carton,wholesale,,true
2003-12-31,16.00,carton,wholesale,,true
2004-01-07,16.00,carton,wholesale,,true
2004-01-14,16.00,carton,wholesale,,true
2004-01-21,16.00,carton,wholesale,,true
2004-01-28,16.00,carton,wholesale,,true
2004-02-04,16.00,carton,wholesale,,true
2004-02-11,16.50,carton,wholesale,,true
2004-02-18,16.50,carton,wholesale,,true
2004-02-25,16.50,carton,wholesale,,true
2004-03-03,16.70,carton,wholesale,,true
2004-03-10,16.50,carton,wholesale,,true
2004-03-17,16.50,carton,wholesale,,true
2004-03-24,16.50,carton,wholesale,,true
2004-03-31,16.50,carton,wholesale,,true
2004-04-07,17.40,carton,wholesale,,true
2004-04-14,17.70,carton,wholesale,,true
2004-04-21,17.30,carton,wholesale,,true
2004-04-28,16.80,carton,wholesale,,true
2004-05-05,17.60,carton,wholesale,,true
2004-05-12,17.70,carton,wholesale,,true
2004-05-19,17.80,carton,wholesale,,true
2004-05-26,18.00,carton,wholesale,,true
2004-06-02,17.50,carton,wholesale,,true
2004-06-09,17.60,carton,wholesale,,true
2004-06-16,17.50,carton,wholesale,,true
2004-06-23,16.90,carton,wholesale,,true
2004-06-30,17.40,carton,wholesale,,true
2004-07-07,17.25,carton,wholesale,,true
2004-07-14,16.80,carton,wholesale,,true
2004-07-21,16.40,carton,wholesale,,true
2004-07-28,16.30,carton,wholesale,,true
2004-08-04,15.80,carton,wholesale,,true
2004-08-11,17.40,carton,wholesale,,true
2004-08-18,17.40,carton,wholesale,,true
2004-08-25,16.40,carton,wholesale,,true
2004-09-01,18.10,carton,wholesale,,true
2004-09-08,19.25,carton,wholesale,,true
2004-09-15,16.50,carton,wholesale,,true
2004-09-22,15.90,carton,wholesale,,true
2004-09-29,16.40,carton,wholesale,,true
2004-10-06,17.00,carton,wholesale,,true
2004-10-13,17.50,carton,wholesale,,true
2004-10-20,18.00,carton,wholesale,,true
2004-10-27,19.20,carton,wholesale,,true
2004-11-03,18.45,carton,wholesale,,true
2004-11-10,17.44,carton,wholesale,,true
2004-11-17,17.00,carton,wholesale,,true
2004-11-24,17.60,carton,wholesale,,true
2004-12-01,18.00,carton,wholesale,,true
2004-12-08,17.40,carton,wholesale,,true
2004-12-15,17.00,carton,wholesale,,true
2004-12-22,17.30,carton,wholesale,,true
2004-12-29,17.38,carton,wholesale,,true
2005-01-05,17.00,carton,wholesale,,true
2005-01-12,17.60,carton,wholesale,,true
2005-01-19,17.75,carton,wholesale,,true
2005-01-26,17.50,carton,wholesale,,true
2005-02-02,17.50,carton,wholesale,,true
2005-02-09,17.60,carton,wholesale,,true
2005-02-16,17.40,carton,wholesale,,true
